Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;52,46;-123,81;0,00;0,00;0,00;-0,12;0,00;0,00;499;140;81;44;17;705;176
2;13,54;-491,20;0,00;0,00;0,00;-0,49;0,00;0,00;235;16;151;17;36;686;828
3;13,43;-498,08;0,00;0,00;0,00;-0,50;0,00;0,00;98;180;51;29;18;720;386
4;53,39;-194,86;0,00;0,00;0,00;-0,19;0,00;0,00;422;131;38;46;16;367;374
5;55,72;-219,02;0,00;0,00;0,00;-0,22;0,00;0,00;302;73;30;17;22;506;767
6;42,97;-205,21;0,00;0,00;0,00;-0,21;0,00;0,00;167;51;174;28;16;169;468
7;100,00;247,08;0,00;0,00;0,00;0,25;0,00;0,00;420;178;179;40;35;318;875
8;43,09;-265,17;0,00;0,00;0,00;-0,27;0,00;0,00;115;55;150;45;33;669;928
9;81,39;103,18;0,00;0,00;0,00;0,10;0,00;0,00;457;102;44;45;31;564;407
10;60,62;-154,44;0,00;0,00;0,00;-0,15;0,00;0,00;402;192;83;49;33;948;183
11;62,84;-99,09;0,00;0,00;0,00;-0,10;0,00;0,00;250;157;72;30;30;889;394
12;12,76;-582,06;0,00;0,00;0,00;-0,58;0,00;0,00;23;159;120;35;36;597;985
13;86,18;215,93;0,00;0,00;0,00;0,22;0,00;0,00;264;63;61;24;24;775;998
14;37,81;-340,79;0,00;0,00;0,00;-0,34;0,00;0,00;86;170;194;29;30;890;525
15;9,78;-594,02;0,00;0,00;0,00;-0,59;0,00;0,00;185;182;160;12;25;960;541
16;38,66;-313,83;0,00;0,00;0,00;-0,31;0,00;0,00;180;168;161;41;36;606;633
17;28,86;-449,91;0,00;0,00;0,00;-0,45;0,00;0,00;485;74;172;26;18;561;522
18;32,73;-335,30;0,00;0,00;0,00;-0,34;0,00;0,00;41;176;43;45;15;982;614
19;59,04;-185,91;0,00;0,00;0,00;-0,19;0,00;0,00;415;90;167;30;26;995;705
20;31,63;-443,13;0,00;0,00;0,00;-0,44;0,00;0,00;441;127;60;49;36;202;227
21;55,74;-82,40;0,00;0,00;0,00;-0,08;0,00;0,00;17;126;179;26;20;652;249
22;97,96;232,99;0,00;0,00;0,00;0,23;0,00;0,00;254;120;55;46;28;294;574
23;39,54;-349,46;0,00;0,00;0,00;-0,35;0,00;0,00;136;139;185;30;27;249;144
24;70,22;-77,63;0,00;0,00;0,00;-0,08;0,00;0,00;278;144;143;37;36;818;451
25;79,33;137,63;0,00;0,00;0,00;0,14;0,00;0,00;13;57;83;28;35;142;189
26;35,90;-422,31;0,00;0,00;0,00;-0,42;0,00;0,00;141;61;185;21;16;627;705
27;44,10;-213,34;0,00;0,00;0,00;-0,21;0,00;0,00;305;66;176;12;17;225;358
28;21,10;-517,21;0,00;0,00;0,00;-0,52;0,00;0,00;361;179;173;47;19;455;489
29;91,68;141,16;0,00;0,00;0,00;0,14;0,00;0,00;460;131;16;42;28;156;641
30;56,36;-136,96;0,00;0,00;0,00;-0,14;0,00;0,00;289;170;79;47;32;364;998
31;22,62;-508,39;0,00;0,00;0,00;-0,51;0,00;0,00;394;140;180;33;24;388;626
32;84,99;79,69;0,00;0,00;0,00;0,08;0,00;0,00;36;174;72;44;37;949;222
33;53,08;-176,05;0,00;0,00;0,00;-0,18;0,00;0,00;86;112;142;36;18;467;748
34;84,54;82,31;0,00;0,00;0,00;0,08;0,00;0,00;469;146;148;49;23;739;339
35;0,00;-676,09;0,00;0,00;0,00;-0,68;0,00;0,00;175;171;52;28;27;980;233
36;74,42;-46,40;0,00;0,00;0,00;-0,05;0,00;0,00;160;148;184;15;23;109;334
37;77,42;-0,83;0,00;0,00;0,00;-0,00;0,00;0,00;169;152;175;38;19;218;529
38;44,96;-227,51;0,00;0,00;0,00;-0,23;0,00;0,00;275;88;187;13;15;759;141
39;55,46;-96,48;0,00;0,00;0,00;-0,10;0,00;0,00;423;189;146;45;31;367;574
40;17,40;-549,56;0,00;0,00;0,00;-0,55;0,00;0,00;463;44;109;16;37;960;597
41;60,91;-36,49;0,00;0,00;0,00;-0,04;0,00;0,00;385;66;71;47;31;318;831
42;21,25;-570,03;0,00;0,00;0,00;-0,57;0,00;0,00;365;115;88;33;29;217;588
43;55,31;-248,04;0,00;0,00;0,00;-0,25;0,00;0,00;455;91;90;30;33;384;548
44;63,39;-91,50;0,00;0,00;0,00;-0,09;0,00;0,00;267;155;174;42;38;651;674
45;70,96;-98,61;0,00;0,00;0,00;-0,10;0,00;0,00;207;148;121;16;21;638;478
46;57,17;-122,02;0,00;0,00;0,00;-0,12;0,00;0,00;79;143;48;41;21;529;359
47;100,00;402,66;0,00;0,00;0,00;0,40;0,00;0,00;380;83;34;44;27;952;622
48;80,87;69,85;0,00;0,00;0,00;0,07;0,00;0,00;470;79;43;21;27;113;306
49;28,61;-495,16;0,00;0,00;0,00;-0,50;0,00;0,00;49;75;116;13;39;799;411
50;52,04;-127,19;0,00;0,00;0,00;-0,13;0,00;0,00;283;104;62;33;21;693;195
