Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;46,57;-39,06;0,00;0,00;0,00;-0,04;0,00;0,00;79;150;98;38;19;872;349
2;54,18;37,47;0,00;0,00;0,00;0,04;0,00;0,00;52;54;118;42;29;904;851
3;61,52;36,31;0,00;0,00;0,00;0,04;0,00;0,00;477;193;135;38;35;556;207
4;64,29;109,79;0,00;0,00;0,00;0,11;0,00;0,00;186;130;155;25;17;304;999
5;60,46;74,17;0,00;0,00;0,00;0,07;0,00;0,00;24;187;108;41;33;493;622
6;67,02;180,13;0,00;0,00;0,00;0,18;0,00;0,00;381;102;71;49;37;136;976
7;57,28;164,13;0,00;0,00;0,00;0,16;0,00;0,00;65;124;19;16;33;683;797
8;45,17;25,58;0,00;0,00;0,00;0,03;0,00;0,00;497;87;69;19;39;862;898
9;21,95;-199,62;0,00;0,00;0,00;-0,20;0,00;0,00;465;68;116;33;25;762;340
10;50,16;44,29;0,00;0,00;0,00;0,04;0,00;0,00;173;162;75;49;23;792;965
11;61,17;72,53;0,00;0,00;0,00;0,07;0,00;0,00;383;147;16;39;17;990;977
12;50,98;-61,57;0,00;0,00;0,00;-0,06;0,00;0,00;230;163;12;32;20;981;795
13;49,11;-65,81;0,00;0,00;0,00;-0,07;0,00;0,00;281;155;83;41;34;989;624
14;21,54;-292,83;0,00;0,00;0,00;-0,29;0,00;0,00;399;106;68;38;32;895;407
15;57,97;84,53;0,00;0,00;0,00;0,08;0,00;0,00;241;60;66;13;17;714;950
16;53,02;46,31;0,00;0,00;0,00;0,05;0,00;0,00;250;54;194;17;33;918;987
17;29,23;-122,95;0,00;0,00;0,00;-0,12;0,00;0,00;131;163;189;39;24;224;123
18;79,02;288,93;0,00;0,00;0,00;0,29;0,00;0,00;194;185;191;43;35;479;850
19;33,75;-178,84;0,00;0,00;0,00;-0,18;0,00;0,00;283;98;136;42;22;363;920
20;48,82;-49,28;0,00;0,00;0,00;-0,05;0,00;0,00;202;180;107;18;28;396;447
21;66,80;137,25;0,00;0,00;0,00;0,14;0,00;0,00;399;126;129;21;29;516;637
22;43,37;-143,03;0,00;0,00;0,00;-0,14;0,00;0,00;168;144;143;20;37;697;951
23;43,57;-49,31;0,00;0,00;0,00;-0,05;0,00;0,00;394;92;92;20;18;928;737
24;44,73;-104,92;0,00;0,00;0,00;-0,10;0,00;0,00;374;104;134;16;16;852;290
25;45,70;-152,80;0,00;0,00;0,00;-0,15;0,00;0,00;194;92;50;10;16;165;272
26;45,46;-112,96;0,00;0,00;0,00;-0,11;0,00;0,00;59;184;129;33;26;453;452
27;38,70;-99,39;0,00;0,00;0,00;-0,10;0,00;0,00;228;115;191;33;18;986;307
28;45,72;-8,31;0,00;0,00;0,00;-0,01;0,00;0,00;469;13;154;11;23;747;162
29;52,31;-9,24;0,00;0,00;0,00;-0,01;0,00;0,00;295;87;172;33;20;582;343
30;42,67;16,55;0,00;0,00;0,00;0,02;0,00;0,00;183;72;193;41;23;350;790
31;57,59;117,58;0,00;0,00;0,00;0,12;0,00;0,00;150;78;143;33;15;199;988
32;38,14;-83,82;0,00;0,00;0,00;-0,08;0,00;0,00;282;147;45;42;34;781;432
33;44,65;-21,91;0,00;0,00;0,00;-0,02;0,00;0,00;431;52;77;31;37;222;215
34;39,38;-128,52;0,00;0,00;0,00;-0,13;0,00;0,00;490;112;198;13;24;547;233
35;36,08;-157,46;0,00;0,00;0,00;-0,16;0,00;0,00;171;165;184;14;32;307;808
36;56,00;90,25;0,00;0,00;0,00;0,09;0,00;0,00;44;71;115;30;17;384;888
37;45,07;-79,49;0,00;0,00;0,00;-0,08;0,00;0,00;418;180;129;38;34;661;192
38;51,25;-37,94;0,00;0,00;0,00;-0,04;0,00;0,00;56;154;119;21;23;995;955
39;88,86;373,14;0,00;0,00;0,00;0,37;0,00;0,00;246;146;46;45;20;260;861
40;57,79;50,99;0,00;0,00;0,00;0,05;0,00;0,00;232;27;199;48;34;789;634
41;44,78;-10,20;0,00;0,00;0,00;-0,01;0,00;0,00;27;32;40;28;29;230;716
42;51,33;-68,12;0,00;0,00;0,00;-0,07;0,00;0,00;309;14;54;11;18;381;314
43;57,67;123,38;0,00;0,00;0,00;0,12;0,00;0,00;225;181;194;23;28;950;468
44;58,13;47,03;0,00;0,00;0,00;0,05;0,00;0,00;476;47;187;32;33;846;657
45;44,04;-176,50;0,00;0,00;0,00;-0,18;0,00;0,00;261;64;151;44;27;529;191
46;53,63;-1,69;0,00;0,00;0,00;-0,00;0,00;0,00;242;115;63;37;34;555;583
47;71,20;238,83;0,00;0,00;0,00;0,24;0,00;0,00;323;79;182;45;18;705;798
48;50,43;43,82;0,00;0,00;0,00;0,04;0,00;0,00;327;14;24;27;35;391;136
49;41,75;-41,56;0,00;0,00;0,00;-0,04;0,00;0,00;278;54;29;36;28;679;584
50;10,51;-348,84;0,00;0,00;0,00;-0,35;0,00;0,00;499;148;123;26;30;797;642
51;50,56;16,25;0,00;0,00;0,00;0,02;0,00;0,00;67;38;132;26;31;166;319
52;45,78;-31,66;0,00;0,00;0,00;-0,03;0,00;0,00;415;108;191;23;24;680;859
53;44,89;-55,96;0,00;0,00;0,00;-0,06;0,00;0,00;39;71;33;46;34;354;451
54;31,46;-176,97;0,00;0,00;0,00;-0,18;0,00;0,00;58;178;27;30;29;333;773
55;85,28;283,12;0,00;0,00;0,00;0,28;0,00;0,00;235;158;99;17;37;221;779
56;53,76;80,99;0,00;0,00;0,00;0,08;0,00;0,00;218;49;45;37;16;312;524
57;45,42;-157,57;0,00;0,00;0,00;-0,16;0,00;0,00;453;89;62;19;16;338;211
58;60,44;190,10;0,00;0,00;0,00;0,19;0,00;0,00;499;87;147;41;21;859;128
59;37,77;-128,94;0,00;0,00;0,00;-0,13;0,00;0,00;61;114;166;29;24;876;982
60;68,96;143,61;0,00;0,00;0,00;0,14;0,00;0,00;65;78;123;45;15;652;658
61;46,80;-8,30;0,00;0,00;0,00;-0,01;0,00;0,00;340;32;41;37;27;435;572
62;50,30;-27,30;0,00;0,00;0,00;-0,03;0,00;0,00;203;13;155;43;21;424;944
63;52,08;68,34;0,00;0,00;0,00;0,07;0,00;0,00;156;15;35;37;31;883;823
64;31,34;-68,25;0,00;0,00;0,00;-0,07;0,00;0,00;88;188;126;12;21;907;771
65;47,91;-103,51;0,00;0,00;0,00;-0,10;0,00;0,00;301;82;28;11;38;367;689
66;76,33;230,60;0,00;0,00;0,00;0,23;0,00;0,00;12;46;171;38;38;138;225
67;35,97;-126,83;0,00;0,00;0,00;-0,13;0,00;0,00;364;113;67;41;32;952;406
68;47,46;-33,82;0,00;0,00;0,00;-0,03;0,00;0,00;68;194;161;48;24;488;117
69;20,18;-305,96;0,00;0,00;0,00;-0,31;0,00;0,00;246;70;75;20;36;336;797
70;59,44;115,79;0,00;0,00;0,00;0,12;0,00;0,00;53;111;163;22;20;803;647
71;38,49;-123,71;0,00;0,00;0,00;-0,12;0,00;0,00;429;26;113;17;22;779;976
72;61,23;128,92;0,00;0,00;0,00;0,13;0,00;0,00;454;199;87;45;21;680;177
73;44,72;-125,75;0,00;0,00;0,00;-0,13;0,00;0,00;398;139;88;33;22;426;914
74;48,06;-44,66;0,00;0,00;0,00;-0,04;0,00;0,00;49;160;144;31;33;199;488
