Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;23,06;-505,89;0,00;0,00;0,00;-0,51;0,00;0,00;55;140;81;44;17;705;176
2;14,40;-589,39;0,00;0,00;0,00;-0,59;0,00;0,00;391;16;151;17;36;686;828
3;37,21;-312,27;0,00;0,00;0,00;-0,31;0,00;0,00;239;180;51;29;18;720;386
4;86,76;197,37;0,00;0,00;0,00;0,20;0,00;0,00;54;131;38;46;16;367;374
5;59,21;-126,63;0,00;0,00;0,00;-0,13;0,00;0,00;51;73;30;17;22;506;767
6;66,32;-61,42;0,00;0,00;0,00;-0,06;0,00;0,00;24;51;174;28;16;169;468
7;77,65;79,04;0,00;0,00;0,00;0,08;0,00;0,00;216;178;179;40;35;318;875
8;48,44;-136,42;0,00;0,00;0,00;-0,14;0,00;0,00;477;55;150;45;33;669;928
9;9,02;-571,04;0,00;0,00;0,00;-0,57;0,00;0,00;221;102;44;45;31;564;407
10;88,85;187,66;0,00;0,00;0,00;0,19;0,00;0,00;98;192;83;49;33;948;183
11;54,97;-198,49;0,00;0,00;0,00;-0,20;0,00;0,00;30;157;72;30;30;889;394
12;0,30;-721,39;0,00;0,00;0,00;-0,72;0,00;0,00;314;159;120;35;36;597;985
13;42,83;-314,27;0,00;0,00;0,00;-0,31;0,00;0,00;220;63;61;24;24;775;998
14;74,32;36,29;0,00;0,00;0,00;0,04;0,00;0,00;416;170;194;29;30;890;525
15;27,80;-409,53;0,00;0,00;0,00;-0,41;0,00;0,00;246;182;160;12;25;960;541
16;0,00;-749,72;0,00;0,00;0,00;-0,75;0,00;0,00;357;168;161;41;36;606;633
17;60,54;-75,33;0,00;0,00;0,00;-0,08;0,00;0,00;425;74;172;26;18;561;522
18;70,86;43,87;0,00;0,00;0,00;0,04;0,00;0,00;433;176;43;45;15;982;614
19;65,28;-51,63;0,00;0,00;0,00;-0,05;0,00;0,00;383;90;167;30;26;995;705
20;30,10;-375,91;0,00;0,00;0,00;-0,38;0,00;0,00;380;127;60;49;36;202;227
21;100,00;411,04;0,00;0,00;0,00;0,41;0,00;0,00;228;126;179;26;20;652;249
22;79,35;111,02;0,00;0,00;0,00;0,11;0,00;0,00;230;120;55;46;28;294;574
23;28,30;-409,57;0,00;0,00;0,00;-0,41;0,00;0,00;57;139;185;30;27;249;144
24;45,25;-330,21;0,00;0,00;0,00;-0,33;0,00;0,00;208;144;143;37;36;818;451
25;80,87;22,29;0,00;0,00;0,00;0,02;0,00;0,00;35;57;83;28;35;142;189
26;41,73;-264,83;0,00;0,00;0,00;-0,26;0,00;0,00;425;61;185;21;16;627;705
27;54,84;-89,92;0,00;0,00;0,00;-0,09;0,00;0,00;151;66;176;12;17;225;358
28;35,42;-258,29;0,00;0,00;0,00;-0,26;0,00;0,00;452;179;173;47;19;455;489
29;68,50;24,22;0,00;0,00;0,00;0,02;0,00;0,00;423;131;16;42;28;156;641
30;61,26;-63,29;0,00;0,00;0,00;-0,06;0,00;0,00;79;170;79;47;32;364;998
31;61,13;-121,27;0,00;0,00;0,00;-0,12;0,00;0,00;254;140;180;33;24;388;626
32;46,97;-156,52;0,00;0,00;0,00;-0,16;0,00;0,00;196;174;72;44;37;949;222
33;92,44;248,33;0,00;0,00;0,00;0,25;0,00;0,00;122;112;142;36;18;467;748
34;61,61;-34,64;0,00;0,00;0,00;-0,03;0,00;0,00;463;146;148;49;23;739;339
35;32,73;-361,49;0,00;0,00;0,00;-0,36;0,00;0,00;463;171;52;28;27;980;233
36;50,59;-151,95;0,00;0,00;0,00;-0,15;0,00;0,00;375;148;184;15;23;109;334
37;100,00;360,09;0,00;0,00;0,00;0,36;0,00;0,00;244;152;175;38;19;218;529
38;66,30;-97,12;0,00;0,00;0,00;-0,10;0,00;0,00;130;88;187;13;15;759;141
39;82,39;149,13;0,00;0,00;0,00;0,15;0,00;0,00;339;189;146;45;31;367;574
40;9,76;-587,89;0,00;0,00;0,00;-0,59;0,00;0,00;394;44;109;16;37;960;597
41;92,89;190,35;0,00;0,00;0,00;0,19;0,00;0,00;38;66;71;47;31;318;831
42;51,21;-194,90;0,00;0,00;0,00;-0,19;0,00;0,00;265;115;88;33;29;217;588
43;51,48;-180,26;0,00;0,00;0,00;-0,18;0,00;0,00;453;91;90;30;33;384;548
44;71,21;8,47;0,00;0,00;0,00;0,01;0,00;0,00;56;155;174;42;38;651;674
45;51,66;-253,09;0,00;0,00;0,00;-0,25;0,00;0,00;489;148;121;16;21;638;478
46;73,55;-79,49;0,00;0,00;0,00;-0,08;0,00;0,00;227;143;48;41;21;529;359
47;62,77;-141,75;0,00;0,00;0,00;-0,14;0,00;0,00;145;83;34;44;27;952;622
48;79,06;104,97;0,00;0,00;0,00;0,10;0,00;0,00;384;79;43;21;27;113;306
49;41,13;-265,96;0,00;0,00;0,00;-0,27;0,00;0,00;35;75;116;13;39;799;411
50;36,46;-309,55;0,00;0,00;0,00;-0,31;0,00;0,00;441;104;62;33;21;693;195
51;40,80;-288,46;0,00;0,00;0,00;-0,29;0,00;0,00;438;196;38;24;37;583;727
52;61,47;-98,26;0,00;0,00;0,00;-0,10;0,00;0,00;240;19;28;48;35;557;461
53;60,83;-53,32;0,00;0,00;0,00;-0,05;0,00;0,00;318;69;119;22;33;133;189
54;60,10;-98,85;0,00;0,00;0,00;-0,10;0,00;0,00;187;87;136;12;33;357;559
55;82,88;62,69;0,00;0,00;0,00;0,06;0,00;0,00;446;34;119;38;38;101;231
56;35,83;-293,65;0,00;0,00;0,00;-0,29;0,00;0,00;395;128;143;34;31;684;975
57;50,45;-162,97;0,00;0,00;0,00;-0,16;0,00;0,00;61;129;166;41;33;868;601
58;50,13;-191,02;0,00;0,00;0,00;-0,19;0,00;0,00;321;108;62;18;20;434;796
59;45,47;-250,63;0,00;0,00;0,00;-0,25;0,00;0,00;354;68;170;20;26;893;428
60;70,57;9,23;0,00;0,00;0,00;0,01;0,00;0,00;231;17;162;20;30;324;495
61;0,00;-663,88;0,00;0,00;0,00;-0,66;0,00;0,00;55;183;30;31;15;867;233
62;21,63;-438,47;0,00;0,00;0,00;-0,44;0,00;0,00;208;164;120;27;37;826;798
63;47,32;-311,67;0,00;0,00;0,00;-0,31;0,00;0,00;58;64;121;26;37;617;659
64;47,72;-184,11;0,00;0,00;0,00;-0,18;0,00;0,00;155;94;12;47;22;399;608
65;62,50;-150,08;0,00;0,00;0,00;-0,15;0,00;0,00;374;162;178;30;17;400;553
66;58,79;-144,96;0,00;0,00;0,00;-0,14;0,00;0,00;302;150;24;41;35;408;499
67;38,66;-326,58;0,00;0,00;0,00;-0,33;0,00;0,00;145;30;182;24;22;649;932
68;35,11;-384,46;0,00;0,00;0,00;-0,38;0,00;0,00;155;145;24;34;35;606;628
69;36,82;-290,28;0,00;0,00;0,00;-0,29;0,00;0,00;26;13;113;11;32;216;111
70;87,91;98,87;0,00;0,00;0,00;0,10;0,00;0,00;211;189;107;29;26;569;552
71;54,57;-173,14;0,00;0,00;0,00;-0,17;0,00;0,00;434;157;48;38;18;143;358
72;25,28;-407,13;0,00;0,00;0,00;-0,41;0,00;0,00;323;50;159;44;28;668;128
73;49,77;-231,13;0,00;0,00;0,00;-0,23;0,00;0,00;161;127;48;17;24;820;322
74;33,74;-335,95;0,00;0,00;0,00;-0,34;0,00;0,00;473;85;65;30;18;841;544
75;85,68;265,44;0,00;0,00;0,00;0,27;0,00;0,00;267;40;40;37;29;147;572
76;66,13;-28,21;0,00;0,00;0,00;-0,03;0,00;0,00;30;97;186;18;35;150;518
77;35,46;-316,01;0,00;0,00;0,00;-0,32;0,00;0,00;254;21;63;18;22;862;782
78;85,66;83,21;0,00;0,00;0,00;0,08;0,00;0,00;47;66;43;11;24;303;953
79;19,59;-417,07;0,00;0,00;0,00;-0,42;0,00;0,00;157;60;133;33;32;466;519
80;68,93;19,34;0,00;0,00;0,00;0,02;0,00;0,00;421;167;96;27;25;235;149
81;31,40;-249,87;0,00;0,00;0,00;-0,25;0,00;0,00;262;51;112;36;21;208;593
82;36,67;-381,79;0,00;0,00;0,00;-0,38;0,00;0,00;321;190;117;12;18;627;569
83;100,00;323,51;0,00;0,00;0,00;0,32;0,00;0,00;367;80;40;25;30;780;210
84;71,89;-80,81;0,00;0,00;0,00;-0,08;0,00;0,00;96;111;162;23;32;550;758
85;41,08;-260,25;0,00;0,00;0,00;-0,26;0,00;0,00;206;125;185;48;35;637;880
86;1,19;-740,66;0,00;0,00;0,00;-0,74;0,00;0,00;477;159;48;44;19;472;505
87;52,26;-186,62;0,00;0,00;0,00;-0,19;0,00;0,00;403;134;79;13;25;243;636
88;60,84;-126,36;0,00;0,00;0,00;-0,13;0,00;0,00;154;175;187;26;28;359;674
89;65,21;43,54;0,00;0,00;0,00;0,04;0,00;0,00;231;165;54;38;29;526;531
90;59,53;-63,84;0,00;0,00;0,00;-0,06;0,00;0,00;248;34;44;46;25;939;886
91;41,40;-239,35;0,00;0,00;0,00;-0,24;0,00;0,00;422;186;41;34;27;942;711
92;45,61;-201,93;0,00;0,00;0,00;-0,20;0,00;0,00;229;192;25;17;20;774;390
93;51,99;-155,75;0,00;0,00;0,00;-0,16;0,00;0,00;436;81;67;15;33;783;621
94;30,28;-441,48;0,00;0,00;0,00;-0,44;0,00;0,00;75;180;62;49;33;688;411
95;25,23;-338,52;0,00;0,00;0,00;-0,34;0,00;0,00;256;116;53;17;22;904;558
96;43,98;-199,40;0,00;0,00;0,00;-0,20;0,00;0,00;10;35;130;34;19;383;585
97;45,75;-130,63;0,00;0,00;0,00;-0,13;0,00;0,00;321;73;74;34;39;353;755
98;76,03;-3,60;0,00;0,00;0,00;-0,00;0,00;0,00;244;50;117;35;29;246;875
99;77,88;19,11;0,00;0,00;0,00;0,02;0,00;0,00;160;98;198;17;19;408;560
100;23,30;-421,57;0,00;0,00;0,00;-0,42;0,00;0,00;332;188;106;38;36;601;731
101;66,25;-115,78;0,00;0,00;0,00;-0,12;0,00;0,00;258;17;112;39;27;244;666
102;69,37;6,93;0,00;0,00;0,00;0,01;0,00;0,00;183;185;145;43;23;581;204
103;25,27;-445,53;0,00;0,00;0,00;-0,45;0,00;0,00;200;54;109;22;37;271;507
104;52,15;-183,22;0,00;0,00;0,00;-0,18;0,00;0,00;50;98;119;11;37;386;796
105;5,83;-582,44;0,00;0,00;0,00;-0,58;0,00;0,00;166;50;131;18;26;248;427
106;81,44;156,67;0,00;0,00;0,00;0,16;0,00;0,00;325;144;59;14;18;265;196
107;38,74;-312,06;0,00;0,00;0,00;-0,31;0,00;0,00;394;175;13;14;25;960;178
108;38,22;-387,86;0,00;0,00;0,00;-0,39;0,00;0,00;391;64;128;20;24;205;830
109;65,88;-30,61;0,00;0,00;0,00;-0,03;0,00;0,00;160;91;61;19;26;444;687
110;49,48;-333,31;0,00;0,00;0,00;-0,33;0,00;0,00;322;20;74;32;27;291;873
111;55,36;-116,04;0,00;0,00;0,00;-0,12;0,00;0,00;207;176;61;16;36;790;300
112;53,33;-274,78;0,00;0,00;0,00;-0,27;0,00;0,00;38;65;145;10;38;516;970
113;52,82;-175,09;0,00;0,00;0,00;-0,18;0,00;0,00;478;133;26;21;27;872;959
114;35,14;-438,16;0,00;0,00;0,00;-0,44;0,00;0,00;14;27;142;41;22;929;926
115;44,65;-166,97;0,00;0,00;0,00;-0,17;0,00;0,00;420;189;164;13;35;926;987
116;73,20;43,81;0,00;0,00;0,00;0,04;0,00;0,00;451;54;85;27;30;897;611
117;68,19;3,33;0,00;0,00;0,00;0,00;0,00;0,00;159;192;140;41;30;990;999
118;93,93;264,80;0,00;0,00;0,00;0,26;0,00;0,00;296;90;68;41;27;367;200
119;34,60;-343,09;0,00;0,00;0,00;-0,34;0,00;0,00;366;38;12;43;33;108;756
120;44,76;-263,37;0,00;0,00;0,00;-0,26;0,00;0,00;152;104;118;18;35;804;557
121;74,89;-67,96;0,00;0,00;0,00;-0,07;0,00;0,00;451;197;64;31;17;694;751
122;20,92;-514,28;0,00;0,00;0,00;-0,51;0,00;0,00;450;53;83;42;17;277;956
123;14,19;-576,67;0,00;0,00;0,00;-0,58;0,00;0,00;302;107;93;22;28;310;708
124;50,32;-197,09;0,00;0,00;0,00;-0,20;0,00;0,00;232;84;100;17;16;872;636
125;45,58;-265,31;0,00;0,00;0,00;-0,27;0,00;0,00;117;154;38;39;20;545;353
126;46,09;-261,41;0,00;0,00;0,00;-0,26;0,00;0,00;123;51;109;21;23;470;825
127;57,12;-150,76;0,00;0,00;0,00;-0,15;0,00;0,00;154;154;31;39;30;430;794
128;80,03;51,69;0,00;0,00;0,00;0,05;0,00;0,00;236;130;149;26;30;178;283
129;93,33;219,94;0,00;0,00;0,00;0,22;0,00;0,00;323;87;22;41;23;334;517
130;79,43;97,83;0,00;0,00;0,00;0,10;0,00;0,00;465;167;127;28;31;475;744
131;63,02;-55,29;0,00;0,00;0,00;-0,06;0,00;0,00;342;101;191;20;16;772;295
132;19,57;-470,50;0,00;0,00;0,00;-0,47;0,00;0,00;474;62;28;18;22;615;375
133;53,36;-125,23;0,00;0,00;0,00;-0,13;0,00;0,00;152;35;120;20;32;880;715
134;51,31;-332,06;0,00;0,00;0,00;-0,33;0,00;0,00;474;139;84;15;18;177;796
135;66,62;-10,73;0,00;0,00;0,00;-0,01;0,00;0,00;177;69;177;40;16;931;561
136;32,56;-406,50;0,00;0,00;0,00;-0,41;0,00;0,00;395;190;131;44;22;467;689
137;55,30;-114,35;0,00;0,00;0,00;-0,11;0,00;0,00;71;71;49;22;19;251;542
138;19,51;-543,43;0,00;0,00;0,00;-0,54;0,00;0,00;178;77;131;28;36;643;299
139;71,53;71,57;0,00;0,00;0,00;0,07;0,00;0,00;437;104;137;27;16;800;614
140;65,20;-49,11;0,00;0,00;0,00;-0,05;0,00;0,00;439;60;160;25;23;930;421
141;60,58;-116,36;0,00;0,00;0,00;-0,12;0,00;0,00;153;181;113;15;24;710;687
142;61,37;-92,84;0,00;0,00;0,00;-0,09;0,00;0,00;260;56;199;13;37;790;759
143;0,00;-725,36;0,00;0,00;0,00;-0,73;0,00;0,00;212;141;190;18;30;570;729
144;35,36;-366,19;0,00;0,00;0,00;-0,37;0,00;0,00;283;53;191;17;19;225;548
145;37,95;-362,55;0,00;0,00;0,00;-0,36;0,00;0,00;66;163;82;10;30;574;396
146;22,63;-492,35;0,00;0,00;0,00;-0,49;0,00;0,00;123;104;44;24;24;752;410
147;53,69;-109,26;0,00;0,00;0,00;-0,11;0,00;0,00;166;122;13;42;33;126;999
148;60,31;-74,02;0,00;0,00;0,00;-0,07;0,00;0,00;26;105;38;38;23;361;568
149;91,01;198,22;0,00;0,00;0,00;0,20;0,00;0,00;362;174;87;11;22;185;322
150;100,00;315,87;0,00;0,00;0,00;0,32;0,00;0,00;85;173;98;28;37;746;837
151;18,77;-512,89;0,00;0,00;0,00;-0,51;0,00;0,00;68;157;20;49;21;805;823
152;49,00;-175,05;0,00;0,00;0,00;-0,18;0,00;0,00;100;118;26;34;21;950;606
153;49,89;-234,00;0,00;0,00;0,00;-0,23;0,00;0,00;245;51;153;48;27;488;624
154;25,77;-454,24;0,00;0,00;0,00;-0,45;0,00;0,00;486;93;190;46;37;611;664
155;44,28;-266,04;0,00;0,00;0,00;-0,27;0,00;0,00;17;20;95;13;27;911;574
156;57,56;-128,24;0,00;0,00;0,00;-0,13;0,00;0,00;271;18;41;14;33;208;392
157;33,40;-499,14;0,00;0,00;0,00;-0,50;0,00;0,00;118;179;184;39;22;924;157
158;70,29;-87,53;0,00;0,00;0,00;-0,09;0,00;0,00;369;35;87;41;26;987;554
159;36,44;-369,56;0,00;0,00;0,00;-0,37;0,00;0,00;261;16;196;33;23;934;852
160;41,26;-247,21;0,00;0,00;0,00;-0,25;0,00;0,00;109;80;155;23;34;913;264
161;6,75;-605,25;0,00;0,00;0,00;-0,61;0,00;0,00;24;119;159;17;17;491;511
162;62,77;-128,54;0,00;0,00;0,00;-0,13;0,00;0,00;454;94;93;24;38;211;284
163;34,23;-383,32;0,00;0,00;0,00;-0,38;0,00;0,00;486;174;77;12;27;171;333
164;60,91;-120,02;0,00;0,00;0,00;-0,12;0,00;0,00;483;47;185;30;36;358;281
165;100,00;284,83;0,00;0,00;0,00;0,28;0,00;0,00;211;196;170;39;33;451;858
166;52,52;-167,91;0,00;0,00;0,00;-0,17;0,00;0,00;281;59;130;23;23;853;934
167;86,40;204,19;0,00;0,00;0,00;0,20;0,00;0,00;415;174;139;29;18;579;382
168;24,78;-433,88;0,00;0,00;0,00;-0,43;0,00;0,00;203;11;68;41;25;631;395
169;58,77;-62,02;0,00;0,00;0,00;-0,06;0,00;0,00;68;87;86;31;33;448;688
170;30,90;-413,93;0,00;0,00;0,00;-0,41;0,00;0,00;156;116;147;41;30;293;352
171;20,51;-455,13;0,00;0,00;0,00;-0,46;0,00;0,00;150;104;139;20;22;413;540
172;25,08;-487,60;0,00;0,00;0,00;-0,49;0,00;0,00;428;79;153;20;17;257;904
173;48,34;-202,81;0,00;0,00;0,00;-0,20;0,00;0,00;53;163;154;31;39;111;747
174;67,34;4,53;0,00;0,00;0,00;0,00;0,00;0,00;315;198;190;19;35;921;145
175;62,52;-113,10;0,00;0,00;0,00;-0,11;0,00;0,00;385;51;101;41;27;985;108
176;40,20;-378,99;0,00;0,00;0,00;-0,38;0,00;0,00;121;61;173;17;24;246;768
177;46,74;-221,39;0,00;0,00;0,00;-0,22;0,00;0,00;105;61;93;47;19;865;815
178;15,96;-563,56;0,00;0,00;0,00;-0,56;0,00;0,00;130;72;35;22;28;609;366
179;100,00;329,40;0,00;0,00;0,00;0,33;0,00;0,00;110;44;60;18;16;616;499
180;41,84;-266,36;0,00;0,00;0,00;-0,27;0,00;0,00;332;20;42;41;36;710;296
