Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;33,25;-171,73;0,00;0,00;0,00;-0,17;0,00;0,00;259;150;98;38;19;872;349
2;63,10;138,55;0,00;0,00;0,00;0,14;0,00;0,00;345;54;118;42;29;904;851
3;55,54;20,47;0,00;0,00;0,00;0,02;0,00;0,00;292;193;135;38;35;556;207
4;61,89;49,52;0,00;0,00;0,00;0,05;0,00;0,00;181;130;155;25;17;304;999
5;62,31;189,54;0,00;0,00;0,00;0,19;0,00;0,00;472;187;108;41;33;493;622
6;51,14;98,84;0,00;0,00;0,00;0,10;0,00;0,00;222;102;71;49;37;136;976
7;57,33;53,36;0,00;0,00;0,00;0,05;0,00;0,00;262;124;19;16;33;683;797
8;48,37;17,40;0,00;0,00;0,00;0,02;0,00;0,00;82;87;69;19;39;862;898
9;20,53;-223,17;0,00;0,00;0,00;-0,22;0,00;0,00;489;68;116;33;25;762;340
10;40,75;-30,14;0,00;0,00;0,00;-0,03;0,00;0,00;338;162;75;49;23;792;965
11;56,03;87,39;0,00;0,00;0,00;0,09;0,00;0,00;314;147;16;39;17;990;977
12;51,43;-85,07;0,00;0,00;0,00;-0,09;0,00;0,00;360;163;12;32;20;981;795
13;49,06;12,19;0,00;0,00;0,00;0,01;0,00;0,00;394;155;83;41;34;989;624
14;23,76;-164,26;0,00;0,00;0,00;-0,16;0,00;0,00;304;106;68;38;32;895;407
15;49,24;23,87;0,00;0,00;0,00;0,02;0,00;0,00;244;60;66;13;17;714;950
16;50,79;-14,60;0,00;0,00;0,00;-0,01;0,00;0,00;406;54;194;17;33;918;987
17;21,60;-288,44;0,00;0,00;0,00;-0,29;0,00;0,00;66;163;189;39;24;224;123
18;74,13;373,20;0,00;0,00;0,00;0,37;0,00;0,00;436;185;191;43;35;479;850
19;34,14;-215,62;0,00;0,00;0,00;-0,22;0,00;0,00;54;98;136;42;22;363;920
20;51,27;-96,07;0,00;0,00;0,00;-0,10;0,00;0,00;345;180;107;18;28;396;447
21;77,89;301,64;0,00;0,00;0,00;0,30;0,00;0,00;426;126;129;21;29;516;637
22;44,58;-44,94;0,00;0,00;0,00;-0,04;0,00;0,00;244;144;143;20;37;697;951
23;44,37;-51,96;0,00;0,00;0,00;-0,05;0,00;0,00;239;92;92;20;18;928;737
24;53,00;82,43;0,00;0,00;0,00;0,08;0,00;0,00;392;104;134;16;16;852;290
25;51,23;-50,50;0,00;0,00;0,00;-0,05;0,00;0,00;54;92;50;10;16;165;272
26;55,84;97,79;0,00;0,00;0,00;0,10;0,00;0,00;86;184;129;33;26;453;452
27;40,01;-75,61;0,00;0,00;0,00;-0,08;0,00;0,00;129;115;191;33;18;986;307
28;47,80;-29,18;0,00;0,00;0,00;-0,03;0,00;0,00;309;13;154;11;23;747;162
29;47,56;29,19;0,00;0,00;0,00;0,03;0,00;0,00;225;87;172;33;20;582;343
30;50,41;3,85;0,00;0,00;0,00;0,00;0,00;0,00;284;72;193;41;23;350;790
31;57,68;27,86;0,00;0,00;0,00;0,03;0,00;0,00;35;78;143;33;15;199;988
32;36,90;-60,61;0,00;0,00;0,00;-0,06;0,00;0,00;104;147;45;42;34;781;432
33;41,45;-99,91;0,00;0,00;0,00;-0,10;0,00;0,00;454;52;77;31;37;222;215
34;44,19;-59,97;0,00;0,00;0,00;-0,06;0,00;0,00;317;112;198;13;24;547;233
35;34,83;-127,43;0,00;0,00;0,00;-0,13;0,00;0,00;369;165;184;14;32;307;808
36;53,98;102,47;0,00;0,00;0,00;0,10;0,00;0,00;200;71;115;30;17;384;888
37;40,26;-204,99;0,00;0,00;0,00;-0,20;0,00;0,00;155;180;129;38;34;661;192
38;52,60;32,64;0,00;0,00;0,00;0,03;0,00;0,00;223;154;119;21;23;995;955
39;100,00;454,58;0,00;0,00;0,00;0,45;0,00;0,00;235;146;46;45;20;260;861
40;54,25;45,16;0,00;0,00;0,00;0,05;0,00;0,00;164;27;199;48;34;789;634
41;40,31;-63,05;0,00;0,00;0,00;-0,06;0,00;0,00;139;32;40;28;29;230;716
42;41,63;-78,20;0,00;0,00;0,00;-0,08;0,00;0,00;165;14;54;11;18;381;314
43;40,96;-101,68;0,00;0,00;0,00;-0,10;0,00;0,00;294;181;194;23;28;950;468
44;62,37;160,82;0,00;0,00;0,00;0,16;0,00;0,00;240;47;187;32;33;846;657
45;31,91;-242,64;0,00;0,00;0,00;-0,24;0,00;0,00;60;64;151;44;27;529;191
46;47,04;-81,71;0,00;0,00;0,00;-0,08;0,00;0,00;235;115;63;37;34;555;583
47;80,23;321,04;0,00;0,00;0,00;0,32;0,00;0,00;390;79;182;45;18;705;798
48;39,14;-34,94;0,00;0,00;0,00;-0,03;0,00;0,00;471;14;24;27;35;391;136
49;48,71;-123,77;0,00;0,00;0,00;-0,12;0,00;0,00;109;54;29;36;28;679;584
50;27,15;-271,34;0,00;0,00;0,00;-0,27;0,00;0,00;284;148;123;26;30;797;642
51;44,59;-83,97;0,00;0,00;0,00;-0,08;0,00;0,00;257;38;132;26;31;166;319
52;49,52;-58,56;0,00;0,00;0,00;-0,06;0,00;0,00;370;108;191;23;24;680;859
53;51,91;107,62;0,00;0,00;0,00;0,11;0,00;0,00;40;71;33;46;34;354;451
