Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;49,11;-279,27;0,00;0,00;0,00;-0,28;0,00;0,00;435;37;181;24;16;525;131
2;50,85;-151,29;0,00;0,00;0,00;-0,15;0,00;0,00;310;159;111;20;39;645;272
3;4,19;-633,28;0,00;0,00;0,00;-0,63;0,00;0,00;228;162;185;13;24;818;483
4;10,34;-628,29;0,00;0,00;0,00;-0,63;0,00;0,00;342;145;113;48;34;622;693
5;40,34;-274,45;0,00;0,00;0,00;-0,27;0,00;0,00;268;163;62;40;28;417;198
6;44,99;-251,62;0,00;0,00;0,00;-0,25;0,00;0,00;45;181;130;32;17;879;183
7;85,29;141,49;0,00;0,00;0,00;0,14;0,00;0,00;450;42;135;13;34;797;138
8;94,76;266,67;0,00;0,00;0,00;0,27;0,00;0,00;396;28;133;46;30;332;408
9;51,99;-120,03;0,00;0,00;0,00;-0,12;0,00;0,00;227;46;151;31;17;685;424
10;18,23;-515,77;0,00;0,00;0,00;-0,52;0,00;0,00;412;134;107;12;22;854;332
11;0,00;-613,58;0,00;0,00;0,00;-0,61;0,00;0,00;111;28;89;33;39;423;165
12;92,08;195,15;0,00;0,00;0,00;0,20;0,00;0,00;383;151;13;15;35;124;871
13;66,85;-24,94;0,00;0,00;0,00;-0,02;0,00;0,00;433;85;136;39;20;821;397
14;54,05;-107,23;0,00;0,00;0,00;-0,11;0,00;0,00;129;89;157;26;24;384;380
15;44,44;-224,42;0,00;0,00;0,00;-0,22;0,00;0,00;245;13;190;48;15;385;548
16;5,14;-686,24;0,00;0,00;0,00;-0,69;0,00;0,00;95;113;156;48;31;796;179
17;32,25;-382,20;0,00;0,00;0,00;-0,38;0,00;0,00;127;103;95;35;27;895;794
18;42,71;-301,19;0,00;0,00;0,00;-0,30;0,00;0,00;38;150;128;29;20;701;788
19;81,91;44,58;0,00;0,00;0,00;0,04;0,00;0,00;211;58;73;47;31;518;225
20;0,00;-738,06;0,00;0,00;0,00;-0,74;0,00;0,00;457;121;61;29;16;750;171
21;92,98;257,09;0,00;0,00;0,00;0,26;0,00;0,00;350;153;67;17;18;324;153
22;53,38;-195,21;0,00;0,00;0,00;-0,20;0,00;0,00;98;186;146;30;21;507;893
23;74,99;36,12;0,00;0,00;0,00;0,04;0,00;0,00;295;100;151;39;23;163;787
24;58,23;-92,37;0,00;0,00;0,00;-0,09;0,00;0,00;446;96;36;44;23;764;474
25;18,25;-538,40;0,00;0,00;0,00;-0,54;0,00;0,00;486;34;103;23;36;639;826
26;32,51;-314,54;0,00;0,00;0,00;-0,31;0,00;0,00;171;134;14;25;34;549;328
27;88,45;69,55;0,00;0,00;0,00;0,07;0,00;0,00;75;30;142;37;26;513;541
28;15,20;-556,38;0,00;0,00;0,00;-0,56;0,00;0,00;165;98;65;13;29;166;425
29;58,85;-80,11;0,00;0,00;0,00;-0,08;0,00;0,00;471;63;194;26;29;554;716
30;36,02;-425,61;0,00;0,00;0,00;-0,43;0,00;0,00;231;57;167;47;29;269;648
31;75,18;98,63;0,00;0,00;0,00;0,10;0,00;0,00;476;40;79;39;27;633;109
32;84,06;134,29;0,00;0,00;0,00;0,13;0,00;0,00;151;197;26;18;21;235;974
33;82,49;87,37;0,00;0,00;0,00;0,09;0,00;0,00;107;135;143;17;34;868;582
34;64,72;-63,79;0,00;0,00;0,00;-0,06;0,00;0,00;431;70;39;43;39;347;851
35;42,58;-280,19;0,00;0,00;0,00;-0,28;0,00;0,00;323;95;45;15;17;737;418
36;18,92;-499,71;0,00;0,00;0,00;-0,50;0,00;0,00;61;80;116;22;23;817;422
37;15,93;-562,24;0,00;0,00;0,00;-0,56;0,00;0,00;373;117;173;23;37;718;703
38;37,47;-332,40;0,00;0,00;0,00;-0,33;0,00;0,00;270;129;108;15;16;411;662
39;75,20;53,52;0,00;0,00;0,00;0,05;0,00;0,00;384;182;108;30;31;429;198
40;40,68;-284,31;0,00;0,00;0,00;-0,28;0,00;0,00;297;81;154;21;21;781;998
41;12,26;-543,25;0,00;0,00;0,00;-0,54;0,00;0,00;77;57;18;17;37;632;515
42;25,15;-388,69;0,00;0,00;0,00;-0,39;0,00;0,00;56;119;36;26;34;798;594
43;50,75;-138,73;0,00;0,00;0,00;-0,14;0,00;0,00;50;25;53;33;30;697;637
44;55,05;-150,84;0,00;0,00;0,00;-0,15;0,00;0,00;311;179;155;24;38;813;396
45;67,71;-68,01;0,00;0,00;0,00;-0,07;0,00;0,00;212;150;164;13;24;730;805
46;69,04;19,06;0,00;0,00;0,00;0,02;0,00;0,00;421;139;138;25;21;739;420
47;59,36;-134,14;0,00;0,00;0,00;-0,13;0,00;0,00;282;87;150;43;19;230;144
48;37,24;-354,43;0,00;0,00;0,00;-0,35;0,00;0,00;118;77;104;45;21;828;592
49;30,18;-355,70;0,00;0,00;0,00;-0,36;0,00;0,00;335;180;25;16;19;915;958
50;23,01;-443,35;0,00;0,00;0,00;-0,44;0,00;0,00;52;100;73;49;27;931;925
51;4,61;-630,71;0,00;0,00;0,00;-0,63;0,00;0,00;49;120;196;32;34;550;147
52;35,57;-327,57;0,00;0,00;0,00;-0,33;0,00;0,00;174;35;150;39;19;702;770
53;79,75;43,51;0,00;0,00;0,00;0,04;0,00;0,00;77;119;15;15;21;325;711
54;70,09;38,20;0,00;0,00;0,00;0,04;0,00;0,00;32;157;97;15;34;959;459
55;58,47;-103,87;0,00;0,00;0,00;-0,10;0,00;0,00;100;171;170;36;35;665;550
56;48,82;-193,43;0,00;0,00;0,00;-0,19;0,00;0,00;247;151;105;26;26;361;215
57;47,87;-258,58;0,00;0,00;0,00;-0,26;0,00;0,00;298;18;56;17;27;932;854
58;27,80;-424,80;0,00;0,00;0,00;-0,42;0,00;0,00;161;63;51;18;19;464;291
59;18,09;-568,62;0,00;0,00;0,00;-0,57;0,00;0,00;101;87;119;30;30;174;136
60;42,00;-248,21;0,00;0,00;0,00;-0,25;0,00;0,00;193;105;19;43;19;355;605
61;35,08;-353,18;0,00;0,00;0,00;-0,35;0,00;0,00;324;167;147;48;30;152;159
62;62,33;-18,84;0,00;0,00;0,00;-0,02;0,00;0,00;106;188;87;33;15;541;112
63;72,63;45,48;0,00;0,00;0,00;0,05;0,00;0,00;163;84;150;33;21;588;834
64;50,02;-261,22;0,00;0,00;0,00;-0,26;0,00;0,00;373;171;198;29;18;843;924
65;17,07;-566,38;0,00;0,00;0,00;-0,57;0,00;0,00;177;38;166;37;31;294;488
66;63,17;-90,22;0,00;0,00;0,00;-0,09;0,00;0,00;230;179;144;27;17;901;444
67;49,11;-228,04;0,00;0,00;0,00;-0,23;0,00;0,00;424;188;166;13;32;993;881
68;27,38;-490,76;0,00;0,00;0,00;-0,49;0,00;0,00;363;32;191;43;39;182;924
69;38,65;-318,62;0,00;0,00;0,00;-0,32;0,00;0,00;409;144;164;20;30;638;142
70;55,91;-69,82;0,00;0,00;0,00;-0,07;0,00;0,00;243;137;127;45;30;807;377
71;21,24;-421,94;0,00;0,00;0,00;-0,42;0,00;0,00;494;118;160;44;15;658;945
72;29,46;-393,28;0,00;0,00;0,00;-0,39;0,00;0,00;150;181;78;46;25;681;751
73;58,79;-108,83;0,00;0,00;0,00;-0,11;0,00;0,00;405;18;19;47;25;435;741
74;15,61;-510,90;0,00;0,00;0,00;-0,51;0,00;0,00;464;92;144;11;25;491;672
75;82,54;190,35;0,00;0,00;0,00;0,19;0,00;0,00;484;18;196;40;19;580;304
76;47,55;-232,29;0,00;0,00;0,00;-0,23;0,00;0,00;100;143;130;10;36;602;491
77;31,35;-439,94;0,00;0,00;0,00;-0,44;0,00;0,00;293;165;141;21;17;607;732
78;67,16;-63,94;0,00;0,00;0,00;-0,06;0,00;0,00;448;194;172;48;22;803;503
79;49,56;-139,76;0,00;0,00;0,00;-0,14;0,00;0,00;191;195;30;34;20;857;604
80;58,19;-224,29;0,00;0,00;0,00;-0,22;0,00;0,00;184;69;135;45;30;459;798
81;41,84;-296,97;0,00;0,00;0,00;-0,30;0,00;0,00;273;120;92;38;31;834;922
82;25,23;-419,11;0,00;0,00;0,00;-0,42;0,00;0,00;138;158;124;41;23;862;739
83;75,68;56,49;0,00;0,00;0,00;0,06;0,00;0,00;206;174;26;15;28;786;617
84;41,47;-240,55;0,00;0,00;0,00;-0,24;0,00;0,00;394;82;135;35;35;291;467
85;41,61;-216,99;0,00;0,00;0,00;-0,22;0,00;0,00;11;92;44;43;38;797;181
86;21,25;-565,53;0,00;0,00;0,00;-0,57;0,00;0,00;395;170;196;13;34;121;746
87;64,17;-59,24;0,00;0,00;0,00;-0,06;0,00;0,00;418;63;22;16;37;477;472
88;42,61;-269,04;0,00;0,00;0,00;-0,27;0,00;0,00;368;80;187;13;38;189;798
89;44,52;-276,81;0,00;0,00;0,00;-0,28;0,00;0,00;313;97;87;24;28;535;541
90;75,82;94,83;0,00;0,00;0,00;0,09;0,00;0,00;275;21;168;47;36;453;923
91;66,01;-57,10;0,00;0,00;0,00;-0,06;0,00;0,00;493;95;110;46;32;989;390
92;43,60;-291,94;0,00;0,00;0,00;-0,29;0,00;0,00;465;199;86;12;26;112;297
93;74,08;60,61;0,00;0,00;0,00;0,06;0,00;0,00;346;182;10;28;30;710;965
94;21,14;-550,59;0,00;0,00;0,00;-0,55;0,00;0,00;385;143;186;29;28;734;253
95;10,40;-658,98;0,00;0,00;0,00;-0,66;0,00;0,00;148;163;140;42;34;403;627
96;64,74;2,92;0,00;0,00;0,00;0,00;0,00;0,00;396;136;179;35;23;865;553
97;49,15;-257,11;0,00;0,00;0,00;-0,26;0,00;0,00;210;74;197;39;19;729;633
98;34,09;-368,60;0,00;0,00;0,00;-0,37;0,00;0,00;225;136;134;45;33;480;176
99;58,90;-173,57;0,00;0,00;0,00;-0,17;0,00;0,00;403;85;53;22;33;154;655
100;27,47;-400,56;0,00;0,00;0,00;-0,40;0,00;0,00;123;133;168;43;37;760;198
101;38,27;-368,39;0,00;0,00;0,00;-0,37;0,00;0,00;275;83;140;10;20;951;747
102;43,12;-189,24;0,00;0,00;0,00;-0,19;0,00;0,00;344;167;97;24;39;516;247
103;46,61;-193,45;0,00;0,00;0,00;-0,19;0,00;0,00;37;181;133;33;35;759;407
104;32,91;-339,41;0,00;0,00;0,00;-0,34;0,00;0,00;220;20;156;20;19;736;125
105;20,61;-550,67;0,00;0,00;0,00;-0,55;0,00;0,00;397;156;107;26;37;252;158
106;28,08;-362,99;0,00;0,00;0,00;-0,36;0,00;0,00;441;111;10;32;18;202;633
107;36,31;-425,73;0,00;0,00;0,00;-0,43;0,00;0,00;378;114;161;43;37;271;330
108;6,95;-702,85;0,00;0,00;0,00;-0,70;0,00;0,00;293;36;128;28;15;758;376
