Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;55,16;-107,24;0,00;0,00;0,00;-0,11;0,00;0,00;401;140;81;44;17;705;176
2;54,31;-165,31;0,00;0,00;0,00;-0,17;0,00;0,00;380;16;151;17;36;686;828
3;41,43;-306,15;0,00;0,00;0,00;-0,31;0,00;0,00;14;180;51;29;18;720;386
4;71,71;-6,15;0,00;0,00;0,00;-0,01;0,00;0,00;313;131;38;46;16;367;374
5;51,07;-98,90;0,00;0,00;0,00;-0,10;0,00;0,00;174;73;30;17;22;506;767
6;32,46;-360,46;0,00;0,00;0,00;-0,36;0,00;0,00;226;51;174;28;16;169;468
7;31,73;-385,51;0,00;0,00;0,00;-0,39;0,00;0,00;393;178;179;40;35;318;875
8;23,85;-423,21;0,00;0,00;0,00;-0,42;0,00;0,00;74;55;150;45;33;669;928
9;96,81;345,75;0,00;0,00;0,00;0,35;0,00;0,00;404;102;44;45;31;564;407
10;65,88;-118,75;0,00;0,00;0,00;-0,12;0,00;0,00;102;192;83;49;33;948;183
11;58,76;-140,30;0,00;0,00;0,00;-0,14;0,00;0,00;91;157;72;30;30;889;394
12;33,25;-390,38;0,00;0,00;0,00;-0,39;0,00;0,00;394;159;120;35;36;597;985
13;52,62;-166,23;0,00;0,00;0,00;-0,17;0,00;0,00;15;63;61;24;24;775;998
14;14,85;-568,80;0,00;0,00;0,00;-0,57;0,00;0,00;80;170;194;29;30;890;525
15;65,40;-12,60;0,00;0,00;0,00;-0,01;0,00;0,00;368;182;160;12;25;960;541
16;30,79;-375,03;0,00;0,00;0,00;-0,38;0,00;0,00;95;168;161;41;36;606;633
17;59,32;-44,82;0,00;0,00;0,00;-0,04;0,00;0,00;387;74;172;26;18;561;522
18;87,28;156,09;0,00;0,00;0,00;0,16;0,00;0,00;98;176;43;45;15;982;614
19;39,08;-362,75;0,00;0,00;0,00;-0,36;0,00;0,00;482;90;167;30;26;995;705
20;8,92;-600,12;0,00;0,00;0,00;-0,60;0,00;0,00;34;127;60;49;36;202;227
21;62,74;-136,73;0,00;0,00;0,00;-0,14;0,00;0,00;126;126;179;26;20;652;249
22;40,17;-296,84;0,00;0,00;0,00;-0,30;0,00;0,00;327;120;55;46;28;294;574
23;40,48;-306,83;0,00;0,00;0,00;-0,31;0,00;0,00;320;139;185;30;27;249;144
24;25,95;-442,97;0,00;0,00;0,00;-0,44;0,00;0,00;304;144;143;37;36;818;451
25;28,67;-379,17;0,00;0,00;0,00;-0,38;0,00;0,00;280;57;83;28;35;142;189
26;21,43;-518,09;0,00;0,00;0,00;-0,52;0,00;0,00;267;61;185;21;16;627;705
27;56,93;-180,52;0,00;0,00;0,00;-0,18;0,00;0,00;176;66;176;12;17;225;358
28;39,83;-259,22;0,00;0,00;0,00;-0,26;0,00;0,00;303;179;173;47;19;455;489
29;70,53;30,10;0,00;0,00;0,00;0,03;0,00;0,00;275;131;16;42;28;156;641
30;88,85;239,57;0,00;0,00;0,00;0,24;0,00;0,00;31;170;79;47;32;364;998
31;68,86;-107,27;0,00;0,00;0,00;-0,11;0,00;0,00;240;140;180;33;24;388;626
32;41,96;-303,43;0,00;0,00;0,00;-0,30;0,00;0,00;87;174;72;44;37;949;222
33;66,52;8,83;0,00;0,00;0,00;0,01;0,00;0,00;371;112;142;36;18;467;748
34;63,94;11,09;0,00;0,00;0,00;0,01;0,00;0,00;474;146;148;49;23;739;339
35;17,73;-582,20;0,00;0,00;0,00;-0,58;0,00;0,00;378;171;52;28;27;980;233
36;51,41;-195,64;0,00;0,00;0,00;-0,20;0,00;0,00;47;148;184;15;23;109;334
37;78,10;138,18;0,00;0,00;0,00;0,14;0,00;0,00;325;152;175;38;19;218;529
38;61,75;-190,42;0,00;0,00;0,00;-0,19;0,00;0,00;219;88;187;13;15;759;141
39;9,85;-680,87;0,00;0,00;0,00;-0,68;0,00;0,00;422;189;146;45;31;367;574
40;61,73;-11,40;0,00;0,00;0,00;-0,01;0,00;0,00;130;44;109;16;37;960;597
41;74,32;77,46;0,00;0,00;0,00;0,08;0,00;0,00;498;66;71;47;31;318;831
42;28,79;-402,15;0,00;0,00;0,00;-0,40;0,00;0,00;392;115;88;33;29;217;588
43;73,31;52,09;0,00;0,00;0,00;0,05;0,00;0,00;289;91;90;30;33;384;548
44;45,83;-253,21;0,00;0,00;0,00;-0,25;0,00;0,00;73;155;174;42;38;651;674
45;40,01;-305,51;0,00;0,00;0,00;-0,31;0,00;0,00;254;148;121;16;21;638;478
46;62,47;-119,57;0,00;0,00;0,00;-0,12;0,00;0,00;348;143;48;41;21;529;359
47;100,00;345,05;0,00;0,00;0,00;0,35;0,00;0,00;358;83;34;44;27;952;622
48;58,86;-192,54;0,00;0,00;0,00;-0,19;0,00;0,00;33;79;43;21;27;113;306
49;44,57;-172,42;0,00;0,00;0,00;-0,17;0,00;0,00;118;75;116;13;39;799;411
50;45,98;-193,69;0,00;0,00;0,00;-0,19;0,00;0,00;273;104;62;33;21;693;195
51;26,78;-362,23;0,00;0,00;0,00;-0,36;0,00;0,00;400;196;38;24;37;583;727
