Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;52,65;-129,07;0,00;0,00;0,00;-0,13;0,00;0,00;337;37;181;24;16;525;131
2;62,45;-118,78;0,00;0,00;0,00;-0,12;0,00;0,00;90;159;111;20;39;645;272
3;39,89;-284,75;0,00;0,00;0,00;-0,28;0,00;0,00;440;162;185;13;24;818;483
4;0,00;-671,12;0,00;0,00;0,00;-0,67;0,00;0,00;440;145;113;48;34;622;693
5;45,22;-201,03;0,00;0,00;0,00;-0,20;0,00;0,00;303;163;62;40;28;417;198
6;46,45;-220,06;0,00;0,00;0,00;-0,22;0,00;0,00;238;181;130;32;17;879;183
7;68,11;-30,63;0,00;0,00;0,00;-0,03;0,00;0,00;334;42;135;13;34;797;138
8;79,24;75,49;0,00;0,00;0,00;0,08;0,00;0,00;106;28;133;46;30;332;408
9;49,67;-191,88;0,00;0,00;0,00;-0,19;0,00;0,00;214;46;151;31;17;685;424
10;1,57;-679,76;0,00;0,00;0,00;-0,68;0,00;0,00;86;134;107;12;22;854;332
11;38,33;-358,96;0,00;0,00;0,00;-0,36;0,00;0,00;137;28;89;33;39;423;165
12;49,04;-246,32;0,00;0,00;0,00;-0,25;0,00;0,00;60;151;13;15;35;124;871
13;33,04;-387,64;0,00;0,00;0,00;-0,39;0,00;0,00;89;85;136;39;20;821;397
14;1,40;-654,97;0,00;0,00;0,00;-0,65;0,00;0,00;409;89;157;26;24;384;380
15;60,45;-10,80;0,00;0,00;0,00;-0,01;0,00;0,00;160;13;190;48;15;385;548
16;27,71;-432,72;0,00;0,00;0,00;-0,43;0,00;0,00;216;113;156;48;31;796;179
17;56,31;-136,54;0,00;0,00;0,00;-0,14;0,00;0,00;203;103;95;35;27;895;794
18;23,89;-364,64;0,00;0,00;0,00;-0,36;0,00;0,00;96;150;128;29;20;701;788
19;91,81;182,81;0,00;0,00;0,00;0,18;0,00;0,00;421;58;73;47;31;518;225
20;0,00;-747,52;0,00;0,00;0,00;-0,75;0,00;0,00;464;121;61;29;16;750;171
21;46,91;-193,83;0,00;0,00;0,00;-0,19;0,00;0,00;285;153;67;17;18;324;153
22;81,69;155,62;0,00;0,00;0,00;0,16;0,00;0,00;181;186;146;30;21;507;893
23;84,71;151,70;0,00;0,00;0,00;0,15;0,00;0,00;174;100;151;39;23;163;787
24;63,73;-120,63;0,00;0,00;0,00;-0,12;0,00;0,00;282;96;36;44;23;764;474
25;10,28;-626,86;0,00;0,00;0,00;-0,63;0,00;0,00;345;34;103;23;36;639;826
26;67,58;-42,24;0,00;0,00;0,00;-0,04;0,00;0,00;287;134;14;25;34;549;328
27;70,61;-20,99;0,00;0,00;0,00;-0,02;0,00;0,00;476;30;142;37;26;513;541
28;62,41;15,04;0,00;0,00;0,00;0,02;0,00;0,00;44;98;65;13;29;166;425
29;54,64;-125,28;0,00;0,00;0,00;-0,13;0,00;0,00;263;63;194;26;29;554;716
30;44,48;-257,56;0,00;0,00;0,00;-0,26;0,00;0,00;147;57;167;47;29;269;648
31;77,97;77,00;0,00;0,00;0,00;0,08;0,00;0,00;288;40;79;39;27;633;109
32;39,86;-296,37;0,00;0,00;0,00;-0,30;0,00;0,00;301;197;26;18;21;235;974
33;57,26;-118,75;0,00;0,00;0,00;-0,12;0,00;0,00;376;135;143;17;34;868;582
34;58,65;-65,67;0,00;0,00;0,00;-0,07;0,00;0,00;462;70;39;43;39;347;851
35;65,48;-45,00;0,00;0,00;0,00;-0,04;0,00;0,00;54;95;45;15;17;737;418
36;21,92;-444,76;0,00;0,00;0,00;-0,44;0,00;0,00;259;80;116;22;23;817;422
37;40,17;-207,49;0,00;0,00;0,00;-0,21;0,00;0,00;343;117;173;23;37;718;703
38;66,70;-99,24;0,00;0,00;0,00;-0,10;0,00;0,00;128;129;108;15;16;411;662
39;19,01;-481,13;0,00;0,00;0,00;-0,48;0,00;0,00;472;182;108;30;31;429;198
40;54,05;-213,10;0,00;0,00;0,00;-0,21;0,00;0,00;55;81;154;21;21;781;998
41;27,45;-470,20;0,00;0,00;0,00;-0,47;0,00;0,00;377;57;18;17;37;632;515
42;12,95;-549,91;0,00;0,00;0,00;-0,55;0,00;0,00;234;119;36;26;34;798;594
43;24,45;-401,42;0,00;0,00;0,00;-0,40;0,00;0,00;153;25;53;33;30;697;637
44;4,90;-689,71;0,00;0,00;0,00;-0,69;0,00;0,00;196;179;155;24;38;813;396
45;43,26;-222,40;0,00;0,00;0,00;-0,22;0,00;0,00;214;150;164;13;24;730;805
46;54,40;-139,35;0,00;0,00;0,00;-0,14;0,00;0,00;97;139;138;25;21;739;420
47;50,95;-229,78;0,00;0,00;0,00;-0,23;0,00;0,00;332;87;150;43;19;230;144
48;12,05;-616,85;0,00;0,00;0,00;-0,62;0,00;0,00;137;77;104;45;21;828;592
49;43,39;-274,50;0,00;0,00;0,00;-0,27;0,00;0,00;132;180;25;16;19;915;958
50;57,73;8,32;0,00;0,00;0,00;0,01;0,00;0,00;211;100;73;49;27;931;925
51;32,39;-385,08;0,00;0,00;0,00;-0,39;0,00;0,00;74;120;196;32;34;550;147
52;52,41;-200,15;0,00;0,00;0,00;-0,20;0,00;0,00;94;35;150;39;19;702;770
53;79,83;34,64;0,00;0,00;0,00;0,03;0,00;0,00;305;119;15;15;21;325;711
54;77,99;135,87;0,00;0,00;0,00;0,14;0,00;0,00;293;157;97;15;34;959;459
55;36,70;-309,52;0,00;0,00;0,00;-0,31;0,00;0,00;236;171;170;36;35;665;550
56;59,01;-114,04;0,00;0,00;0,00;-0,11;0,00;0,00;78;151;105;26;26;361;215
57;70,94;-17,10;0,00;0,00;0,00;-0,02;0,00;0,00;280;18;56;17;27;932;854
58;34,03;-313,71;0,00;0,00;0,00;-0,31;0,00;0,00;475;63;51;18;19;464;291
59;22,86;-525,65;0,00;0,00;0,00;-0,53;0,00;0,00;453;87;119;30;30;174;136
60;60,29;-82,82;0,00;0,00;0,00;-0,08;0,00;0,00;303;105;19;43;19;355;605
61;0,00;-663,38;0,00;0,00;0,00;-0,66;0,00;0,00;83;167;147;48;30;152;159
62;63,60;-126,35;0,00;0,00;0,00;-0,13;0,00;0,00;219;188;87;33;15;541;112
63;39,60;-289,57;0,00;0,00;0,00;-0,29;0,00;0,00;51;84;150;33;21;588;834
64;81,81;119,59;0,00;0,00;0,00;0,12;0,00;0,00;490;171;198;29;18;843;924
65;35,92;-317,21;0,00;0,00;0,00;-0,32;0,00;0,00;281;38;166;37;31;294;488
66;41,85;-322,10;0,00;0,00;0,00;-0,32;0,00;0,00;433;179;144;27;17;901;444
67;36,03;-306,93;0,00;0,00;0,00;-0,31;0,00;0,00;427;188;166;13;32;993;881
68;27,86;-333,89;0,00;0,00;0,00;-0,33;0,00;0,00;175;32;191;43;39;182;924
69;76,99;68,84;0,00;0,00;0,00;0,07;0,00;0,00;72;144;164;20;30;638;142
70;28,49;-476,54;0,00;0,00;0,00;-0,48;0,00;0,00;342;137;127;45;30;807;377
71;92,97;265,03;0,00;0,00;0,00;0,27;0,00;0,00;276;118;160;44;15;658;945
72;50,47;-267,25;0,00;0,00;0,00;-0,27;0,00;0,00;392;181;78;46;25;681;751
73;24,40;-478,63;0,00;0,00;0,00;-0,48;0,00;0,00;317;18;19;47;25;435;741
74;55,52;-149,94;0,00;0,00;0,00;-0,15;0,00;0,00;36;92;144;11;25;491;672
75;13,14;-523,44;0,00;0,00;0,00;-0,52;0,00;0,00;494;18;196;40;19;580;304
76;65,24;-25,43;0,00;0,00;0,00;-0,03;0,00;0,00;415;143;130;10;36;602;491
77;42,53;-252,20;0,00;0,00;0,00;-0,25;0,00;0,00;490;165;141;21;17;607;732
78;10,51;-597,39;0,00;0,00;0,00;-0,60;0,00;0,00;291;194;172;48;22;803;503
79;47,06;-268,62;0,00;0,00;0,00;-0,27;0,00;0,00;27;195;30;34;20;857;604
80;26,78;-453,27;0,00;0,00;0,00;-0,45;0,00;0,00;234;69;135;45;30;459;798
81;35,70;-394,18;0,00;0,00;0,00;-0,39;0,00;0,00;98;120;92;38;31;834;922
82;9,55;-661,36;0,00;0,00;0,00;-0,66;0,00;0,00;80;158;124;41;23;862;739
83;68,63;-30,95;0,00;0,00;0,00;-0,03;0,00;0,00;457;174;26;15;28;786;617
84;32,82;-434,97;0,00;0,00;0,00;-0,43;0,00;0,00;212;82;135;35;35;291;467
85;84,52;268,89;0,00;0,00;0,00;0,27;0,00;0,00;411;92;44;43;38;797;181
86;29,02;-471,48;0,00;0,00;0,00;-0,47;0,00;0,00;439;170;196;13;34;121;746
87;65,68;49,58;0,00;0,00;0,00;0,05;0,00;0,00;396;63;22;16;37;477;472
88;73,32;87,69;0,00;0,00;0,00;0,09;0,00;0,00;238;80;187;13;38;189;798
89;28,77;-393,25;0,00;0,00;0,00;-0,39;0,00;0,00;155;97;87;24;28;535;541
90;64,22;-12,77;0,00;0,00;0,00;-0,01;0,00;0,00;143;21;168;47;36;453;923
91;60,61;-83,20;0,00;0,00;0,00;-0,08;0,00;0,00;149;95;110;46;32;989;390
92;77,07;128,79;0,00;0,00;0,00;0,13;0,00;0,00;335;199;86;12;26;112;297
93;67,42;14,20;0,00;0,00;0,00;0,01;0,00;0,00;480;182;10;28;30;710;965
94;26,26;-375,93;0,00;0,00;0,00;-0,38;0,00;0,00;235;143;186;29;28;734;253
95;24,77;-610,09;0,00;0,00;0,00;-0,61;0,00;0,00;382;163;140;42;34;403;627
96;35,52;-330,89;0,00;0,00;0,00;-0,33;0,00;0,00;106;136;179;35;23;865;553
97;72,50;-42,10;0,00;0,00;0,00;-0,04;0,00;0,00;315;74;197;39;19;729;633
98;19,15;-532,21;0,00;0,00;0,00;-0,53;0,00;0,00;82;136;134;45;33;480;176
99;13,88;-537,77;0,00;0,00;0,00;-0,54;0,00;0,00;141;85;53;22;33;154;655
100;67,16;-20,39;0,00;0,00;0,00;-0,02;0,00;0,00;105;133;168;43;37;760;198
101;39,69;-318,00;0,00;0,00;0,00;-0,32;0,00;0,00;119;83;140;10;20;951;747
102;68,70;0,09;0,00;0,00;0,00;0,00;0,00;0,00;143;167;97;24;39;516;247
103;55,02;-177,59;0,00;0,00;0,00;-0,18;0,00;0,00;162;181;133;33;35;759;407
104;60,62;-127,54;0,00;0,00;0,00;-0,13;0,00;0,00;248;20;156;20;19;736;125
105;23,18;-475,41;0,00;0,00;0,00;-0,48;0,00;0,00;146;156;107;26;37;252;158
106;0,00;-692,86;0,00;0,00;0,00;-0,69;0,00;0,00;403;111;10;32;18;202;633
107;23,94;-566,63;0,00;0,00;0,00;-0,57;0,00;0,00;466;114;161;43;37;271;330
108;33,63;-356,85;0,00;0,00;0,00;-0,36;0,00;0,00;116;36;128;28;15;758;376
109;70,39;-27,52;0,00;0,00;0,00;-0,03;0,00;0,00;493;173;148;19;18;803;733
110;47,58;-316,63;0,00;0,00;0,00;-0,32;0,00;0,00;460;103;193;36;37;271;996
111;70,27;-42,48;0,00;0,00;0,00;-0,04;0,00;0,00;22;177;23;16;29;377;565
112;54,53;-273,20;0,00;0,00;0,00;-0,27;0,00;0,00;460;145;41;15;37;978;737
113;33,34;-399,21;0,00;0,00;0,00;-0,40;0,00;0,00;191;188;144;38;28;230;119
114;44,09;-275,56;0,00;0,00;0,00;-0,28;0,00;0,00;365;54;131;40;24;922;562
115;67,51;-117,66;0,00;0,00;0,00;-0,12;0,00;0,00;393;187;103;35;15;913;336
116;83,93;103,20;0,00;0,00;0,00;0,10;0,00;0,00;201;179;110;37;34;206;411
117;8,21;-578,92;0,00;0,00;0,00;-0,58;0,00;0,00;402;77;19;49;23;996;207
118;78,90;49,34;0,00;0,00;0,00;0,05;0,00;0,00;437;19;41;25;37;499;385
119;68,22;-27,61;0,00;0,00;0,00;-0,03;0,00;0,00;192;111;57;15;15;503;198
120;66,10;-20,24;0,00;0,00;0,00;-0,02;0,00;0,00;466;156;194;21;38;896;204
121;32,58;-339,38;0,00;0,00;0,00;-0,34;0,00;0,00;495;16;73;42;25;958;584
122;51,15;-212,44;0,00;0,00;0,00;-0,21;0,00;0,00;260;19;108;13;22;244;470
123;66,73;-84,55;0,00;0,00;0,00;-0,08;0,00;0,00;72;21;77;31;37;628;392
124;0,00;-682,45;0,00;0,00;0,00;-0,68;0,00;0,00;327;183;154;14;37;672;494
125;39,91;-203,74;0,00;0,00;0,00;-0,20;0,00;0,00;448;30;50;12;33;324;667
126;54,48;-222,09;0,00;0,00;0,00;-0,22;0,00;0,00;416;20;115;43;23;792;318
127;18,63;-516,20;0,00;0,00;0,00;-0,52;0,00;0,00;371;199;110;27;27;844;690
128;57,92;-87,02;0,00;0,00;0,00;-0,09;0,00;0,00;236;187;106;49;33;306;809
129;100,00;244,59;0,00;0,00;0,00;0,24;0,00;0,00;132;187;113;18;25;312;194
130;65,71;-90,34;0,00;0,00;0,00;-0,09;0,00;0,00;156;76;125;41;25;829;408
131;76,70;61,45;0,00;0,00;0,00;0,06;0,00;0,00;189;95;42;17;39;608;520
132;55,33;-156,64;0,00;0,00;0,00;-0,16;0,00;0,00;256;153;151;20;17;131;586
133;94,11;287,52;0,00;0,00;0,00;0,29;0,00;0,00;155;131;167;37;24;488;147
134;35,62;-357,98;0,00;0,00;0,00;-0,36;0,00;0,00;158;105;147;13;20;876;957
135;81,39;190,03;0,00;0,00;0,00;0,19;0,00;0,00;78;176;83;27;32;989;622
136;35,13;-350,59;0,00;0,00;0,00;-0,35;0,00;0,00;333;101;125;34;18;841;429
137;72,44;-7,20;0,00;0,00;0,00;-0,01;0,00;0,00;222;114;101;43;26;708;941
138;93,01;229,33;0,00;0,00;0,00;0,23;0,00;0,00;411;190;98;48;21;617;126
139;38,25;-286,06;0,00;0,00;0,00;-0,29;0,00;0,00;394;153;187;48;36;452;829
140;25,84;-433,67;0,00;0,00;0,00;-0,43;0,00;0,00;385;199;194;32;39;376;939
141;66,56;-103,61;0,00;0,00;0,00;-0,10;0,00;0,00;454;90;47;20;19;749;234
142;44,77;-172,37;0,00;0,00;0,00;-0,17;0,00;0,00;15;113;187;23;23;395;976
143;86,12;150,47;0,00;0,00;0,00;0,15;0,00;0,00;97;68;15;31;27;972;641
144;48,71;-198,53;0,00;0,00;0,00;-0,20;0,00;0,00;290;81;162;45;29;404;977
145;29,62;-353,95;0,00;0,00;0,00;-0,35;0,00;0,00;313;135;122;48;36;790;684
146;94,00;268,87;0,00;0,00;0,00;0,27;0,00;0,00;315;19;30;20;30;193;929
147;100,00;353,57;0,00;0,00;0,00;0,35;0,00;0,00;219;99;125;47;35;587;552
148;23,37;-509,60;0,00;0,00;0,00;-0,51;0,00;0,00;365;133;12;19;37;474;421
149;20,90;-496,68;0,00;0,00;0,00;-0,50;0,00;0,00;34;59;157;24;39;678;640
150;72,91;-27,37;0,00;0,00;0,00;-0,03;0,00;0,00;13;49;69;44;21;754;420
151;22,22;-526,53;0,00;0,00;0,00;-0,53;0,00;0,00;146;22;139;15;27;332;829
152;25,86;-415,01;0,00;0,00;0,00;-0,42;0,00;0,00;476;26;180;29;25;935;261
153;67,37;-4,84;0,00;0,00;0,00;-0,00;0,00;0,00;254;85;95;38;22;834;413
154;33,91;-412,65;0,00;0,00;0,00;-0,41;0,00;0,00;23;94;170;21;28;934;761
155;69,71;77,77;0,00;0,00;0,00;0,08;0,00;0,00;163;30;190;47;25;578;924
156;23,75;-518,83;0,00;0,00;0,00;-0,52;0,00;0,00;177;142;127;22;18;332;133
157;29,49;-433,42;0,00;0,00;0,00;-0,43;0,00;0,00;78;60;147;44;32;193;468
158;59,31;-70,14;0,00;0,00;0,00;-0,07;0,00;0,00;294;49;103;36;30;755;855
159;43,35;-259,49;0,00;0,00;0,00;-0,26;0,00;0,00;310;83;94;21;25;227;959
160;67,75;-55,50;0,00;0,00;0,00;-0,06;0,00;0,00;188;83;83;49;22;912;480
161;100,00;289,72;0,00;0,00;0,00;0,29;0,00;0,00;238;34;31;28;15;249;527
162;59,99;-77,04;0,00;0,00;0,00;-0,08;0,00;0,00;352;10;93;19;31;898;442
163;100,00;251,80;0,00;0,00;0,00;0,25;0,00;0,00;353;16;40;32;27;811;193
164;76,33;9,15;0,00;0,00;0,00;0,01;0,00;0,00;230;129;124;19;31;458;455
165;44,98;-323,80;0,00;0,00;0,00;-0,32;0,00;0,00;304;39;13;23;23;337;812
166;60,87;-20,95;0,00;0,00;0,00;-0,02;0,00;0,00;11;54;178;29;36;760;703
167;54,41;-172,11;0,00;0,00;0,00;-0,17;0,00;0,00;108;70;54;28;37;823;816
168;57,71;-158,67;0,00;0,00;0,00;-0,16;0,00;0,00;23;193;93;45;16;101;452
169;96,97;325,84;0,00;0,00;0,00;0,33;0,00;0,00;425;66;165;45;21;845;161
170;0,00;-659,77;0,00;0,00;0,00;-0,66;0,00;0,00;57;196;165;42;38;280;792
171;37,10;-351,77;0,00;0,00;0,00;-0,35;0,00;0,00;495;53;107;34;19;593;984
172;14,84;-528,50;0,00;0,00;0,00;-0,53;0,00;0,00;33;103;28;31;31;728;785
173;56,36;-74,18;0,00;0,00;0,00;-0,07;0,00;0,00;484;70;152;49;28;880;998
174;16,55;-544,43;0,00;0,00;0,00;-0,54;0,00;0,00;97;119;188;49;26;995;881
