Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;39,19;-109,04;0,00;0,00;0,00;-0,11;0,00;0,00;315;150;98;38;19;872;349
2;68,91;148,91;0,00;0,00;0,00;0,15;0,00;0,00;63;54;118;42;29;904;851
3;58,27;119,16;0,00;0,00;0,00;0,12;0,00;0,00;129;193;135;38;35;556;207
4;55,28;50,42;0,00;0,00;0,00;0,05;0,00;0,00;460;130;155;25;17;304;999
5;59,92;172,15;0,00;0,00;0,00;0,17;0,00;0,00;12;187;108;41;33;493;622
6;57,47;160,50;0,00;0,00;0,00;0,16;0,00;0,00;441;102;71;49;37;136;976
7;45,23;-1,99;0,00;0,00;0,00;-0,00;0,00;0,00;231;124;19;16;33;683;797
8;53,78;64,15;0,00;0,00;0,00;0,06;0,00;0,00;420;87;69;19;39;862;898
9;20,36;-292,03;0,00;0,00;0,00;-0,29;0,00;0,00;94;68;116;33;25;762;340
10;50,77;-7,48;0,00;0,00;0,00;-0,01;0,00;0,00;381;162;75;49;23;792;965
11;55,04;32,58;0,00;0,00;0,00;0,03;0,00;0,00;141;147;16;39;17;990;977
12;48,43;-44,57;0,00;0,00;0,00;-0,04;0,00;0,00;323;163;12;32;20;981;795
13;56,54;86,31;0,00;0,00;0,00;0,09;0,00;0,00;95;155;83;41;34;989;624
14;30,04;-175,77;0,00;0,00;0,00;-0,18;0,00;0,00;401;106;68;38;32;895;407
15;54,94;56,08;0,00;0,00;0,00;0,06;0,00;0,00;428;60;66;13;17;714;950
16;55,51;122,03;0,00;0,00;0,00;0,12;0,00;0,00;247;54;194;17;33;918;987
17;25,04;-310,70;0,00;0,00;0,00;-0,31;0,00;0,00;17;163;189;39;24;224;123
18;73,19;248,43;0,00;0,00;0,00;0,25;0,00;0,00;463;185;191;43;35;479;850
19;31,71;-126,10;0,00;0,00;0,00;-0,13;0,00;0,00;325;98;136;42;22;363;920
20;56,64;-30,16;0,00;0,00;0,00;-0,03;0,00;0,00;252;180;107;18;28;396;447
21;81,29;334,77;0,00;0,00;0,00;0,33;0,00;0,00;263;126;129;21;29;516;637
22;43,49;-78,24;0,00;0,00;0,00;-0,08;0,00;0,00;199;144;143;20;37;697;951
23;41,08;-240,28;0,00;0,00;0,00;-0,24;0,00;0,00;170;92;92;20;18;928;737
24;52,58;125,56;0,00;0,00;0,00;0,13;0,00;0,00;421;104;134;16;16;852;290
25;41,23;-4,66;0,00;0,00;0,00;-0,00;0,00;0,00;405;92;50;10;16;165;272
26;52,89;89,29;0,00;0,00;0,00;0,09;0,00;0,00;48;184;129;33;26;453;452
27;37,16;-118,02;0,00;0,00;0,00;-0,12;0,00;0,00;18;115;191;33;18;986;307
28;43,34;-38,39;0,00;0,00;0,00;-0,04;0,00;0,00;89;13;154;11;23;747;162
29;54,72;88,36;0,00;0,00;0,00;0,09;0,00;0,00;263;87;172;33;20;582;343
30;43,78;-89,07;0,00;0,00;0,00;-0,09;0,00;0,00;36;72;193;41;23;350;790
31;56,55;133,04;0,00;0,00;0,00;0,13;0,00;0,00;74;78;143;33;15;199;988
32;29,45;-263,17;0,00;0,00;0,00;-0,26;0,00;0,00;309;147;45;42;34;781;432
33;50,49;-36,63;0,00;0,00;0,00;-0,04;0,00;0,00;235;52;77;31;37;222;215
34;46,35;3,69;0,00;0,00;0,00;0,00;0,00;0,00;189;112;198;13;24;547;233
35;40,96;-118,20;0,00;0,00;0,00;-0,12;0,00;0,00;392;165;184;14;32;307;808
36;57,63;136,61;0,00;0,00;0,00;0,14;0,00;0,00;489;71;115;30;17;384;888
37;34,31;-171,18;0,00;0,00;0,00;-0,17;0,00;0,00;144;180;129;38;34;661;192
38;59,94;76,91;0,00;0,00;0,00;0,08;0,00;0,00;232;154;119;21;23;995;955
39;100,00;430,38;0,00;0,00;0,00;0,43;0,00;0,00;114;146;46;45;20;260;861
40;51,33;55,34;0,00;0,00;0,00;0,06;0,00;0,00;16;27;199;48;34;789;634
41;30,62;-169,53;0,00;0,00;0,00;-0,17;0,00;0,00;58;32;40;28;29;230;716
42;46,51;13,10;0,00;0,00;0,00;0,01;0,00;0,00;199;14;54;11;18;381;314
43;49,17;76,38;0,00;0,00;0,00;0,08;0,00;0,00;176;181;194;23;28;950;468
44;62,13;84,11;0,00;0,00;0,00;0,08;0,00;0,00;497;47;187;32;33;846;657
45;46,60;-37,76;0,00;0,00;0,00;-0,04;0,00;0,00;276;64;151;44;27;529;191
46;47,18;-115,21;0,00;0,00;0,00;-0,12;0,00;0,00;299;115;63;37;34;555;583
47;80,29;338,10;0,00;0,00;0,00;0,34;0,00;0,00;183;79;182;45;18;705;798
48;45,55;-54,67;0,00;0,00;0,00;-0,05;0,00;0,00;359;14;24;27;35;391;136
49;41,51;-73,61;0,00;0,00;0,00;-0,07;0,00;0,00;328;54;29;36;28;679;584
50;21,33;-203,13;0,00;0,00;0,00;-0,20;0,00;0,00;35;148;123;26;30;797;642
51;47,38;-55,85;0,00;0,00;0,00;-0,06;0,00;0,00;401;38;132;26;31;166;319
52;43,82;-104,02;0,00;0,00;0,00;-0,10;0,00;0,00;490;108;191;23;24;680;859
53;50,84;2,82;0,00;0,00;0,00;0,00;0,00;0,00;92;71;33;46;34;354;451
54;33,55;-214,54;0,00;0,00;0,00;-0,21;0,00;0,00;37;178;27;30;29;333;773
55;87,43;379,52;0,00;0,00;0,00;0,38;0,00;0,00;300;158;99;17;37;221;779
56;49,74;26,93;0,00;0,00;0,00;0,03;0,00;0,00;249;49;45;37;16;312;524
57;45,38;-47,91;0,00;0,00;0,00;-0,05;0,00;0,00;73;89;62;19;16;338;211
58;54,59;-12,60;0,00;0,00;0,00;-0,01;0,00;0,00;367;87;147;41;21;859;128
59;42,46;-33,57;0,00;0,00;0,00;-0,03;0,00;0,00;455;114;166;29;24;876;982
60;80,19;314,96;0,00;0,00;0,00;0,31;0,00;0,00;417;78;123;45;15;652;658
61;47,31;-38,47;0,00;0,00;0,00;-0,04;0,00;0,00;328;32;41;37;27;435;572
62;51,10;9,35;0,00;0,00;0,00;0,01;0,00;0,00;139;13;155;43;21;424;944
63;48,19;-1,52;0,00;0,00;0,00;-0,00;0,00;0,00;230;15;35;37;31;883;823
64;34,01;-171,04;0,00;0,00;0,00;-0,17;0,00;0,00;53;188;126;12;21;907;771
65;49,78;72,97;0,00;0,00;0,00;0,07;0,00;0,00;354;82;28;11;38;367;689
66;80,25;314,85;0,00;0,00;0,00;0,31;0,00;0,00;133;46;171;38;38;138;225
67;41,51;-95,62;0,00;0,00;0,00;-0,10;0,00;0,00;150;113;67;41;32;952;406
68;59,74;84,03;0,00;0,00;0,00;0,08;0,00;0,00;125;194;161;48;24;488;117
69;22,37;-171,99;0,00;0,00;0,00;-0,17;0,00;0,00;113;70;75;20;36;336;797
70;52,38;-0,27;0,00;0,00;0,00;-0,00;0,00;0,00;394;111;163;22;20;803;647
71;51,36;-8,68;0,00;0,00;0,00;-0,01;0,00;0,00;286;26;113;17;22;779;976
72;69,96;190,58;0,00;0,00;0,00;0,19;0,00;0,00;204;199;87;45;21;680;177
73;33,65;-155,30;0,00;0,00;0,00;-0,16;0,00;0,00;430;139;88;33;22;426;914
74;45,61;-16,51;0,00;0,00;0,00;-0,02;0,00;0,00;178;160;144;31;33;199;488
75;32,26;-142,08;0,00;0,00;0,00;-0,14;0,00;0,00;42;55;112;24;16;699;779
76;58,68;119,35;0,00;0,00;0,00;0,12;0,00;0,00;53;60;16;46;38;131;934
77;74,68;171,99;0,00;0,00;0,00;0,17;0,00;0,00;172;10;20;34;16;598;528
78;46,13;-75,24;0,00;0,00;0,00;-0,08;0,00;0,00;200;79;114;34;24;213;324
79;20,71;-278,92;0,00;0,00;0,00;-0,28;0,00;0,00;128;45;120;16;30;986;559
80;52,06;-69,72;0,00;0,00;0,00;-0,07;0,00;0,00;394;144;71;37;19;158;983
81;61,08;68,98;0,00;0,00;0,00;0,07;0,00;0,00;270;199;144;30;30;767;194
82;32,68;-209,06;0,00;0,00;0,00;-0,21;0,00;0,00;97;75;62;33;28;685;786
83;39,38;-141,23;0,00;0,00;0,00;-0,14;0,00;0,00;28;95;164;45;27;115;114
84;48,80;-5,60;0,00;0,00;0,00;-0,01;0,00;0,00;118;93;166;47;32;643;562
85;52,70;69,58;0,00;0,00;0,00;0,07;0,00;0,00;114;125;127;30;36;781;362
86;56,48;66,24;0,00;0,00;0,00;0,07;0,00;0,00;264;79;102;15;17;447;959
87;53,57;55,60;0,00;0,00;0,00;0,06;0,00;0,00;321;27;68;17;29;275;296
88;64,28;133,16;0,00;0,00;0,00;0,13;0,00;0,00;57;137;157;26;36;301;597
89;39,12;-75,84;0,00;0,00;0,00;-0,08;0,00;0,00;195;11;182;14;30;153;235
90;59,12;99,28;0,00;0,00;0,00;0,10;0,00;0,00;207;120;103;47;25;596;770
91;62,62;166,06;0,00;0,00;0,00;0,17;0,00;0,00;200;162;27;41;35;116;628
92;54,68;-37,75;0,00;0,00;0,00;-0,04;0,00;0,00;430;99;89;33;28;215;621
93;52,37;-13,07;0,00;0,00;0,00;-0,01;0,00;0,00;88;189;132;22;30;507;363
94;43,81;-58,20;0,00;0,00;0,00;-0,06;0,00;0,00;295;152;58;34;22;119;939
95;39,70;-135,34;0,00;0,00;0,00;-0,14;0,00;0,00;53;183;68;39;36;890;646
96;35,64;-151,10;0,00;0,00;0,00;-0,15;0,00;0,00;475;115;145;16;32;158;412
97;49,92;-20,94;0,00;0,00;0,00;-0,02;0,00;0,00;447;77;133;47;23;742;379
98;33,16;-226,68;0,00;0,00;0,00;-0,23;0,00;0,00;180;178;110;44;31;930;263
99;57,69;61,39;0,00;0,00;0,00;0,06;0,00;0,00;347;84;149;11;38;680;804
100;42,36;-24,57;0,00;0,00;0,00;-0,02;0,00;0,00;102;179;29;18;31;505;748
101;51,14;73,07;0,00;0,00;0,00;0,07;0,00;0,00;364;34;30;33;22;461;243
102;63,83;155,24;0,00;0,00;0,00;0,16;0,00;0,00;141;121;30;12;20;194;865
103;54,84;-13,12;0,00;0,00;0,00;-0,01;0,00;0,00;270;31;115;38;32;192;792
104;49,44;-87,20;0,00;0,00;0,00;-0,09;0,00;0,00;218;188;147;32;16;219;269
105;39,37;13,14;0,00;0,00;0,00;0,01;0,00;0,00;31;192;160;16;31;219;850
106;36,35;-115,80;0,00;0,00;0,00;-0,12;0,00;0,00;141;50;178;23;22;781;484
107;57,18;31,76;0,00;0,00;0,00;0,03;0,00;0,00;125;88;177;37;18;764;542
108;64,47;209,97;0,00;0,00;0,00;0,21;0,00;0,00;404;139;62;12;22;544;609
109;65,17;151,25;0,00;0,00;0,00;0,15;0,00;0,00;468;76;164;16;24;508;793
110;43,95;-30,21;0,00;0,00;0,00;-0,03;0,00;0,00;239;57;113;41;19;297;479
111;46,48;-101,79;0,00;0,00;0,00;-0,10;0,00;0,00;183;73;65;44;32;882;909
112;30,98;-205,19;0,00;0,00;0,00;-0,21;0,00;0,00;479;169;36;48;36;383;821
113;78,22;307,63;0,00;0,00;0,00;0,31;0,00;0,00;210;142;119;18;23;803;245
114;48,15;36,43;0,00;0,00;0,00;0,04;0,00;0,00;448;194;127;35;20;685;982
115;47,94;17,01;0,00;0,00;0,00;0,02;0,00;0,00;194;16;91;11;29;916;945
116;24,21;-202,60;0,00;0,00;0,00;-0,20;0,00;0,00;267;134;48;18;36;902;761
117;44,06;-66,70;0,00;0,00;0,00;-0,07;0,00;0,00;360;84;100;30;23;455;176
118;44,70;-36,12;0,00;0,00;0,00;-0,04;0,00;0,00;53;49;28;39;32;248;531
119;69,39;90,54;0,00;0,00;0,00;0,09;0,00;0,00;268;178;108;48;16;265;704
120;23,95;-332,25;0,00;0,00;0,00;-0,33;0,00;0,00;50;160;75;36;29;292;186
121;79,02;292,71;0,00;0,00;0,00;0,29;0,00;0,00;320;38;181;34;30;169;738
122;54,14;85,74;0,00;0,00;0,00;0,09;0,00;0,00;101;174;72;23;39;403;905
123;16,98;-407,02;0,00;0,00;0,00;-0,41;0,00;0,00;411;18;165;25;24;458;530
124;30,08;-187,52;0,00;0,00;0,00;-0,19;0,00;0,00;134;55;101;31;17;747;136
125;55,21;143,14;0,00;0,00;0,00;0,14;0,00;0,00;491;164;87;44;21;332;716
126;75,88;189,93;0,00;0,00;0,00;0,19;0,00;0,00;380;153;140;19;26;153;805
127;49,49;45,32;0,00;0,00;0,00;0,05;0,00;0,00;202;36;43;30;17;717;274
128;49,94;3,13;0,00;0,00;0,00;0,00;0,00;0,00;395;25;17;33;38;978;409
129;62,47;160,98;0,00;0,00;0,00;0,16;0,00;0,00;419;43;137;10;28;167;106
130;53,96;32,81;0,00;0,00;0,00;0,03;0,00;0,00;133;160;176;24;25;422;671
131;66,22;123,24;0,00;0,00;0,00;0,12;0,00;0,00;99;108;129;19;25;398;514
132;47,46;-23,45;0,00;0,00;0,00;-0,02;0,00;0,00;206;73;154;25;19;358;153
133;46,01;-130,16;0,00;0,00;0,00;-0,13;0,00;0,00;138;174;123;37;27;240;316
134;47,00;-31,44;0,00;0,00;0,00;-0,03;0,00;0,00;481;11;112;32;30;627;931
135;59,64;103,88;0,00;0,00;0,00;0,10;0,00;0,00;58;198;181;13;24;269;806
136;36,55;-150,63;0,00;0,00;0,00;-0,15;0,00;0,00;100;160;42;14;39;687;245
137;76,49;307,88;0,00;0,00;0,00;0,31;0,00;0,00;148;190;85;45;16;475;942
138;53,47;43,95;0,00;0,00;0,00;0,04;0,00;0,00;201;99;139;34;23;769;940
139;27,83;-223,12;0,00;0,00;0,00;-0,22;0,00;0,00;328;148;137;15;24;687;196
140;50,34;45,96;0,00;0,00;0,00;0,05;0,00;0,00;394;18;41;33;39;608;465
141;46,98;-25,12;0,00;0,00;0,00;-0,03;0,00;0,00;264;164;48;32;25;830;219
142;31,06;-149,72;0,00;0,00;0,00;-0,15;0,00;0,00;467;101;161;17;17;513;891
143;54,54;34,92;0,00;0,00;0,00;0,03;0,00;0,00;383;41;124;31;32;373;877
144;37,16;-35,84;0,00;0,00;0,00;-0,04;0,00;0,00;348;196;83;47;25;652;142
145;62,71;151,66;0,00;0,00;0,00;0,15;0,00;0,00;407;98;197;21;24;700;649
146;64,48;134,30;0,00;0,00;0,00;0,13;0,00;0,00;346;85;162;36;19;311;862
147;55,87;77,51;0,00;0,00;0,00;0,08;0,00;0,00;182;47;65;37;36;539;536
148;53,06;-20,33;0,00;0,00;0,00;-0,02;0,00;0,00;493;10;79;46;23;324;341
149;33,37;-181,99;0,00;0,00;0,00;-0,18;0,00;0,00;107;83;147;49;20;257;692
150;38,19;-180,19;0,00;0,00;0,00;-0,18;0,00;0,00;50;107;140;29;34;927;152
151;68,19;122,86;0,00;0,00;0,00;0,12;0,00;0,00;386;138;184;29;24;607;534
152;31,87;-195,24;0,00;0,00;0,00;-0,20;0,00;0,00;254;19;164;42;33;187;933
153;78,68;364,94;0,00;0,00;0,00;0,36;0,00;0,00;69;146;53;35;22;556;993
154;19,75;-320,00;0,00;0,00;0,00;-0,32;0,00;0,00;464;104;124;42;30;948;411
155;30,47;-252,51;0,00;0,00;0,00;-0,25;0,00;0,00;180;29;73;35;27;699;416
156;50,81;56,23;0,00;0,00;0,00;0,06;0,00;0,00;109;61;45;39;25;110;546
157;21,35;-320,89;0,00;0,00;0,00;-0,32;0,00;0,00;277;44;108;20;26;548;459
158;60,08;167,33;0,00;0,00;0,00;0,17;0,00;0,00;184;169;133;31;32;895;858
159;58,63;63,34;0,00;0,00;0,00;0,06;0,00;0,00;62;157;175;10;30;421;424
160;62,89;152,79;0,00;0,00;0,00;0,15;0,00;0,00;268;195;41;33;20;966;176
161;51,60;69,54;0,00;0,00;0,00;0,07;0,00;0,00;316;92;141;48;20;471;406
162;60,68;68,39;0,00;0,00;0,00;0,07;0,00;0,00;13;179;37;19;18;653;668
163;50,41;-5,09;0,00;0,00;0,00;-0,01;0,00;0,00;138;138;148;49;21;826;850
164;53,60;74,46;0,00;0,00;0,00;0,07;0,00;0,00;391;199;125;17;31;511;157
165;47,91;-24,71;0,00;0,00;0,00;-0,02;0,00;0,00;175;33;122;34;33;750;115
