Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;33,92;-187,06;0,00;0,00;0,00;-0,19;0,00;0,00;393;150;98;38;19;872;349
2;62,11;242,42;0,00;0,00;0,00;0,24;0,00;0,00;137;54;118;42;29;904;851
3;58,34;33,42;0,00;0,00;0,00;0,03;0,00;0,00;297;193;135;38;35;556;207
4;63,74;151,75;0,00;0,00;0,00;0,15;0,00;0,00;290;130;155;25;17;304;999
5;53,60;101,62;0,00;0,00;0,00;0,10;0,00;0,00;36;187;108;41;33;493;622
6;51,77;76,86;0,00;0,00;0,00;0,08;0,00;0,00;367;102;71;49;37;136;976
7;57,11;43,55;0,00;0,00;0,00;0,04;0,00;0,00;118;124;19;16;33;683;797
8;48,66;-44,07;0,00;0,00;0,00;-0,04;0,00;0,00;265;87;69;19;39;862;898
9;25,27;-235,20;0,00;0,00;0,00;-0,24;0,00;0,00;226;68;116;33;25;762;340
10;49,11;-10,04;0,00;0,00;0,00;-0,01;0,00;0,00;350;162;75;49;23;792;965
11;53,40;-34,10;0,00;0,00;0,00;-0,03;0,00;0,00;388;147;16;39;17;990;977
12;56,11;111,83;0,00;0,00;0,00;0,11;0,00;0,00;259;163;12;32;20;981;795
13;51,48;47,30;0,00;0,00;0,00;0,05;0,00;0,00;499;155;83;41;34;989;624
14;16,48;-417,15;0,00;0,00;0,00;-0,42;0,00;0,00;258;106;68;38;32;895;407
15;59,20;24,56;0,00;0,00;0,00;0,02;0,00;0,00;226;60;66;13;17;714;950
16;47,33;-2,29;0,00;0,00;0,00;-0,00;0,00;0,00;196;54;194;17;33;918;987
17;28,72;-183,42;0,00;0,00;0,00;-0,18;0,00;0,00;417;163;189;39;24;224;123
18;74,39;166,70;0,00;0,00;0,00;0,17;0,00;0,00;367;185;191;43;35;479;850
19;38,57;-145,96;0,00;0,00;0,00;-0,15;0,00;0,00;424;98;136;42;22;363;920
20;56,57;103,62;0,00;0,00;0,00;0,10;0,00;0,00;432;180;107;18;28;396;447
21;71,50;215,55;0,00;0,00;0,00;0,22;0,00;0,00;419;126;129;21;29;516;637
22;40,62;-57,44;0,00;0,00;0,00;-0,06;0,00;0,00;194;144;143;20;37;697;951
23;40,35;-94,43;0,00;0,00;0,00;-0,09;0,00;0,00;391;92;92;20;18;928;737
24;53,23;27,93;0,00;0,00;0,00;0,03;0,00;0,00;169;104;134;16;16;852;290
25;45,65;39,94;0,00;0,00;0,00;0,04;0,00;0,00;21;92;50;10;16;165;272
26;52,49;-38,56;0,00;0,00;0,00;-0,04;0,00;0,00;63;184;129;33;26;453;452
27;35,81;-139,90;0,00;0,00;0,00;-0,14;0,00;0,00;404;115;191;33;18;986;307
28;47,15;45,84;0,00;0,00;0,00;0,05;0,00;0,00;132;13;154;11;23;747;162
29;55,84;117,27;0,00;0,00;0,00;0,12;0,00;0,00;206;87;172;33;20;582;343
30;48,59;14,97;0,00;0,00;0,00;0,01;0,00;0,00;458;72;193;41;23;350;790
31;48,89;-38,29;0,00;0,00;0,00;-0,04;0,00;0,00;100;78;143;33;15;199;988
32;28,67;-245,13;0,00;0,00;0,00;-0,25;0,00;0,00;401;147;45;42;34;781;432
33;50,79;22,78;0,00;0,00;0,00;0,02;0,00;0,00;230;52;77;31;37;222;215
34;43,76;-154,62;0,00;0,00;0,00;-0,15;0,00;0,00;147;112;198;13;24;547;233
35;42,61;-39,81;0,00;0,00;0,00;-0,04;0,00;0,00;383;165;184;14;32;307;808
36;56,06;-5,26;0,00;0,00;0,00;-0,01;0,00;0,00;243;71;115;30;17;384;888
37;46,06;16,77;0,00;0,00;0,00;0,02;0,00;0,00;297;180;129;38;34;661;192
38;58,66;116,73;0,00;0,00;0,00;0,12;0,00;0,00;422;154;119;21;23;995;955
39;100,00;449,20;0,00;0,00;0,00;0,45;0,00;0,00;159;146;46;45;20;260;861
40;53,13;-26,54;0,00;0,00;0,00;-0,03;0,00;0,00;236;27;199;48;34;789;634
41;45,30;-34,44;0,00;0,00;0,00;-0,03;0,00;0,00;195;32;40;28;29;230;716
42;44,20;-167,73;0,00;0,00;0,00;-0,17;0,00;0,00;307;14;54;11;18;381;314
43;49,28;-52,04;0,00;0,00;0,00;-0,05;0,00;0,00;200;181;194;23;28;950;468
44;64,38;199,94;0,00;0,00;0,00;0,20;0,00;0,00;153;47;187;32;33;846;657
45;41,77;-54,30;0,00;0,00;0,00;-0,05;0,00;0,00;81;64;151;44;27;529;191
46;45,87;-5,08;0,00;0,00;0,00;-0,01;0,00;0,00;318;115;63;37;34;555;583
47;82,58;363,99;0,00;0,00;0,00;0,36;0,00;0,00;455;79;182;45;18;705;798
48;38,84;-75,73;0,00;0,00;0,00;-0,08;0,00;0,00;439;14;24;27;35;391;136
49;44,67;-47,07;0,00;0,00;0,00;-0,05;0,00;0,00;98;54;29;36;28;679;584
50;19,93;-284,22;0,00;0,00;0,00;-0,28;0,00;0,00;449;148;123;26;30;797;642
51;52,28;-14,84;0,00;0,00;0,00;-0,01;0,00;0,00;305;38;132;26;31;166;319
52;47,42;-124,59;0,00;0,00;0,00;-0,12;0,00;0,00;467;108;191;23;24;680;859
53;49,27;27,64;0,00;0,00;0,00;0,03;0,00;0,00;398;71;33;46;34;354;451
54;35,40;-178,38;0,00;0,00;0,00;-0,18;0,00;0,00;375;178;27;30;29;333;773
55;93,35;436,02;0,00;0,00;0,00;0,44;0,00;0,00;226;158;99;17;37;221;779
56;48,88;-16,13;0,00;0,00;0,00;-0,02;0,00;0,00;80;49;45;37;16;312;524
57;53,22;48,37;0,00;0,00;0,00;0,05;0,00;0,00;173;89;62;19;16;338;211
58;72,62;183,34;0,00;0,00;0,00;0,18;0,00;0,00;463;87;147;41;21;859;128
59;39,37;-108,29;0,00;0,00;0,00;-0,11;0,00;0,00;16;114;166;29;24;876;982
60;75,88;245,14;0,00;0,00;0,00;0,25;0,00;0,00;191;78;123;45;15;652;658
61;56,08;40,24;0,00;0,00;0,00;0,04;0,00;0,00;250;32;41;37;27;435;572
62;56,31;58,14;0,00;0,00;0,00;0,06;0,00;0,00;58;13;155;43;21;424;944
63;45,45;-44,97;0,00;0,00;0,00;-0,04;0,00;0,00;222;15;35;37;31;883;823
64;30,51;-209,08;0,00;0,00;0,00;-0,21;0,00;0,00;402;188;126;12;21;907;771
65;45,64;-10,78;0,00;0,00;0,00;-0,01;0,00;0,00;257;82;28;11;38;367;689
66;86,00;379,22;0,00;0,00;0,00;0,38;0,00;0,00;139;46;171;38;38;138;225
67;46,14;71,07;0,00;0,00;0,00;0,07;0,00;0,00;467;113;67;41;32;952;406
68;59,49;94,58;0,00;0,00;0,00;0,09;0,00;0,00;247;194;161;48;24;488;117
69;25,86;-264,94;0,00;0,00;0,00;-0,26;0,00;0,00;165;70;75;20;36;336;797
70;56,29;55,98;0,00;0,00;0,00;0,06;0,00;0,00;47;111;163;22;20;803;647
71;51,02;9,39;0,00;0,00;0,00;0,01;0,00;0,00;433;26;113;17;22;779;976
72;68,41;84,15;0,00;0,00;0,00;0,08;0,00;0,00;332;199;87;45;21;680;177
73;43,22;-10,55;0,00;0,00;0,00;-0,01;0,00;0,00;282;139;88;33;22;426;914
74;50,33;47,87;0,00;0,00;0,00;0,05;0,00;0,00;224;160;144;31;33;199;488
75;32,20;-125,61;0,00;0,00;0,00;-0,13;0,00;0,00;413;55;112;24;16;699;779
76;50,05;-12,90;0,00;0,00;0,00;-0,01;0,00;0,00;146;60;16;46;38;131;934
77;68,34;185,37;0,00;0,00;0,00;0,19;0,00;0,00;471;10;20;34;16;598;528
78;52,68;-41,48;0,00;0,00;0,00;-0,04;0,00;0,00;194;79;114;34;24;213;324
79;25,89;-199,55;0,00;0,00;0,00;-0,20;0,00;0,00;259;45;120;16;30;986;559
80;43,81;-18,27;0,00;0,00;0,00;-0,02;0,00;0,00;403;144;71;37;19;158;983
81;70,65;186,53;0,00;0,00;0,00;0,19;0,00;0,00;275;199;144;30;30;767;194
82;33,09;-123,02;0,00;0,00;0,00;-0,12;0,00;0,00;133;75;62;33;28;685;786
83;46,18;-93,58;0,00;0,00;0,00;-0,09;0,00;0,00;409;95;164;45;27;115;114
84;48,90;-40,36;0,00;0,00;0,00;-0,04;0,00;0,00;200;93;166;47;32;643;562
85;55,62;61,10;0,00;0,00;0,00;0,06;0,00;0,00;217;125;127;30;36;781;362
86;68,84;151,29;0,00;0,00;0,00;0,15;0,00;0,00;499;79;102;15;17;447;959
87;51,53;65,11;0,00;0,00;0,00;0,07;0,00;0,00;277;27;68;17;29;275;296
88;62,48;47,04;0,00;0,00;0,00;0,05;0,00;0,00;84;137;157;26;36;301;597
89;47,88;-7,01;0,00;0,00;0,00;-0,01;0,00;0,00;161;11;182;14;30;153;235
90;56,09;-28,35;0,00;0,00;0,00;-0,03;0,00;0,00;209;120;103;47;25;596;770
91;41,09;-73,40;0,00;0,00;0,00;-0,07;0,00;0,00;133;162;27;41;35;116;628
92;61,01;34,56;0,00;0,00;0,00;0,03;0,00;0,00;40;99;89;33;28;215;621
93;47,54;-49,05;0,00;0,00;0,00;-0,05;0,00;0,00;89;189;132;22;30;507;363
94;40,05;-106,25;0,00;0,00;0,00;-0,11;0,00;0,00;350;152;58;34;22;119;939
95;36,28;-165,65;0,00;0,00;0,00;-0,17;0,00;0,00;187;183;68;39;36;890;646
96;34,17;-180,95;0,00;0,00;0,00;-0,18;0,00;0,00;189;115;145;16;32;158;412
97;49,96;-37,76;0,00;0,00;0,00;-0,04;0,00;0,00;378;77;133;47;23;742;379
98;34,30;-216,24;0,00;0,00;0,00;-0,22;0,00;0,00;77;178;110;44;31;930;263
99;57,01;13,23;0,00;0,00;0,00;0,01;0,00;0,00;160;84;149;11;38;680;804
100;47,43;34,72;0,00;0,00;0,00;0,03;0,00;0,00;237;179;29;18;31;505;748
101;52,43;68,02;0,00;0,00;0,00;0,07;0,00;0,00;358;34;30;33;22;461;243
102;59,27;17,34;0,00;0,00;0,00;0,02;0,00;0,00;146;121;30;12;20;194;865
103;46,98;75,51;0,00;0,00;0,00;0,08;0,00;0,00;387;31;115;38;32;192;792
104;60,56;236,25;0,00;0,00;0,00;0,24;0,00;0,00;240;188;147;32;16;219;269
105;51,64;-14,51;0,00;0,00;0,00;-0,01;0,00;0,00;127;192;160;16;31;219;850
106;50,38;13,73;0,00;0,00;0,00;0,01;0,00;0,00;353;50;178;23;22;781;484
107;45,42;-107,34;0,00;0,00;0,00;-0,11;0,00;0,00;125;88;177;37;18;764;542
108;59,09;-1,08;0,00;0,00;0,00;-0,00;0,00;0,00;195;139;62;12;22;544;609
109;65,00;226,46;0,00;0,00;0,00;0,23;0,00;0,00;279;76;164;16;24;508;793
110;43,74;-6,35;0,00;0,00;0,00;-0,01;0,00;0,00;41;57;113;41;19;297;479
111;41,36;-90,57;0,00;0,00;0,00;-0,09;0,00;0,00;442;73;65;44;32;882;909
112;24,91;-235,55;0,00;0,00;0,00;-0,24;0,00;0,00;255;169;36;48;36;383;821
113;80,68;299,58;0,00;0,00;0,00;0,30;0,00;0,00;154;142;119;18;23;803;245
114;45,42;-58,13;0,00;0,00;0,00;-0,06;0,00;0,00;364;194;127;35;20;685;982
115;60,78;118,12;0,00;0,00;0,00;0,12;0,00;0,00;405;16;91;11;29;916;945
116;28,09;-164,00;0,00;0,00;0,00;-0,16;0,00;0,00;454;134;48;18;36;902;761
117;50,71;16,63;0,00;0,00;0,00;0,02;0,00;0,00;273;84;100;30;23;455;176
118;48,43;7,47;0,00;0,00;0,00;0,01;0,00;0,00;48;49;28;39;32;248;531
119;73,71;229,18;0,00;0,00;0,00;0,23;0,00;0,00;89;178;108;48;16;265;704
120;20,07;-277,73;0,00;0,00;0,00;-0,28;0,00;0,00;455;160;75;36;29;292;186
121;74,36;231,69;0,00;0,00;0,00;0,23;0,00;0,00;149;38;181;34;30;169;738
122;59,82;34,24;0,00;0,00;0,00;0,03;0,00;0,00;76;174;72;23;39;403;905
123;20,59;-332,22;0,00;0,00;0,00;-0,33;0,00;0,00;133;18;165;25;24;458;530
124;23,60;-329,01;0,00;0,00;0,00;-0,33;0,00;0,00;344;55;101;31;17;747;136
125;61,56;149,90;0,00;0,00;0,00;0,15;0,00;0,00;68;164;87;44;21;332;716
126;73,54;188,29;0,00;0,00;0,00;0,19;0,00;0,00;353;153;140;19;26;153;805
127;41,24;-92,46;0,00;0,00;0,00;-0,09;0,00;0,00;483;36;43;30;17;717;274
128;51,14;26,52;0,00;0,00;0,00;0,03;0,00;0,00;483;25;17;33;38;978;409
129;67,78;206,66;0,00;0,00;0,00;0,21;0,00;0,00;242;43;137;10;28;167;106
130;47,02;27,48;0,00;0,00;0,00;0,03;0,00;0,00;308;160;176;24;25;422;671
131;71,01;194,02;0,00;0,00;0,00;0,19;0,00;0,00;147;108;129;19;25;398;514
132;39,43;-110,51;0,00;0,00;0,00;-0,11;0,00;0,00;125;73;154;25;19;358;153
133;35,83;-165,68;0,00;0,00;0,00;-0,17;0,00;0,00;227;174;123;37;27;240;316
134;61,81;129,46;0,00;0,00;0,00;0,13;0,00;0,00;435;11;112;32;30;627;931
135;58,26;48,28;0,00;0,00;0,00;0,05;0,00;0,00;219;198;181;13;24;269;806
136;36,65;-176,98;0,00;0,00;0,00;-0,18;0,00;0,00;412;160;42;14;39;687;245
137;75,76;241,77;0,00;0,00;0,00;0,24;0,00;0,00;420;190;85;45;16;475;942
138;43,86;-183,81;0,00;0,00;0,00;-0,18;0,00;0,00;408;99;139;34;23;769;940
139;36,35;-136,29;0,00;0,00;0,00;-0,14;0,00;0,00;391;148;137;15;24;687;196
140;35,18;-118,92;0,00;0,00;0,00;-0,12;0,00;0,00;131;18;41;33;39;608;465
141;47,29;-47,58;0,00;0,00;0,00;-0,05;0,00;0,00;162;164;48;32;25;830;219
142;39,78;-33,14;0,00;0,00;0,00;-0,03;0,00;0,00;342;101;161;17;17;513;891
143;42,23;-69,70;0,00;0,00;0,00;-0,07;0,00;0,00;480;41;124;31;32;373;877
144;27,07;-235,57;0,00;0,00;0,00;-0,24;0,00;0,00;419;196;83;47;25;652;142
145;73,39;226,05;0,00;0,00;0,00;0,23;0,00;0,00;314;98;197;21;24;700;649
146;60,40;39,20;0,00;0,00;0,00;0,04;0,00;0,00;385;85;162;36;19;311;862
147;49,57;72,63;0,00;0,00;0,00;0,07;0,00;0,00;334;47;65;37;36;539;536
148;37,07;-83,14;0,00;0,00;0,00;-0,08;0,00;0,00;47;10;79;46;23;324;341
149;40,93;-120,84;0,00;0,00;0,00;-0,12;0,00;0,00;304;83;147;49;20;257;692
150;59,32;152,67;0,00;0,00;0,00;0,15;0,00;0,00;134;107;140;29;34;927;152
151;60,40;119,35;0,00;0,00;0,00;0,12;0,00;0,00;323;138;184;29;24;607;534
152;34,73;-94,18;0,00;0,00;0,00;-0,09;0,00;0,00;287;19;164;42;33;187;933
153;75,52;243,64;0,00;0,00;0,00;0,24;0,00;0,00;268;146;53;35;22;556;993
154;25,13;-191,62;0,00;0,00;0,00;-0,19;0,00;0,00;372;104;124;42;30;948;411
155;41,90;-45,78;0,00;0,00;0,00;-0,05;0,00;0,00;155;29;73;35;27;699;416
156;53,19;111,03;0,00;0,00;0,00;0,11;0,00;0,00;183;61;45;39;25;110;546
157;27,11;-218,57;0,00;0,00;0,00;-0,22;0,00;0,00;387;44;108;20;26;548;459
158;49,60;3,89;0,00;0,00;0,00;0,00;0,00;0,00;207;169;133;31;32;895;858
159;60,38;-42,78;0,00;0,00;0,00;-0,04;0,00;0,00;260;157;175;10;30;421;424
160;71,92;206,71;0,00;0,00;0,00;0,21;0,00;0,00;23;195;41;33;20;966;176
161;42,76;-142,97;0,00;0,00;0,00;-0,14;0,00;0,00;52;92;141;48;20;471;406
162;53,48;35,62;0,00;0,00;0,00;0,04;0,00;0,00;293;179;37;19;18;653;668
163;50,88;-39,64;0,00;0,00;0,00;-0,04;0,00;0,00;382;138;148;49;21;826;850
