Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;45,39;-175,11;0,00;0,00;0,00;-0,18;0,00;0,00;401;37;181;24;16;525;131
2;100,00;243,82;0,00;0,00;0,00;0,24;0,00;0,00;140;159;111;20;39;645;272
3;15,89;-526,77;0,00;0,00;0,00;-0,53;0,00;0,00;91;162;185;13;24;818;483
4;50,93;-236,25;0,00;0,00;0,00;-0,24;0,00;0,00;227;145;113;48;34;622;693
5;36,43;-358,96;0,00;0,00;0,00;-0,36;0,00;0,00;164;163;62;40;28;417;198
6;63,73;-186,01;0,00;0,00;0,00;-0,19;0,00;0,00;413;181;130;32;17;879;183
7;66,96;-73,65;0,00;0,00;0,00;-0,07;0,00;0,00;412;42;135;13;34;797;138
8;67,45;-14,72;0,00;0,00;0,00;-0,01;0,00;0,00;455;28;133;46;30;332;408
9;55,43;-211,63;0,00;0,00;0,00;-0,21;0,00;0,00;27;46;151;31;17;685;424
10;22,08;-483,40;0,00;0,00;0,00;-0,48;0,00;0,00;372;134;107;12;22;854;332
11;22,65;-556,05;0,00;0,00;0,00;-0,56;0,00;0,00;389;28;89;33;39;423;165
12;37,74;-483,47;0,00;0,00;0,00;-0,48;0,00;0,00;262;151;13;15;35;124;871
13;21,23;-472,23;0,00;0,00;0,00;-0,47;0,00;0,00;363;85;136;39;20;821;397
14;2,56;-695,84;0,00;0,00;0,00;-0,70;0,00;0,00;17;89;157;26;24;384;380
15;52,39;-114,99;0,00;0,00;0,00;-0,11;0,00;0,00;451;13;190;48;15;385;548
16;27,37;-472,44;0,00;0,00;0,00;-0,47;0,00;0,00;466;113;156;48;31;796;179
17;59,04;-106,55;0,00;0,00;0,00;-0,11;0,00;0,00;151;103;95;35;27;895;794
18;6,07;-656,95;0,00;0,00;0,00;-0,66;0,00;0,00;86;150;128;29;20;701;788
19;77,95;61,13;0,00;0,00;0,00;0,06;0,00;0,00;272;58;73;47;31;518;225
20;0,00;-729,68;0,00;0,00;0,00;-0,73;0,00;0,00;10;121;61;29;16;750;171
21;48,65;-186,85;0,00;0,00;0,00;-0,19;0,00;0,00;126;153;67;17;18;324;153
22;68,18;19,98;0,00;0,00;0,00;0,02;0,00;0,00;291;186;146;30;21;507;893
23;55,70;-120,41;0,00;0,00;0,00;-0,12;0,00;0,00;280;100;151;39;23;163;787
24;60,66;40,11;0,00;0,00;0,00;0,04;0,00;0,00;144;96;36;44;23;764;474
25;73,49;54,47;0,00;0,00;0,00;0,05;0,00;0,00;157;34;103;23;36;639;826
26;79,38;159,66;0,00;0,00;0,00;0,16;0,00;0,00;447;134;14;25;34;549;328
27;74,46;-27,73;0,00;0,00;0,00;-0,03;0,00;0,00;478;30;142;37;26;513;541
28;62,52;-78,86;0,00;0,00;0,00;-0,08;0,00;0,00;382;98;65;13;29;166;425
29;53,90;-201,87;0,00;0,00;0,00;-0,20;0,00;0,00;203;63;194;26;29;554;716
30;100,00;304,61;0,00;0,00;0,00;0,30;0,00;0,00;58;57;167;47;29;269;648
31;65,43;-78,98;0,00;0,00;0,00;-0,08;0,00;0,00;232;40;79;39;27;633;109
32;50,40;-206,69;0,00;0,00;0,00;-0,21;0,00;0,00;474;197;26;18;21;235;974
33;32,80;-309,68;0,00;0,00;0,00;-0,31;0,00;0,00;158;135;143;17;34;868;582
34;22,32;-437,91;0,00;0,00;0,00;-0,44;0,00;0,00;253;70;39;43;39;347;851
35;22,30;-553,68;0,00;0,00;0,00;-0,55;0,00;0,00;309;95;45;15;17;737;418
36;9,09;-651,47;0,00;0,00;0,00;-0,65;0,00;0,00;276;80;116;22;23;817;422
37;63,65;73,98;0,00;0,00;0,00;0,07;0,00;0,00;476;117;173;23;37;718;703
38;22,72;-429,31;0,00;0,00;0,00;-0,43;0,00;0,00;346;129;108;15;16;411;662
39;37,71;-352,34;0,00;0,00;0,00;-0,35;0,00;0,00;449;182;108;30;31;429;198
40;10,11;-537,06;0,00;0,00;0,00;-0,54;0,00;0,00;479;81;154;21;21;781;998
41;45,44;-301,54;0,00;0,00;0,00;-0,30;0,00;0,00;41;57;18;17;37;632;515
42;33,81;-373,03;0,00;0,00;0,00;-0,37;0,00;0,00;244;119;36;26;34;798;594
43;55,65;-200,25;0,00;0,00;0,00;-0,20;0,00;0,00;203;25;53;33;30;697;637
44;53,44;-161,48;0,00;0,00;0,00;-0,16;0,00;0,00;222;179;155;24;38;813;396
45;54,06;-231,32;0,00;0,00;0,00;-0,23;0,00;0,00;374;150;164;13;24;730;805
46;54,30;-143,69;0,00;0,00;0,00;-0,14;0,00;0,00;131;139;138;25;21;739;420
47;48,74;-127,83;0,00;0,00;0,00;-0,13;0,00;0,00;222;87;150;43;19;230;144
48;29,27;-460,37;0,00;0,00;0,00;-0,46;0,00;0,00;472;77;104;45;21;828;592
49;31,38;-420,99;0,00;0,00;0,00;-0,42;0,00;0,00;11;180;25;16;19;915;958
