Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;21,23;-501,26;0,00;0,00;0,00;-0,50;0,00;0,00;362;140;81;44;17;705;176
2;31,17;-337,06;0,00;0,00;0,00;-0,34;0,00;0,00;361;16;151;17;36;686;828
3;15,93;-539,73;0,00;0,00;0,00;-0,54;0,00;0,00;241;180;51;29;18;720;386
4;51,17;-180,42;0,00;0,00;0,00;-0,18;0,00;0,00;433;131;38;46;16;367;374
5;80,08;136,29;0,00;0,00;0,00;0,14;0,00;0,00;435;73;30;17;22;506;767
6;31,14;-301,94;0,00;0,00;0,00;-0,30;0,00;0,00;76;51;174;28;16;169;468
7;46,51;-241,40;0,00;0,00;0,00;-0,24;0,00;0,00;357;178;179;40;35;318;875
8;71,46;34,11;0,00;0,00;0,00;0,03;0,00;0,00;268;55;150;45;33;669;928
9;91,24;254,26;0,00;0,00;0,00;0,25;0,00;0,00;184;102;44;45;31;564;407
10;79,59;150,35;0,00;0,00;0,00;0,15;0,00;0,00;225;192;83;49;33;948;183
11;45,52;-227,24;0,00;0,00;0,00;-0,23;0,00;0,00;84;157;72;30;30;889;394
12;36,12;-338,29;0,00;0,00;0,00;-0,34;0,00;0,00;255;159;120;35;36;597;985
13;63,96;-164,33;0,00;0,00;0,00;-0,16;0,00;0,00;442;63;61;24;24;775;998
14;68,49;-21,92;0,00;0,00;0,00;-0,02;0,00;0,00;454;170;194;29;30;890;525
15;37,77;-390,72;0,00;0,00;0,00;-0,39;0,00;0,00;448;182;160;12;25;960;541
16;86,88;173,01;0,00;0,00;0,00;0,17;0,00;0,00;231;168;161;41;36;606;633
17;34,81;-325,95;0,00;0,00;0,00;-0,33;0,00;0,00;424;74;172;26;18;561;522
18;58,74;-24,53;0,00;0,00;0,00;-0,02;0,00;0,00;123;176;43;45;15;982;614
19;66,10;-80,93;0,00;0,00;0,00;-0,08;0,00;0,00;340;90;167;30;26;995;705
20;29,48;-387,96;0,00;0,00;0,00;-0,39;0,00;0,00;397;127;60;49;36;202;227
21;85,03;149,27;0,00;0,00;0,00;0,15;0,00;0,00;212;126;179;26;20;652;249
22;69,58;38,27;0,00;0,00;0,00;0,04;0,00;0,00;126;120;55;46;28;294;574
23;48,35;-231,91;0,00;0,00;0,00;-0,23;0,00;0,00;20;139;185;30;27;249;144
24;37,49;-246,87;0,00;0,00;0,00;-0,25;0,00;0,00;70;144;143;37;36;818;451
25;57,05;-178,37;0,00;0,00;0,00;-0,18;0,00;0,00;152;57;83;28;35;142;189
26;77,87;92,26;0,00;0,00;0,00;0,09;0,00;0,00;10;61;185;21;16;627;705
27;68,26;-68,15;0,00;0,00;0,00;-0,07;0,00;0,00;143;66;176;12;17;225;358
28;21,55;-487,17;0,00;0,00;0,00;-0,49;0,00;0,00;184;179;173;47;19;455;489
29;39,22;-296,76;0,00;0,00;0,00;-0,30;0,00;0,00;107;131;16;42;28;156;641
30;38,92;-303,08;0,00;0,00;0,00;-0,30;0,00;0,00;21;170;79;47;32;364;998
31;32,62;-416,95;0,00;0,00;0,00;-0,42;0,00;0,00;104;140;180;33;24;388;626
32;32,26;-351,00;0,00;0,00;0,00;-0,35;0,00;0,00;80;174;72;44;37;949;222
33;100,00;324,63;0,00;0,00;0,00;0,32;0,00;0,00;39;112;142;36;18;467;748
34;84,88;205,42;0,00;0,00;0,00;0,21;0,00;0,00;301;146;148;49;23;739;339
35;7,60;-691,94;0,00;0,00;0,00;-0,69;0,00;0,00;97;171;52;28;27;980;233
36;98,40;317,34;0,00;0,00;0,00;0,32;0,00;0,00;395;148;184;15;23;109;334
37;100,00;243,88;0,00;0,00;0,00;0,24;0,00;0,00;143;152;175;38;19;218;529
38;69,83;-51,92;0,00;0,00;0,00;-0,05;0,00;0,00;280;88;187;13;15;759;141
39;89,76;275,04;0,00;0,00;0,00;0,28;0,00;0,00;185;189;146;45;31;367;574
40;44,65;-222,55;0,00;0,00;0,00;-0,22;0,00;0,00;480;44;109;16;37;960;597
41;77,08;34,03;0,00;0,00;0,00;0,03;0,00;0,00;38;66;71;47;31;318;831
42;81,26;83,47;0,00;0,00;0,00;0,08;0,00;0,00;289;115;88;33;29;217;588
43;56,36;-140,96;0,00;0,00;0,00;-0,14;0,00;0,00;138;91;90;30;33;384;548
44;64,78;-27,39;0,00;0,00;0,00;-0,03;0,00;0,00;197;155;174;42;38;651;674
45;61,82;-165,24;0,00;0,00;0,00;-0,17;0,00;0,00;301;148;121;16;21;638;478
46;71,82;79,86;0,00;0,00;0,00;0,08;0,00;0,00;436;143;48;41;21;529;359
47;69,32;-32,62;0,00;0,00;0,00;-0,03;0,00;0,00;313;83;34;44;27;952;622
48;51,74;-215,70;0,00;0,00;0,00;-0,22;0,00;0,00;324;79;43;21;27;113;306
49;81,71;80,29;0,00;0,00;0,00;0,08;0,00;0,00;124;75;116;13;39;799;411
50;71,82;-24,59;0,00;0,00;0,00;-0,02;0,00;0,00;114;104;62;33;21;693;195
51;1,06;-678,18;0,00;0,00;0,00;-0,68;0,00;0,00;87;196;38;24;37;583;727
52;32,53;-386,68;0,00;0,00;0,00;-0,39;0,00;0,00;353;19;28;48;35;557;461
53;21,08;-350,08;0,00;0,00;0,00;-0,35;0,00;0,00;19;69;119;22;33;133;189
54;45,43;-232,15;0,00;0,00;0,00;-0,23;0,00;0,00;117;87;136;12;33;357;559
55;33,42;-486,87;0,00;0,00;0,00;-0,49;0,00;0,00;396;34;119;38;38;101;231
56;25,37;-482,06;0,00;0,00;0,00;-0,48;0,00;0,00;17;128;143;34;31;684;975
57;47,14;-288,28;0,00;0,00;0,00;-0,29;0,00;0,00;417;129;166;41;33;868;601
58;64,91;-70,07;0,00;0,00;0,00;-0,07;0,00;0,00;24;108;62;18;20;434;796
59;26,24;-441,23;0,00;0,00;0,00;-0,44;0,00;0,00;64;68;170;20;26;893;428
60;72,28;86,43;0,00;0,00;0,00;0,09;0,00;0,00;297;17;162;20;30;324;495
61;32,20;-382,43;0,00;0,00;0,00;-0,38;0,00;0,00;116;183;30;31;15;867;233
62;53,15;-158,13;0,00;0,00;0,00;-0,16;0,00;0,00;25;164;120;27;37;826;798
63;38,57;-279,39;0,00;0,00;0,00;-0,28;0,00;0,00;375;64;121;26;37;617;659
64;70,44;-29,95;0,00;0,00;0,00;-0,03;0,00;0,00;455;94;12;47;22;399;608
65;24,71;-481,25;0,00;0,00;0,00;-0,48;0,00;0,00;266;162;178;30;17;400;553
66;72,62;-47,04;0,00;0,00;0,00;-0,05;0,00;0,00;121;150;24;41;35;408;499
67;60,05;-119,21;0,00;0,00;0,00;-0,12;0,00;0,00;416;30;182;24;22;649;932
68;59,34;-88,95;0,00;0,00;0,00;-0,09;0,00;0,00;45;145;24;34;35;606;628
69;0,00;-694,88;0,00;0,00;0,00;-0,69;0,00;0,00;140;13;113;11;32;216;111
70;82,77;168,95;0,00;0,00;0,00;0,17;0,00;0,00;363;189;107;29;26;569;552
71;61,25;-100,69;0,00;0,00;0,00;-0,10;0,00;0,00;487;157;48;38;18;143;358
72;55,74;-142,53;0,00;0,00;0,00;-0,14;0,00;0,00;476;50;159;44;28;668;128
73;98,73;296,27;0,00;0,00;0,00;0,30;0,00;0,00;478;127;48;17;24;820;322
74;69,46;19,00;0,00;0,00;0,00;0,02;0,00;0,00;172;85;65;30;18;841;544
75;39,84;-257,05;0,00;0,00;0,00;-0,26;0,00;0,00;330;40;40;37;29;147;572
76;68,87;-54,10;0,00;0,00;0,00;-0,05;0,00;0,00;431;97;186;18;35;150;518
77;64,09;-29,82;0,00;0,00;0,00;-0,03;0,00;0,00;247;21;63;18;22;862;782
78;91,85;207,52;0,00;0,00;0,00;0,21;0,00;0,00;111;66;43;11;24;303;953
79;55,75;-70,50;0,00;0,00;0,00;-0,07;0,00;0,00;281;60;133;33;32;466;519
80;45,94;-138,13;0,00;0,00;0,00;-0,14;0,00;0,00;69;167;96;27;25;235;149
81;46,90;-289,20;0,00;0,00;0,00;-0,29;0,00;0,00;28;51;112;36;21;208;593
82;36,24;-448,92;0,00;0,00;0,00;-0,45;0,00;0,00;173;190;117;12;18;627;569
