Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;1,82;-725,45;0,00;0,00;0,00;-0,73;0,00;0,00;247;37;181;24;16;525;131
2;44,29;-226,47;0,00;0,00;0,00;-0,23;0,00;0,00;482;159;111;20;39;645;272
3;6,82;-610,93;0,00;0,00;0,00;-0,61;0,00;0,00;206;162;185;13;24;818;483
4;25,98;-439,01;0,00;0,00;0,00;-0,44;0,00;0,00;293;145;113;48;34;622;693
5;63,23;-64,83;0,00;0,00;0,00;-0,06;0,00;0,00;286;163;62;40;28;417;198
6;59,49;-205,72;0,00;0,00;0,00;-0,21;0,00;0,00;234;181;130;32;17;879;183
7;70,32;-22,37;0,00;0,00;0,00;-0,02;0,00;0,00;211;42;135;13;34;797;138
8;63,10;-51,83;0,00;0,00;0,00;-0,05;0,00;0,00;111;28;133;46;30;332;408
9;71,36;83,32;0,00;0,00;0,00;0,08;0,00;0,00;268;46;151;31;17;685;424
10;42,60;-240,60;0,00;0,00;0,00;-0,24;0,00;0,00;179;134;107;12;22;854;332
11;38,70;-336,31;0,00;0,00;0,00;-0,34;0,00;0,00;396;28;89;33;39;423;165
12;32,73;-367,39;0,00;0,00;0,00;-0,37;0,00;0,00;150;151;13;15;35;124;871
13;32,59;-446,00;0,00;0,00;0,00;-0,45;0,00;0,00;296;85;136;39;20;821;397
14;4,83;-643,25;0,00;0,00;0,00;-0,64;0,00;0,00;117;89;157;26;24;384;380
15;27,32;-466,39;0,00;0,00;0,00;-0,47;0,00;0,00;68;13;190;48;15;385;548
16;47,79;-240,11;0,00;0,00;0,00;-0,24;0,00;0,00;183;113;156;48;31;796;179
17;96,06;238,54;0,00;0,00;0,00;0,24;0,00;0,00;452;103;95;35;27;895;794
18;72,82;87,47;0,00;0,00;0,00;0,09;0,00;0,00;356;150;128;29;20;701;788
19;81,81;145,14;0,00;0,00;0,00;0,15;0,00;0,00;367;58;73;47;31;518;225
20;52,80;-210,85;0,00;0,00;0,00;-0,21;0,00;0,00;398;121;61;29;16;750;171
21;26,33;-426,75;0,00;0,00;0,00;-0,43;0,00;0,00;379;153;67;17;18;324;153
22;53,51;-225,18;0,00;0,00;0,00;-0,23;0,00;0,00;337;186;146;30;21;507;893
23;62,13;-55,26;0,00;0,00;0,00;-0,06;0,00;0,00;76;100;151;39;23;163;787
24;84,52;119,18;0,00;0,00;0,00;0,12;0,00;0,00;67;96;36;44;23;764;474
