Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;32,05;-356,36;0,00;0,00;0,00;-0,36;0,00;0,00;188;140;81;44;17;705;176
2;49,53;-239,46;0,00;0,00;0,00;-0,24;0,00;0,00;420;16;151;17;36;686;828
3;0,00;-592,64;0,00;0,00;0,00;-0,59;0,00;0,00;460;180;51;29;18;720;386
4;65,76;-62,20;0,00;0,00;0,00;-0,06;0,00;0,00;103;131;38;46;16;367;374
5;47,09;-226,64;0,00;0,00;0,00;-0,23;0,00;0,00;55;73;30;17;22;506;767
6;37,33;-497,20;0,00;0,00;0,00;-0,50;0,00;0,00;252;51;174;28;16;169;468
7;78,60;80,64;0,00;0,00;0,00;0,08;0,00;0,00;451;178;179;40;35;318;875
8;48,69;-193,01;0,00;0,00;0,00;-0,19;0,00;0,00;306;55;150;45;33;669;928
9;70,01;3,85;0,00;0,00;0,00;0,00;0,00;0,00;250;102;44;45;31;564;407
10;73,75;107,16;0,00;0,00;0,00;0,11;0,00;0,00;303;192;83;49;33;948;183
11;38,39;-339,04;0,00;0,00;0,00;-0,34;0,00;0,00;392;157;72;30;30;889;394
12;5,27;-652,50;0,00;0,00;0,00;-0,65;0,00;0,00;448;159;120;35;36;597;985
13;52,67;-78,44;0,00;0,00;0,00;-0,08;0,00;0,00;182;63;61;24;24;775;998
14;32,00;-413,86;0,00;0,00;0,00;-0,41;0,00;0,00;278;170;194;29;30;890;525
15;46,24;-255,52;0,00;0,00;0,00;-0,26;0,00;0,00;454;182;160;12;25;960;541
16;6,86;-604,36;0,00;0,00;0,00;-0,60;0,00;0,00;387;168;161;41;36;606;633
17;31,64;-355,07;0,00;0,00;0,00;-0,36;0,00;0,00;193;74;172;26;18;561;522
18;82,52;145,41;0,00;0,00;0,00;0,15;0,00;0,00;120;176;43;45;15;982;614
19;66,41;5,28;0,00;0,00;0,00;0,01;0,00;0,00;401;90;167;30;26;995;705
20;25,01;-541,19;0,00;0,00;0,00;-0,54;0,00;0,00;468;127;60;49;36;202;227
21;88,69;163,84;0,00;0,00;0,00;0,16;0,00;0,00;168;126;179;26;20;652;249
