Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;38,23;-79,27;0,00;0,00;0,00;-0,08;0,00;0,00;252;150;98;38;19;872;349
2;55,75;48,26;0,00;0,00;0,00;0,05;0,00;0,00;144;54;118;42;29;904;851
3;54,51;14,77;0,00;0,00;0,00;0,01;0,00;0,00;289;193;135;38;35;556;207
4;66,58;230,63;0,00;0,00;0,00;0,23;0,00;0,00;24;130;155;25;17;304;999
5;60,25;67,76;0,00;0,00;0,00;0,07;0,00;0,00;401;187;108;41;33;493;622
6;56,20;4,85;0,00;0,00;0,00;0,00;0,00;0,00;249;102;71;49;37;136;976
7;46,60;-126,11;0,00;0,00;0,00;-0,13;0,00;0,00;356;124;19;16;33;683;797
8;53,57;-28,80;0,00;0,00;0,00;-0,03;0,00;0,00;134;87;69;19;39;862;898
9;22,55;-324,41;0,00;0,00;0,00;-0,32;0,00;0,00;127;68;116;33;25;762;340
10;53,46;-5,45;0,00;0,00;0,00;-0,01;0,00;0,00;151;162;75;49;23;792;965
11;66,14;161,90;0,00;0,00;0,00;0,16;0,00;0,00;386;147;16;39;17;990;977
12;55,30;-10,33;0,00;0,00;0,00;-0,01;0,00;0,00;81;163;12;32;20;981;795
13;51,66;-21,21;0,00;0,00;0,00;-0,02;0,00;0,00;370;155;83;41;34;989;624
14;22,49;-151,77;0,00;0,00;0,00;-0,15;0,00;0,00;159;106;68;38;32;895;407
15;50,14;35,81;0,00;0,00;0,00;0,04;0,00;0,00;318;60;66;13;17;714;950
16;37,75;-127,55;0,00;0,00;0,00;-0,13;0,00;0,00;291;54;194;17;33;918;987
17;37,04;-180,46;0,00;0,00;0,00;-0,18;0,00;0,00;62;163;189;39;24;224;123
18;69,80;194,01;0,00;0,00;0,00;0,19;0,00;0,00;248;185;191;43;35;479;850
19;41,51;-38,21;0,00;0,00;0,00;-0,04;0,00;0,00;348;98;136;42;22;363;920
20;49,00;-13,61;0,00;0,00;0,00;-0,01;0,00;0,00;218;180;107;18;28;396;447
21;69,53;240,21;0,00;0,00;0,00;0,24;0,00;0,00;64;126;129;21;29;516;637
22;51,04;-24,41;0,00;0,00;0,00;-0,02;0,00;0,00;166;144;143;20;37;697;951
23;44,86;6,92;0,00;0,00;0,00;0,01;0,00;0,00;152;92;92;20;18;928;737
24;53,54;2,96;0,00;0,00;0,00;0,00;0,00;0,00;356;104;134;16;16;852;290
25;48,50;-33,26;0,00;0,00;0,00;-0,03;0,00;0,00;189;92;50;10;16;165;272
26;51,04;-18,94;0,00;0,00;0,00;-0,02;0,00;0,00;181;184;129;33;26;453;452
27;45,28;2,48;0,00;0,00;0,00;0,00;0,00;0,00;448;115;191;33;18;986;307
28;38,96;-150,75;0,00;0,00;0,00;-0,15;0,00;0,00;462;13;154;11;23;747;162
29;59,66;56,90;0,00;0,00;0,00;0,06;0,00;0,00;476;87;172;33;20;582;343
30;41,34;-37,40;0,00;0,00;0,00;-0,04;0,00;0,00;259;72;193;41;23;350;790
31;50,49;28,09;0,00;0,00;0,00;0,03;0,00;0,00;61;78;143;33;15;199;988
32;31,36;-128,28;0,00;0,00;0,00;-0,13;0,00;0,00;221;147;45;42;34;781;432
33;38,49;-114,14;0,00;0,00;0,00;-0,11;0,00;0,00;230;52;77;31;37;222;215
34;43,55;-39,63;0,00;0,00;0,00;-0,04;0,00;0,00;241;112;198;13;24;547;233
35;45,49;-129,14;0,00;0,00;0,00;-0,13;0,00;0,00;78;165;184;14;32;307;808
36;55,51;160,57;0,00;0,00;0,00;0,16;0,00;0,00;432;71;115;30;17;384;888
37;41,72;-83,17;0,00;0,00;0,00;-0,08;0,00;0,00;304;180;129;38;34;661;192
38;60,65;9,64;0,00;0,00;0,00;0,01;0,00;0,00;210;154;119;21;23;995;955
39;100,00;486,22;0,00;0,00;0,00;0,49;0,00;0,00;72;146;46;45;20;260;861
