Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;31,39;-273,59;0,00;0,00;0,00;-0,27;0,00;0,00;236;150;98;38;19;872;349
2;61,83;182,98;0,00;0,00;0,00;0,18;0,00;0,00;170;54;118;42;29;904;851
3;62,85;131,49;0,00;0,00;0,00;0,13;0,00;0,00;74;193;135;38;35;556;207
4;56,01;86,40;0,00;0,00;0,00;0,09;0,00;0,00;181;130;155;25;17;304;999
5;62,38;219,94;0,00;0,00;0,00;0,22;0,00;0,00;50;187;108;41;33;493;622
6;59,61;51,97;0,00;0,00;0,00;0,05;0,00;0,00;420;102;71;49;37;136;976
7;53,67;54,39;0,00;0,00;0,00;0,05;0,00;0,00;158;124;19;16;33;683;797
8;54,64;11,87;0,00;0,00;0,00;0,01;0,00;0,00;217;87;69;19;39;862;898
9;14,00;-436,67;0,00;0,00;0,00;-0,44;0,00;0,00;65;68;116;33;25;762;340
10;45,39;-38,39;0,00;0,00;0,00;-0,04;0,00;0,00;97;162;75;49;23;792;965
11;59,04;74,01;0,00;0,00;0,00;0,07;0,00;0,00;263;147;16;39;17;990;977
12;55,20;41,92;0,00;0,00;0,00;0,04;0,00;0,00;176;163;12;32;20;981;795
13;47,92;-66,17;0,00;0,00;0,00;-0,07;0,00;0,00;302;155;83;41;34;989;624
14;28,68;-205,78;0,00;0,00;0,00;-0,21;0,00;0,00;23;106;68;38;32;895;407
15;57,57;53,41;0,00;0,00;0,00;0,05;0,00;0,00;443;60;66;13;17;714;950
16;48,05;-25,29;0,00;0,00;0,00;-0,03;0,00;0,00;187;54;194;17;33;918;987
17;21,21;-207,94;0,00;0,00;0,00;-0,21;0,00;0,00;141;163;189;39;24;224;123
18;77,87;274,99;0,00;0,00;0,00;0,27;0,00;0,00;115;185;191;43;35;479;850
19;37,05;-151,16;0,00;0,00;0,00;-0,15;0,00;0,00;106;98;136;42;22;363;920
20;49,34;98,89;0,00;0,00;0,00;0,10;0,00;0,00;498;180;107;18;28;396;447
