Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;33,04;-395,25;0,00;0,00;0,00;-0,40;0,00;0,00;161;37;181;24;16;525;131
2;42,24;-261,06;0,00;0,00;0,00;-0,26;0,00;0,00;289;159;111;20;39;645;272
3;48,52;-211,42;0,00;0,00;0,00;-0,21;0,00;0,00;270;162;185;13;24;818;483
4;34,95;-327,56;0,00;0,00;0,00;-0,33;0,00;0,00;427;145;113;48;34;622;693
5;49,69;-165,40;0,00;0,00;0,00;-0,17;0,00;0,00;124;163;62;40;28;417;198
6;40,00;-218,65;0,00;0,00;0,00;-0,22;0,00;0,00;121;181;130;32;17;879;183
7;78,91;142,62;0,00;0,00;0,00;0,14;0,00;0,00;267;42;135;13;34;797;138
8;68,58;-3,41;0,00;0,00;0,00;-0,00;0,00;0,00;148;28;133;46;30;332;408
9;69,55;101,43;0,00;0,00;0,00;0,10;0,00;0,00;13;46;151;31;17;685;424
10;43,87;-320,13;0,00;0,00;0,00;-0,32;0,00;0,00;187;134;107;12;22;854;332
11;0,00;-717,65;0,00;0,00;0,00;-0,72;0,00;0,00;339;28;89;33;39;423;165
12;23,22;-482,95;0,00;0,00;0,00;-0,48;0,00;0,00;459;151;13;15;35;124;871
13;97,10;314,57;0,00;0,00;0,00;0,31;0,00;0,00;141;85;136;39;20;821;397
14;33,24;-352,04;0,00;0,00;0,00;-0,35;0,00;0,00;319;89;157;26;24;384;380
15;87,94;231,54;0,00;0,00;0,00;0,23;0,00;0,00;266;13;190;48;15;385;548
16;40,13;-203,50;0,00;0,00;0,00;-0,20;0,00;0,00;35;113;156;48;31;796;179
17;19,95;-516,34;0,00;0,00;0,00;-0,52;0,00;0,00;369;103;95;35;27;895;794
18;25,11;-481,19;0,00;0,00;0,00;-0,48;0,00;0,00;262;150;128;29;20;701;788
19;85,23;127,53;0,00;0,00;0,00;0,13;0,00;0,00;56;58;73;47;31;518;225
20;20,40;-518,22;0,00;0,00;0,00;-0,52;0,00;0,00;314;121;61;29;16;750;171
21;65,45;-200,62;0,00;0,00;0,00;-0,20;0,00;0,00;407;153;67;17;18;324;153
22;74,58;-20,21;0,00;0,00;0,00;-0,02;0,00;0,00;269;186;146;30;21;507;893
23;76,38;32,52;0,00;0,00;0,00;0,03;0,00;0,00;429;100;151;39;23;163;787
24;73,06;5,86;0,00;0,00;0,00;0,01;0,00;0,00;255;96;36;44;23;764;474
25;28,26;-398,71;0,00;0,00;0,00;-0,40;0,00;0,00;296;34;103;23;36;639;826
26;74,94;-13,43;0,00;0,00;0,00;-0,01;0,00;0,00;184;134;14;25;34;549;328
27;74,89;71,79;0,00;0,00;0,00;0,07;0,00;0,00;464;30;142;37;26;513;541
28;60,58;-58,21;0,00;0,00;0,00;-0,06;0,00;0,00;12;98;65;13;29;166;425
29;59,31;-106,38;0,00;0,00;0,00;-0,11;0,00;0,00;229;63;194;26;29;554;716
30;37,07;-338,76;0,00;0,00;0,00;-0,34;0,00;0,00;315;57;167;47;29;269;648
31;63,29;-16,44;0,00;0,00;0,00;-0,02;0,00;0,00;310;40;79;39;27;633;109
32;27,93;-491,92;0,00;0,00;0,00;-0,49;0,00;0,00;138;197;26;18;21;235;974
33;88,83;112,63;0,00;0,00;0,00;0,11;0,00;0,00;388;135;143;17;34;868;582
34;67,95;-39,54;0,00;0,00;0,00;-0,04;0,00;0,00;87;70;39;43;39;347;851
35;35,18;-420,30;0,00;0,00;0,00;-0,42;0,00;0,00;452;95;45;15;17;737;418
36;20,64;-525,89;0,00;0,00;0,00;-0,53;0,00;0,00;91;80;116;22;23;817;422
37;45,72;-248,61;0,00;0,00;0,00;-0,25;0,00;0,00;459;117;173;23;37;718;703
38;38,79;-326,21;0,00;0,00;0,00;-0,33;0,00;0,00;35;129;108;15;16;411;662
39;72,10;-20,87;0,00;0,00;0,00;-0,02;0,00;0,00;187;182;108;30;31;429;198
40;0,00;-634,69;0,00;0,00;0,00;-0,63;0,00;0,00;216;81;154;21;21;781;998
41;95,63;257,15;0,00;0,00;0,00;0,26;0,00;0,00;63;57;18;17;37;632;515
42;42,64;-251,78;0,00;0,00;0,00;-0,25;0,00;0,00;70;119;36;26;34;798;594
43;32,72;-373,28;0,00;0,00;0,00;-0,37;0,00;0,00;196;25;53;33;30;697;637
44;7,47;-523,20;0,00;0,00;0,00;-0,52;0,00;0,00;485;179;155;24;38;813;396
45;48,77;-208,97;0,00;0,00;0,00;-0,21;0,00;0,00;121;150;164;13;24;730;805
46;71,35;3,87;0,00;0,00;0,00;0,00;0,00;0,00;278;139;138;25;21;739;420
47;59,60;-23,48;0,00;0,00;0,00;-0,02;0,00;0,00;456;87;150;43;19;230;144
48;38,82;-216,44;0,00;0,00;0,00;-0,22;0,00;0,00;238;77;104;45;21;828;592
49;47,45;-206,06;0,00;0,00;0,00;-0,21;0,00;0,00;69;180;25;16;19;915;958
50;8,86;-541,23;0,00;0,00;0,00;-0,54;0,00;0,00;382;100;73;49;27;931;925
51;32,39;-398,06;0,00;0,00;0,00;-0,40;0,00;0,00;294;120;196;32;34;550;147
52;23,41;-428,06;0,00;0,00;0,00;-0,43;0,00;0,00;146;35;150;39;19;702;770
53;77,10;58,81;0,00;0,00;0,00;0,06;0,00;0,00;491;119;15;15;21;325;711
54;30,97;-367,86;0,00;0,00;0,00;-0,37;0,00;0,00;288;157;97;15;34;959;459
55;47,91;-191,39;0,00;0,00;0,00;-0,19;0,00;0,00;255;171;170;36;35;665;550
56;39,92;-338,02;0,00;0,00;0,00;-0,34;0,00;0,00;180;151;105;26;26;361;215
57;43,09;-273,84;0,00;0,00;0,00;-0,27;0,00;0,00;442;18;56;17;27;932;854
58;53,78;-221,96;0,00;0,00;0,00;-0,22;0,00;0,00;305;63;51;18;19;464;291
59;30,70;-288,76;0,00;0,00;0,00;-0,29;0,00;0,00;222;87;119;30;30;174;136
60;6,50;-654,37;0,00;0,00;0,00;-0,65;0,00;0,00;148;105;19;43;19;355;605
61;7,06;-661,81;0,00;0,00;0,00;-0,66;0,00;0,00;207;167;147;48;30;152;159
62;75,41;49,62;0,00;0,00;0,00;0,05;0,00;0,00;207;188;87;33;15;541;112
63;89,15;220,89;0,00;0,00;0,00;0,22;0,00;0,00;146;84;150;33;21;588;834
64;86,33;201,61;0,00;0,00;0,00;0,20;0,00;0,00;78;171;198;29;18;843;924
65;13,24;-629,76;0,00;0,00;0,00;-0,63;0,00;0,00;347;38;166;37;31;294;488
66;9,67;-611,13;0,00;0,00;0,00;-0,61;0,00;0,00;38;179;144;27;17;901;444
67;18,57;-564,57;0,00;0,00;0,00;-0,56;0,00;0,00;414;188;166;13;32;993;881
68;10,11;-608,94;0,00;0,00;0,00;-0,61;0,00;0,00;66;32;191;43;39;182;924
69;58,92;-140,19;0,00;0,00;0,00;-0,14;0,00;0,00;482;144;164;20;30;638;142
70;17,28;-487,99;0,00;0,00;0,00;-0,49;0,00;0,00;318;137;127;45;30;807;377
71;47,30;-190,82;0,00;0,00;0,00;-0,19;0,00;0,00;36;118;160;44;15;658;945
72;64,64;-150,03;0,00;0,00;0,00;-0,15;0,00;0,00;97;181;78;46;25;681;751
73;21,85;-494,76;0,00;0,00;0,00;-0,49;0,00;0,00;82;18;19;47;25;435;741
74;88,62;101,60;0,00;0,00;0,00;0,10;0,00;0,00;432;92;144;11;25;491;672
75;75,86;-2,64;0,00;0,00;0,00;-0,00;0,00;0,00;187;18;196;40;19;580;304
76;52,82;-189,33;0,00;0,00;0,00;-0,19;0,00;0,00;186;143;130;10;36;602;491
77;11,67;-647,62;0,00;0,00;0,00;-0,65;0,00;0,00;287;165;141;21;17;607;732
78;91,32;317,18;0,00;0,00;0,00;0,32;0,00;0,00;178;194;172;48;22;803;503
79;23,97;-444,44;0,00;0,00;0,00;-0,44;0,00;0,00;491;195;30;34;20;857;604
80;56,20;-76,86;0,00;0,00;0,00;-0,08;0,00;0,00;105;69;135;45;30;459;798
81;39,48;-397,99;0,00;0,00;0,00;-0,40;0,00;0,00;273;120;92;38;31;834;922
82;15,53;-458,45;0,00;0,00;0,00;-0,46;0,00;0,00;162;158;124;41;23;862;739
83;59,46;-119,50;0,00;0,00;0,00;-0,12;0,00;0,00;311;174;26;15;28;786;617
84;37,03;-373,81;0,00;0,00;0,00;-0,37;0,00;0,00;67;82;135;35;35;291;467
85;67,41;-87,99;0,00;0,00;0,00;-0,09;0,00;0,00;76;92;44;43;38;797;181
86;52,70;-214,04;0,00;0,00;0,00;-0,21;0,00;0,00;43;170;196;13;34;121;746
87;89,54;120,92;0,00;0,00;0,00;0,12;0,00;0,00;379;63;22;16;37;477;472
88;50,64;-187,14;0,00;0,00;0,00;-0,19;0,00;0,00;438;80;187;13;38;189;798
89;41,81;-305,43;0,00;0,00;0,00;-0,31;0,00;0,00;459;97;87;24;28;535;541
90;32,53;-347,47;0,00;0,00;0,00;-0,35;0,00;0,00;227;21;168;47;36;453;923
91;74,25;69,74;0,00;0,00;0,00;0,07;0,00;0,00;391;95;110;46;32;989;390
92;61,63;-3,33;0,00;0,00;0,00;-0,00;0,00;0,00;275;199;86;12;26;112;297
93;0,00;-638,32;0,00;0,00;0,00;-0,64;0,00;0,00;447;182;10;28;30;710;965
94;55,37;-141,00;0,00;0,00;0,00;-0,14;0,00;0,00;186;143;186;29;28;734;253
95;26,84;-385,81;0,00;0,00;0,00;-0,39;0,00;0,00;154;163;140;42;34;403;627
96;58,59;-214,87;0,00;0,00;0,00;-0,21;0,00;0,00;400;136;179;35;23;865;553
97;86,65;229,22;0,00;0,00;0,00;0,23;0,00;0,00;261;74;197;39;19;729;633
98;55,56;-138,99;0,00;0,00;0,00;-0,14;0,00;0,00;332;136;134;45;33;480;176
99;14,62;-473,23;0,00;0,00;0,00;-0,47;0,00;0,00;293;85;53;22;33;154;655
100;48,66;-209,70;0,00;0,00;0,00;-0,21;0,00;0,00;229;133;168;43;37;760;198
101;100,00;289,25;0,00;0,00;0,00;0,29;0,00;0,00;438;83;140;10;20;951;747
102;20,20;-486,91;0,00;0,00;0,00;-0,49;0,00;0,00;496;167;97;24;39;516;247
