Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;35,94;-276,65;0,00;0,00;0,00;-0,28;0,00;0,00;328;140;81;44;17;705;176
2;39,09;-235,58;0,00;0,00;0,00;-0,24;0,00;0,00;391;16;151;17;36;686;828
3;0,00;-725,18;0,00;0,00;0,00;-0,73;0,00;0,00;390;180;51;29;18;720;386
4;100,00;353,50;0,00;0,00;0,00;0,35;0,00;0,00;163;131;38;46;16;367;374
5;66,69;18,71;0,00;0,00;0,00;0,02;0,00;0,00;17;73;30;17;22;506;767
6;51,53;-227,51;0,00;0,00;0,00;-0,23;0,00;0,00;475;51;174;28;16;169;468
7;58,15;-76,37;0,00;0,00;0,00;-0,08;0,00;0,00;159;178;179;40;35;318;875
8;26,74;-291,03;0,00;0,00;0,00;-0,29;0,00;0,00;402;55;150;45;33;669;928
9;42,93;-148,13;0,00;0,00;0,00;-0,15;0,00;0,00;26;102;44;45;31;564;407
10;22,59;-500,81;0,00;0,00;0,00;-0,50;0,00;0,00;199;192;83;49;33;948;183
11;48,87;-216,37;0,00;0,00;0,00;-0,22;0,00;0,00;342;157;72;30;30;889;394
12;43,84;-281,97;0,00;0,00;0,00;-0,28;0,00;0,00;271;159;120;35;36;597;985
13;91,33;178,57;0,00;0,00;0,00;0,18;0,00;0,00;189;63;61;24;24;775;998
14;55,13;-118,03;0,00;0,00;0,00;-0,12;0,00;0,00;192;170;194;29;30;890;525
15;48,59;-178,14;0,00;0,00;0,00;-0,18;0,00;0,00;327;182;160;12;25;960;541
16;49,83;-183,52;0,00;0,00;0,00;-0,18;0,00;0,00;176;168;161;41;36;606;633
17;41,77;-300,80;0,00;0,00;0,00;-0,30;0,00;0,00;130;74;172;26;18;561;522
18;75,88;52,82;0,00;0,00;0,00;0,05;0,00;0,00;463;176;43;45;15;982;614
19;51,51;-216,31;0,00;0,00;0,00;-0,22;0,00;0,00;144;90;167;30;26;995;705
20;37,34;-344,61;0,00;0,00;0,00;-0,34;0,00;0,00;470;127;60;49;36;202;227
21;62,71;-180,11;0,00;0,00;0,00;-0,18;0,00;0,00;367;126;179;26;20;652;249
22;48,24;-254,45;0,00;0,00;0,00;-0,25;0,00;0,00;36;120;55;46;28;294;574
23;35,92;-348,48;0,00;0,00;0,00;-0,35;0,00;0,00;431;139;185;30;27;249;144
24;24,18;-427,61;0,00;0,00;0,00;-0,43;0,00;0,00;11;144;143;37;36;818;451
25;73,74;-41,13;0,00;0,00;0,00;-0,04;0,00;0,00;104;57;83;28;35;142;189
26;47,20;-264,54;0,00;0,00;0,00;-0,26;0,00;0,00;346;61;185;21;16;627;705
27;54,62;-149,52;0,00;0,00;0,00;-0,15;0,00;0,00;415;66;176;12;17;225;358
28;56,57;-142,13;0,00;0,00;0,00;-0,14;0,00;0,00;203;179;173;47;19;455;489
29;69,28;63,88;0,00;0,00;0,00;0,06;0,00;0,00;211;131;16;42;28;156;641
30;92,83;258,88;0,00;0,00;0,00;0,26;0,00;0,00;217;170;79;47;32;364;998
31;49,57;-93,81;0,00;0,00;0,00;-0,09;0,00;0,00;178;140;180;33;24;388;626
32;60,14;-126,28;0,00;0,00;0,00;-0,13;0,00;0,00;487;174;72;44;37;949;222
33;100,00;335,09;0,00;0,00;0,00;0,34;0,00;0,00;309;112;142;36;18;467;748
34;100,00;281,70;0,00;0,00;0,00;0,28;0,00;0,00;449;146;148;49;23;739;339
35;9,43;-537,00;0,00;0,00;0,00;-0,54;0,00;0,00;289;171;52;28;27;980;233
36;22,94;-416,42;0,00;0,00;0,00;-0,42;0,00;0,00;330;148;184;15;23;109;334
37;83,54;221,17;0,00;0,00;0,00;0,22;0,00;0,00;322;152;175;38;19;218;529
38;62,37;-93,63;0,00;0,00;0,00;-0,09;0,00;0,00;420;88;187;13;15;759;141
39;73,83;87,28;0,00;0,00;0,00;0,09;0,00;0,00;366;189;146;45;31;367;574
40;19,15;-516,21;0,00;0,00;0,00;-0,52;0,00;0,00;165;44;109;16;37;960;597
41;48,71;-191,37;0,00;0,00;0,00;-0,19;0,00;0,00;105;66;71;47;31;318;831
42;26,57;-464,60;0,00;0,00;0,00;-0,46;0,00;0,00;88;115;88;33;29;217;588
43;55,35;-156,10;0,00;0,00;0,00;-0,16;0,00;0,00;388;91;90;30;33;384;548
44;66,51;18,35;0,00;0,00;0,00;0,02;0,00;0,00;181;155;174;42;38;651;674
45;64,74;-10,99;0,00;0,00;0,00;-0,01;0,00;0,00;76;148;121;16;21;638;478
46;34,48;-343,45;0,00;0,00;0,00;-0,34;0,00;0,00;446;143;48;41;21;529;359
47;56,73;-156,85;0,00;0,00;0,00;-0,16;0,00;0,00;317;83;34;44;27;952;622
48;42,97;-206,42;0,00;0,00;0,00;-0,21;0,00;0,00;206;79;43;21;27;113;306
49;71,31;30,45;0,00;0,00;0,00;0,03;0,00;0,00;442;75;116;13;39;799;411
50;31,31;-346,17;0,00;0,00;0,00;-0,35;0,00;0,00;10;104;62;33;21;693;195
51;58,76;-50,79;0,00;0,00;0,00;-0,05;0,00;0,00;230;196;38;24;37;583;727
52;25,08;-522,50;0,00;0,00;0,00;-0,52;0,00;0,00;187;19;28;48;35;557;461
53;43,99;-237,87;0,00;0,00;0,00;-0,24;0,00;0,00;301;69;119;22;33;133;189
54;61,59;-56,42;0,00;0,00;0,00;-0,06;0,00;0,00;110;87;136;12;33;357;559
55;68,42;-70,08;0,00;0,00;0,00;-0,07;0,00;0,00;246;34;119;38;38;101;231
56;0,50;-799,60;0,00;0,00;0,00;-0,80;0,00;0,00;471;128;143;34;31;684;975
57;56,41;-184,28;0,00;0,00;0,00;-0,18;0,00;0,00;348;129;166;41;33;868;601
58;38,72;-370,91;0,00;0,00;0,00;-0,37;0,00;0,00;333;108;62;18;20;434;796
59;55,95;-140,07;0,00;0,00;0,00;-0,14;0,00;0,00;85;68;170;20;26;893;428
60;86,12;186,47;0,00;0,00;0,00;0,19;0,00;0,00;308;17;162;20;30;324;495
61;0,23;-680,70;0,00;0,00;0,00;-0,68;0,00;0,00;192;183;30;31;15;867;233
62;22,85;-583,01;0,00;0,00;0,00;-0,58;0,00;0,00;386;164;120;27;37;826;798
63;88,02;223,33;0,00;0,00;0,00;0,22;0,00;0,00;105;64;121;26;37;617;659
64;62,21;-38,97;0,00;0,00;0,00;-0,04;0,00;0,00;283;94;12;47;22;399;608
65;61,85;-87,95;0,00;0,00;0,00;-0,09;0,00;0,00;78;162;178;30;17;400;553
66;61,84;-133,58;0,00;0,00;0,00;-0,13;0,00;0,00;369;150;24;41;35;408;499
67;71,83;3,57;0,00;0,00;0,00;0,00;0,00;0,00;443;30;182;24;22;649;932
68;14,72;-522,15;0,00;0,00;0,00;-0,52;0,00;0,00;226;145;24;34;35;606;628
69;6,27;-574,14;0,00;0,00;0,00;-0,57;0,00;0,00;221;13;113;11;32;216;111
70;69,63;-56,30;0,00;0,00;0,00;-0,06;0,00;0,00;173;189;107;29;26;569;552
71;51,44;-203,80;0,00;0,00;0,00;-0,20;0,00;0,00;170;157;48;38;18;143;358
72;55,61;-172,53;0,00;0,00;0,00;-0,17;0,00;0,00;243;50;159;44;28;668;128
73;55,37;-212,32;0,00;0,00;0,00;-0,21;0,00;0,00;287;127;48;17;24;820;322
74;50,03;-112,14;0,00;0,00;0,00;-0,11;0,00;0,00;292;85;65;30;18;841;544
75;49,27;-67,31;0,00;0,00;0,00;-0,07;0,00;0,00;69;40;40;37;29;147;572
76;47,06;-228,59;0,00;0,00;0,00;-0,23;0,00;0,00;27;97;186;18;35;150;518
77;56,42;-171,56;0,00;0,00;0,00;-0,17;0,00;0,00;322;21;63;18;22;862;782
78;56,68;-144,35;0,00;0,00;0,00;-0,14;0,00;0,00;326;66;43;11;24;303;953
79;14,48;-567,80;0,00;0,00;0,00;-0,57;0,00;0,00;468;60;133;33;32;466;519
80;44,33;-253,93;0,00;0,00;0,00;-0,25;0,00;0,00;181;167;96;27;25;235;149
81;51,33;-134,37;0,00;0,00;0,00;-0,13;0,00;0,00;472;51;112;36;21;208;593
82;39,37;-270,35;0,00;0,00;0,00;-0,27;0,00;0,00;31;190;117;12;18;627;569
83;84,84;114,17;0,00;0,00;0,00;0,11;0,00;0,00;251;80;40;25;30;780;210
84;44,07;-242,88;0,00;0,00;0,00;-0,24;0,00;0,00;70;111;162;23;32;550;758
85;35,72;-301,17;0,00;0,00;0,00;-0,30;0,00;0,00;187;125;185;48;35;637;880
86;8,21;-695,62;0,00;0,00;0,00;-0,70;0,00;0,00;384;159;48;44;19;472;505
87;23,32;-514,11;0,00;0,00;0,00;-0,51;0,00;0,00;251;134;79;13;25;243;636
88;62,22;-103,27;0,00;0,00;0,00;-0,10;0,00;0,00;435;175;187;26;28;359;674
89;44,79;-220,31;0,00;0,00;0,00;-0,22;0,00;0,00;489;165;54;38;29;526;531
90;55,10;-153,71;0,00;0,00;0,00;-0,15;0,00;0,00;295;34;44;46;25;939;886
91;45,74;-220,15;0,00;0,00;0,00;-0,22;0,00;0,00;258;186;41;34;27;942;711
92;45,04;-202,22;0,00;0,00;0,00;-0,20;0,00;0,00;418;192;25;17;20;774;390
93;38,26;-327,52;0,00;0,00;0,00;-0,33;0,00;0,00;40;81;67;15;33;783;621
94;62,33;-42,59;0,00;0,00;0,00;-0,04;0,00;0,00;41;180;62;49;33;688;411
95;55,28;-240,40;0,00;0,00;0,00;-0,24;0,00;0,00;345;116;53;17;22;904;558
96;37,15;-361,87;0,00;0,00;0,00;-0,36;0,00;0,00;144;35;130;34;19;383;585
97;6,35;-660,95;0,00;0,00;0,00;-0,66;0,00;0,00;274;73;74;34;39;353;755
98;68,45;-49,00;0,00;0,00;0,00;-0,05;0,00;0,00;275;50;117;35;29;246;875
99;48,55;-157,03;0,00;0,00;0,00;-0,16;0,00;0,00;370;98;198;17;19;408;560
100;41,15;-349,34;0,00;0,00;0,00;-0,35;0,00;0,00;281;188;106;38;36;601;731
101;58,51;-85,18;0,00;0,00;0,00;-0,09;0,00;0,00;167;17;112;39;27;244;666
102;67,67;12,91;0,00;0,00;0,00;0,01;0,00;0,00;49;185;145;43;23;581;204
103;52,22;-239,02;0,00;0,00;0,00;-0,24;0,00;0,00;288;54;109;22;37;271;507
104;43,81;-235,16;0,00;0,00;0,00;-0,24;0,00;0,00;339;98;119;11;37;386;796
