Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;46,13;-256,26;0,00;0,00;0,00;-0,26;0,00;0,00;137;37;181;24;16;525;131
2;91,34;203,99;0,00;0,00;0,00;0,20;0,00;0,00;188;159;111;20;39;645;272
3;0,00;-747,05;0,00;0,00;0,00;-0,75;0,00;0,00;109;162;185;13;24;818;483
4;38,66;-346,34;0,00;0,00;0,00;-0,35;0,00;0,00;227;145;113;48;34;622;693
5;51,66;-219,13;0,00;0,00;0,00;-0,22;0,00;0,00;84;163;62;40;28;417;198
6;57,35;-133,02;0,00;0,00;0,00;-0,13;0,00;0,00;16;181;130;32;17;879;183
7;88,01;219,09;0,00;0,00;0,00;0,22;0,00;0,00;262;42;135;13;34;797;138
8;57,62;-80,19;0,00;0,00;0,00;-0,08;0,00;0,00;142;28;133;46;30;332;408
9;72,24;-1,46;0,00;0,00;0,00;-0,00;0,00;0,00;202;46;151;31;17;685;424
10;0,00;-672,51;0,00;0,00;0,00;-0,67;0,00;0,00;119;134;107;12;22;854;332
11;34,14;-391,38;0,00;0,00;0,00;-0,39;0,00;0,00;376;28;89;33;39;423;165
12;24,18;-451,58;0,00;0,00;0,00;-0,45;0,00;0,00;175;151;13;15;35;124;871
13;37,63;-380,09;0,00;0,00;0,00;-0,38;0,00;0,00;472;85;136;39;20;821;397
14;22,79;-428,57;0,00;0,00;0,00;-0,43;0,00;0,00;278;89;157;26;24;384;380
15;24,11;-583,60;0,00;0,00;0,00;-0,58;0,00;0,00;12;13;190;48;15;385;548
16;42,52;-271,30;0,00;0,00;0,00;-0,27;0,00;0,00;380;113;156;48;31;796;179
17;59,39;-81,84;0,00;0,00;0,00;-0,08;0,00;0,00;385;103;95;35;27;895;794
18;25,77;-502,24;0,00;0,00;0,00;-0,50;0,00;0,00;402;150;128;29;20;701;788
19;67,61;-4,40;0,00;0,00;0,00;-0,00;0,00;0,00;497;58;73;47;31;518;225
20;69,28;-64,44;0,00;0,00;0,00;-0,06;0,00;0,00;16;121;61;29;16;750;171
21;35,32;-308,36;0,00;0,00;0,00;-0,31;0,00;0,00;218;153;67;17;18;324;153
22;49,58;-195,63;0,00;0,00;0,00;-0,20;0,00;0,00;330;186;146;30;21;507;893
23;93,39;236,46;0,00;0,00;0,00;0,24;0,00;0,00;48;100;151;39;23;163;787
24;47,98;-201,18;0,00;0,00;0,00;-0,20;0,00;0,00;182;96;36;44;23;764;474
25;44,61;-228,71;0,00;0,00;0,00;-0,23;0,00;0,00;53;34;103;23;36;639;826
26;54,72;-159,14;0,00;0,00;0,00;-0,16;0,00;0,00;225;134;14;25;34;549;328
27;83,96;134,79;0,00;0,00;0,00;0,13;0,00;0,00;127;30;142;37;26;513;541
28;74,09;53,85;0,00;0,00;0,00;0,05;0,00;0,00;461;98;65;13;29;166;425
29;56,81;-11,50;0,00;0,00;0,00;-0,01;0,00;0,00;276;63;194;26;29;554;716
30;85,73;195,49;0,00;0,00;0,00;0,20;0,00;0,00;375;57;167;47;29;269;648
31;42,02;-199,67;0,00;0,00;0,00;-0,20;0,00;0,00;323;40;79;39;27;633;109
32;90,64;225,45;0,00;0,00;0,00;0,23;0,00;0,00;49;197;26;18;21;235;974
33;54,57;-101,69;0,00;0,00;0,00;-0,10;0,00;0,00;62;135;143;17;34;868;582
34;61,16;-243,89;0,00;0,00;0,00;-0,24;0,00;0,00;472;70;39;43;39;347;851
35;28,69;-303,35;0,00;0,00;0,00;-0,30;0,00;0,00;305;95;45;15;17;737;418
36;8,49;-642,42;0,00;0,00;0,00;-0,64;0,00;0,00;115;80;116;22;23;817;422
37;64,39;-26,35;0,00;0,00;0,00;-0,03;0,00;0,00;346;117;173;23;37;718;703
38;69,28;1,08;0,00;0,00;0,00;0,00;0,00;0,00;443;129;108;15;16;411;662
39;95,83;236,80;0,00;0,00;0,00;0,24;0,00;0,00;397;182;108;30;31;429;198
40;28,55;-428,59;0,00;0,00;0,00;-0,43;0,00;0,00;277;81;154;21;21;781;998
41;58,68;-85,94;0,00;0,00;0,00;-0,09;0,00;0,00;294;57;18;17;37;632;515
42;31,00;-336,26;0,00;0,00;0,00;-0,34;0,00;0,00;393;119;36;26;34;798;594
43;43,96;-289,98;0,00;0,00;0,00;-0,29;0,00;0,00;342;25;53;33;30;697;637
44;25,69;-618,29;0,00;0,00;0,00;-0,62;0,00;0,00;352;179;155;24;38;813;396
45;44,44;-255,70;0,00;0,00;0,00;-0,26;0,00;0,00;91;150;164;13;24;730;805
46;74,50;23,27;0,00;0,00;0,00;0,02;0,00;0,00;117;139;138;25;21;739;420
47;73,27;44,24;0,00;0,00;0,00;0,04;0,00;0,00;347;87;150;43;19;230;144
48;20,51;-538,13;0,00;0,00;0,00;-0,54;0,00;0,00;87;77;104;45;21;828;592
49;0,00;-726,98;0,00;0,00;0,00;-0,73;0,00;0,00;450;180;25;16;19;915;958
50;26,83;-498,56;0,00;0,00;0,00;-0,50;0,00;0,00;85;100;73;49;27;931;925
51;22,03;-514,82;0,00;0,00;0,00;-0,51;0,00;0,00;100;120;196;32;34;550;147
52;1,87;-617,21;0,00;0,00;0,00;-0,62;0,00;0,00;354;35;150;39;19;702;770
53;69,40;48,68;0,00;0,00;0,00;0,05;0,00;0,00;156;119;15;15;21;325;711
54;47,98;-220,95;0,00;0,00;0,00;-0,22;0,00;0,00;24;157;97;15;34;959;459
55;51,97;-198,91;0,00;0,00;0,00;-0,20;0,00;0,00;226;171;170;36;35;665;550
56;71,64;-5,44;0,00;0,00;0,00;-0,01;0,00;0,00;435;151;105;26;26;361;215
57;100,00;293,24;0,00;0,00;0,00;0,29;0,00;0,00;68;18;56;17;27;932;854
58;29,59;-396,98;0,00;0,00;0,00;-0,40;0,00;0,00;180;63;51;18;19;464;291
59;23,84;-429,79;0,00;0,00;0,00;-0,43;0,00;0,00;272;87;119;30;30;174;136
60;65,82;-70,07;0,00;0,00;0,00;-0,07;0,00;0,00;171;105;19;43;19;355;605
61;15,90;-485,76;0,00;0,00;0,00;-0,49;0,00;0,00;132;167;147;48;30;152;159
62;62,17;-114,73;0,00;0,00;0,00;-0,11;0,00;0,00;63;188;87;33;15;541;112
63;64,23;-2,94;0,00;0,00;0,00;-0,00;0,00;0,00;125;84;150;33;21;588;834
64;77,97;158,17;0,00;0,00;0,00;0,16;0,00;0,00;434;171;198;29;18;843;924
65;0,00;-700,77;0,00;0,00;0,00;-0,70;0,00;0,00;60;38;166;37;31;294;488
66;0,00;-753,53;0,00;0,00;0,00;-0,75;0,00;0,00;447;179;144;27;17;901;444
67;47,44;-298,38;0,00;0,00;0,00;-0,30;0,00;0,00;97;188;166;13;32;993;881
68;5,02;-644,76;0,00;0,00;0,00;-0,64;0,00;0,00;96;32;191;43;39;182;924
69;71,44;-78,57;0,00;0,00;0,00;-0,08;0,00;0,00;251;144;164;20;30;638;142
70;43,98;-278,03;0,00;0,00;0,00;-0,28;0,00;0,00;19;137;127;45;30;807;377
71;29,11;-398,02;0,00;0,00;0,00;-0,40;0,00;0,00;480;118;160;44;15;658;945
72;65,97;-119,75;0,00;0,00;0,00;-0,12;0,00;0,00;406;181;78;46;25;681;751
73;25,32;-494,24;0,00;0,00;0,00;-0,49;0,00;0,00;217;18;19;47;25;435;741
74;86,71;124,79;0,00;0,00;0,00;0,12;0,00;0,00;469;92;144;11;25;491;672
75;34,32;-371,13;0,00;0,00;0,00;-0,37;0,00;0,00;381;18;196;40;19;580;304
76;74,44;80,10;0,00;0,00;0,00;0,08;0,00;0,00;166;143;130;10;36;602;491
77;17,93;-529,24;0,00;0,00;0,00;-0,53;0,00;0,00;393;165;141;21;17;607;732
78;43,29;-277,61;0,00;0,00;0,00;-0,28;0,00;0,00;463;194;172;48;22;803;503
79;80,94;84,58;0,00;0,00;0,00;0,08;0,00;0,00;142;195;30;34;20;857;604
80;53,06;-166,09;0,00;0,00;0,00;-0,17;0,00;0,00;398;69;135;45;30;459;798
81;28,08;-407,55;0,00;0,00;0,00;-0,41;0,00;0,00;438;120;92;38;31;834;922
82;33,56;-390,68;0,00;0,00;0,00;-0,39;0,00;0,00;17;158;124;41;23;862;739
83;43,16;-239,42;0,00;0,00;0,00;-0,24;0,00;0,00;161;174;26;15;28;786;617
84;51,74;-197,86;0,00;0,00;0,00;-0,20;0,00;0,00;265;82;135;35;35;291;467
85;73,51;-61,58;0,00;0,00;0,00;-0,06;0,00;0,00;80;92;44;43;38;797;181
86;13,80;-579,73;0,00;0,00;0,00;-0,58;0,00;0,00;343;170;196;13;34;121;746
87;92,91;237,81;0,00;0,00;0,00;0,24;0,00;0,00;297;63;22;16;37;477;472
88;54,58;-137,73;0,00;0,00;0,00;-0,14;0,00;0,00;237;80;187;13;38;189;798
89;79,52;1,52;0,00;0,00;0,00;0,00;0,00;0,00;470;97;87;24;28;535;541
90;58,78;-66,84;0,00;0,00;0,00;-0,07;0,00;0,00;200;21;168;47;36;453;923
91;50,10;-173,65;0,00;0,00;0,00;-0,17;0,00;0,00;309;95;110;46;32;989;390
92;51,67;-121,93;0,00;0,00;0,00;-0,12;0,00;0,00;68;199;86;12;26;112;297
93;58,04;-152,34;0,00;0,00;0,00;-0,15;0,00;0,00;226;182;10;28;30;710;965
94;16,80;-525,38;0,00;0,00;0,00;-0,53;0,00;0,00;361;143;186;29;28;734;253
95;38,03;-328,31;0,00;0,00;0,00;-0,33;0,00;0,00;72;163;140;42;34;403;627
96;51,70;-253,20;0,00;0,00;0,00;-0,25;0,00;0,00;318;136;179;35;23;865;553
97;71,97;36,22;0,00;0,00;0,00;0,04;0,00;0,00;475;74;197;39;19;729;633
98;42,50;-226,14;0,00;0,00;0,00;-0,23;0,00;0,00;329;136;134;45;33;480;176
99;23,21;-425,88;0,00;0,00;0,00;-0,43;0,00;0,00;323;85;53;22;33;154;655
100;55,95;-204,63;0,00;0,00;0,00;-0,20;0,00;0,00;405;133;168;43;37;760;198
101;39,80;-270,26;0,00;0,00;0,00;-0,27;0,00;0,00;95;83;140;10;20;951;747
102;62,16;-7,57;0,00;0,00;0,00;-0,01;0,00;0,00;311;167;97;24;39;516;247
103;66,75;53,84;0,00;0,00;0,00;0,05;0,00;0,00;43;181;133;33;35;759;407
104;62,21;59,80;0,00;0,00;0,00;0,06;0,00;0,00;255;20;156;20;19;736;125
105;26,46;-448,89;0,00;0,00;0,00;-0,45;0,00;0,00;434;156;107;26;37;252;158
106;31,45;-348,43;0,00;0,00;0,00;-0,35;0,00;0,00;337;111;10;32;18;202;633
107;58,56;-76,11;0,00;0,00;0,00;-0,08;0,00;0,00;120;114;161;43;37;271;330
108;32,91;-336,27;0,00;0,00;0,00;-0,34;0,00;0,00;13;36;128;28;15;758;376
109;73,92;10,34;0,00;0,00;0,00;0,01;0,00;0,00;62;173;148;19;18;803;733
110;39,33;-248,82;0,00;0,00;0,00;-0,25;0,00;0,00;357;103;193;36;37;271;996
111;94,17;229,65;0,00;0,00;0,00;0,23;0,00;0,00;375;177;23;16;29;377;565
112;55,41;-118,04;0,00;0,00;0,00;-0,12;0,00;0,00;260;145;41;15;37;978;737
113;63,54;-60,86;0,00;0,00;0,00;-0,06;0,00;0,00;102;188;144;38;28;230;119
114;25,79;-386,01;0,00;0,00;0,00;-0,39;0,00;0,00;354;54;131;40;24;922;562
115;76,93;50,14;0,00;0,00;0,00;0,05;0,00;0,00;110;187;103;35;15;913;336
116;71,37;50,16;0,00;0,00;0,00;0,05;0,00;0,00;374;179;110;37;34;206;411
117;37,08;-301,92;0,00;0,00;0,00;-0,30;0,00;0,00;230;77;19;49;23;996;207
118;22,74;-435,47;0,00;0,00;0,00;-0,44;0,00;0,00;104;19;41;25;37;499;385
119;29,36;-445,38;0,00;0,00;0,00;-0,45;0,00;0,00;230;111;57;15;15;503;198
120;62,79;-93,81;0,00;0,00;0,00;-0,09;0,00;0,00;331;156;194;21;38;896;204
121;31,52;-325,76;0,00;0,00;0,00;-0,33;0,00;0,00;289;16;73;42;25;958;584
122;85,08;117,30;0,00;0,00;0,00;0,12;0,00;0,00;391;19;108;13;22;244;470
123;77,64;87,38;0,00;0,00;0,00;0,09;0,00;0,00;201;21;77;31;37;628;392
124;43,93;-202,24;0,00;0,00;0,00;-0,20;0,00;0,00;224;183;154;14;37;672;494
125;54,23;-170,62;0,00;0,00;0,00;-0,17;0,00;0,00;357;30;50;12;33;324;667
126;69,29;78,38;0,00;0,00;0,00;0,08;0,00;0,00;376;20;115;43;23;792;318
127;63,35;-130,62;0,00;0,00;0,00;-0,13;0,00;0,00;224;199;110;27;27;844;690
128;40,30;-371,56;0,00;0,00;0,00;-0,37;0,00;0,00;378;187;106;49;33;306;809
129;86,31;272,51;0,00;0,00;0,00;0,27;0,00;0,00;90;187;113;18;25;312;194
130;75,89;11,20;0,00;0,00;0,00;0,01;0,00;0,00;97;76;125;41;25;829;408
131;42,33;-257,81;0,00;0,00;0,00;-0,26;0,00;0,00;479;95;42;17;39;608;520
132;28,92;-453,73;0,00;0,00;0,00;-0,45;0,00;0,00;29;153;151;20;17;131;586
133;27,94;-419,86;0,00;0,00;0,00;-0,42;0,00;0,00;356;131;167;37;24;488;147
134;50,41;-150,98;0,00;0,00;0,00;-0,15;0,00;0,00;402;105;147;13;20;876;957
135;49,10;-146,59;0,00;0,00;0,00;-0,15;0,00;0,00;243;176;83;27;32;989;622
136;22,49;-463,42;0,00;0,00;0,00;-0,46;0,00;0,00;40;101;125;34;18;841;429
137;65,00;-55,65;0,00;0,00;0,00;-0,06;0,00;0,00;58;114;101;43;26;708;941
138;76,05;124,37;0,00;0,00;0,00;0,12;0,00;0,00;402;190;98;48;21;617;126
139;39,10;-325,31;0,00;0,00;0,00;-0,33;0,00;0,00;235;153;187;48;36;452;829
