Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;14,61;-486,78;0,00;0,00;0,00;-0,49;0,00;0,00;431;140;81;44;17;705;176
2;41,06;-298,27;0,00;0,00;0,00;-0,30;0,00;0,00;449;16;151;17;36;686;828
3;14,30;-590,65;0,00;0,00;0,00;-0,59;0,00;0,00;22;180;51;29;18;720;386
4;92,00;150,17;0,00;0,00;0,00;0,15;0,00;0,00;292;131;38;46;16;367;374
5;42,37;-254,60;0,00;0,00;0,00;-0,25;0,00;0,00;370;73;30;17;22;506;767
6;25,43;-403,63;0,00;0,00;0,00;-0,40;0,00;0,00;236;51;174;28;16;169;468
7;18,06;-482,31;0,00;0,00;0,00;-0,48;0,00;0,00;280;178;179;40;35;318;875
8;12,00;-677,28;0,00;0,00;0,00;-0,68;0,00;0,00;426;55;150;45;33;669;928
9;33,45;-402,98;0,00;0,00;0,00;-0,40;0,00;0,00;73;102;44;45;31;564;407
10;88,96;228,22;0,00;0,00;0,00;0,23;0,00;0,00;448;192;83;49;33;948;183
11;73,32;88,04;0,00;0,00;0,00;0,09;0,00;0,00;178;157;72;30;30;889;394
12;13,19;-556,06;0,00;0,00;0,00;-0,56;0,00;0,00;97;159;120;35;36;597;985
13;25,41;-510,19;0,00;0,00;0,00;-0,51;0,00;0,00;343;63;61;24;24;775;998
14;77,99;50,85;0,00;0,00;0,00;0,05;0,00;0,00;350;170;194;29;30;890;525
15;34,65;-290,68;0,00;0,00;0,00;-0,29;0,00;0,00;369;182;160;12;25;960;541
16;26,95;-469,18;0,00;0,00;0,00;-0,47;0,00;0,00;25;168;161;41;36;606;633
17;21,42;-583,54;0,00;0,00;0,00;-0,58;0,00;0,00;38;74;172;26;18;561;522
18;82,61;39,00;0,00;0,00;0,00;0,04;0,00;0,00;121;176;43;45;15;982;614
19;48,25;-247,24;0,00;0,00;0,00;-0,25;0,00;0,00;399;90;167;30;26;995;705
20;38,99;-306,22;0,00;0,00;0,00;-0,31;0,00;0,00;292;127;60;49;36;202;227
21;90,46;191,38;0,00;0,00;0,00;0,19;0,00;0,00;259;126;179;26;20;652;249
22;56,66;-155,09;0,00;0,00;0,00;-0,16;0,00;0,00;291;120;55;46;28;294;574
23;23,02;-524,37;0,00;0,00;0,00;-0,52;0,00;0,00;280;139;185;30;27;249;144
24;45,80;-240,51;0,00;0,00;0,00;-0,24;0,00;0,00;167;144;143;37;36;818;451
25;97,66;349,30;0,00;0,00;0,00;0,35;0,00;0,00;289;57;83;28;35;142;189
26;69,50;-11,33;0,00;0,00;0,00;-0,01;0,00;0,00;111;61;185;21;16;627;705
27;25,74;-333,53;0,00;0,00;0,00;-0,33;0,00;0,00;289;66;176;12;17;225;358
28;30,43;-336,20;0,00;0,00;0,00;-0,34;0,00;0,00;420;179;173;47;19;455;489
29;85,83;247,21;0,00;0,00;0,00;0,25;0,00;0,00;253;131;16;42;28;156;641
30;78,03;86,20;0,00;0,00;0,00;0,09;0,00;0,00;463;170;79;47;32;364;998
31;36,16;-399,62;0,00;0,00;0,00;-0,40;0,00;0,00;315;140;180;33;24;388;626
32;63,64;-2,74;0,00;0,00;0,00;-0,00;0,00;0,00;83;174;72;44;37;949;222
33;56,17;-84,01;0,00;0,00;0,00;-0,08;0,00;0,00;462;112;142;36;18;467;748
34;95,49;176,07;0,00;0,00;0,00;0,18;0,00;0,00;282;146;148;49;23;739;339
35;14,49;-530,60;0,00;0,00;0,00;-0,53;0,00;0,00;247;171;52;28;27;980;233
36;54,37;-169,38;0,00;0,00;0,00;-0,17;0,00;0,00;11;148;184;15;23;109;334
37;97,88;257,29;0,00;0,00;0,00;0,26;0,00;0,00;169;152;175;38;19;218;529
38;76,05;11,61;0,00;0,00;0,00;0,01;0,00;0,00;169;88;187;13;15;759;141
39;60,52;-127,50;0,00;0,00;0,00;-0,13;0,00;0,00;37;189;146;45;31;367;574
40;57,92;-129,33;0,00;0,00;0,00;-0,13;0,00;0,00;223;44;109;16;37;960;597
41;82,33;54,58;0,00;0,00;0,00;0,05;0,00;0,00;83;66;71;47;31;318;831
42;2,26;-741,53;0,00;0,00;0,00;-0,74;0,00;0,00;20;115;88;33;29;217;588
43;43,85;-280,79;0,00;0,00;0,00;-0,28;0,00;0,00;332;91;90;30;33;384;548
44;23,04;-404,76;0,00;0,00;0,00;-0,40;0,00;0,00;377;155;174;42;38;651;674
45;56,03;-92,90;0,00;0,00;0,00;-0,09;0,00;0,00;436;148;121;16;21;638;478
46;61,12;-117,23;0,00;0,00;0,00;-0,12;0,00;0,00;108;143;48;41;21;529;359
47;87,55;170,87;0,00;0,00;0,00;0,17;0,00;0,00;300;83;34;44;27;952;622
48;62,60;10,73;0,00;0,00;0,00;0,01;0,00;0,00;395;79;43;21;27;113;306
49;18,63;-541,39;0,00;0,00;0,00;-0,54;0,00;0,00;127;75;116;13;39;799;411
50;48,76;-211,93;0,00;0,00;0,00;-0,21;0,00;0,00;47;104;62;33;21;693;195
51;75,82;74,12;0,00;0,00;0,00;0,07;0,00;0,00;381;196;38;24;37;583;727
52;60,95;-108,62;0,00;0,00;0,00;-0,11;0,00;0,00;29;19;28;48;35;557;461
53;56,01;-153,33;0,00;0,00;0,00;-0,15;0,00;0,00;307;69;119;22;33;133;189
54;46,27;-242,48;0,00;0,00;0,00;-0,24;0,00;0,00;427;87;136;12;33;357;559
55;60,99;-3,57;0,00;0,00;0,00;-0,00;0,00;0,00;451;34;119;38;38;101;231
56;0,00;-741,40;0,00;0,00;0,00;-0,74;0,00;0,00;169;128;143;34;31;684;975
57;70,85;-17,99;0,00;0,00;0,00;-0,02;0,00;0,00;219;129;166;41;33;868;601
58;76,78;36,33;0,00;0,00;0,00;0,04;0,00;0,00;169;108;62;18;20;434;796
59;39,65;-263,93;0,00;0,00;0,00;-0,26;0,00;0,00;224;68;170;20;26;893;428
60;28,55;-467,04;0,00;0,00;0,00;-0,47;0,00;0,00;167;17;162;20;30;324;495
61;22,10;-537,83;0,00;0,00;0,00;-0,54;0,00;0,00;445;183;30;31;15;867;233
62;33,72;-271,73;0,00;0,00;0,00;-0,27;0,00;0,00;396;164;120;27;37;826;798
63;47,54;-281,42;0,00;0,00;0,00;-0,28;0,00;0,00;397;64;121;26;37;617;659
64;68,30;-51,95;0,00;0,00;0,00;-0,05;0,00;0,00;292;94;12;47;22;399;608
65;59,53;-86,37;0,00;0,00;0,00;-0,09;0,00;0,00;498;162;178;30;17;400;553
66;29,67;-441,49;0,00;0,00;0,00;-0,44;0,00;0,00;346;150;24;41;35;408;499
67;48,71;-147,91;0,00;0,00;0,00;-0,15;0,00;0,00;479;30;182;24;22;649;932
68;82,48;103,19;0,00;0,00;0,00;0,10;0,00;0,00;37;145;24;34;35;606;628
69;48,55;-274,75;0,00;0,00;0,00;-0,27;0,00;0,00;23;13;113;11;32;216;111
70;68,06;-0,96;0,00;0,00;0,00;-0,00;0,00;0,00;26;189;107;29;26;569;552
71;71,99;-39,07;0,00;0,00;0,00;-0,04;0,00;0,00;11;157;48;38;18;143;358
72;80,09;57,92;0,00;0,00;0,00;0,06;0,00;0,00;472;50;159;44;28;668;128
73;84,05;178,37;0,00;0,00;0,00;0,18;0,00;0,00;252;127;48;17;24;820;322
74;32,50;-364,49;0,00;0,00;0,00;-0,36;0,00;0,00;64;85;65;30;18;841;544
75;12,16;-606,09;0,00;0,00;0,00;-0,61;0,00;0,00;44;40;40;37;29;147;572
76;50,18;-247,52;0,00;0,00;0,00;-0,25;0,00;0,00;280;97;186;18;35;150;518
77;66,36;-56,71;0,00;0,00;0,00;-0,06;0,00;0,00;379;21;63;18;22;862;782
78;40,47;-303,69;0,00;0,00;0,00;-0,30;0,00;0,00;106;66;43;11;24;303;953
79;81,12;83,93;0,00;0,00;0,00;0,08;0,00;0,00;141;60;133;33;32;466;519
80;55,07;-148,28;0,00;0,00;0,00;-0,15;0,00;0,00;147;167;96;27;25;235;149
81;61,23;-78,25;0,00;0,00;0,00;-0,08;0,00;0,00;423;51;112;36;21;208;593
82;37,20;-258,08;0,00;0,00;0,00;-0,26;0,00;0,00;361;190;117;12;18;627;569
83;63,96;-5,77;0,00;0,00;0,00;-0,01;0,00;0,00;299;80;40;25;30;780;210
84;48,71;-240,39;0,00;0,00;0,00;-0,24;0,00;0,00;57;111;162;23;32;550;758
85;50,86;-180,17;0,00;0,00;0,00;-0,18;0,00;0,00;413;125;185;48;35;637;880
86;48,27;-202,38;0,00;0,00;0,00;-0,20;0,00;0,00;362;159;48;44;19;472;505
87;42,26;-250,86;0,00;0,00;0,00;-0,25;0,00;0,00;464;134;79;13;25;243;636
88;53,77;-118,76;0,00;0,00;0,00;-0,12;0,00;0,00;197;175;187;26;28;359;674
89;75,66;65,96;0,00;0,00;0,00;0,07;0,00;0,00;266;165;54;38;29;526;531
