Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;InpMA1Period;InpMA2Period;InpADXPeriod;InpADXThreshold;InpTPPoints;InpSLPoints
1;34,85;-164,92;0,00;0,00;0,00;-0,16;0,00;0,00;435;150;98;38;19;872;349
2;63,71;205,02;0,00;0,00;0,00;0,21;0,00;0,00;140;54;118;42;29;904;851
3;54,89;23,90;0,00;0,00;0,00;0,02;0,00;0,00;127;193;135;38;35;556;207
4;62,77;176,03;0,00;0,00;0,00;0,18;0,00;0,00;411;130;155;25;17;304;999
5;54,69;100,63;0,00;0,00;0,00;0,10;0,00;0,00;428;187;108;41;33;493;622
6;53,74;15,66;0,00;0,00;0,00;0,02;0,00;0,00;469;102;71;49;37;136;976
7;50,86;15,99;0,00;0,00;0,00;0,02;0,00;0,00;435;124;19;16;33;683;797
8;55,49;80,41;0,00;0,00;0,00;0,08;0,00;0,00;254;87;69;19;39;862;898
9;23,36;-268,42;0,00;0,00;0,00;-0,27;0,00;0,00;308;68;116;33;25;762;340
10;47,40;9,40;0,00;0,00;0,00;0,01;0,00;0,00;294;162;75;49;23;792;965
11;60,51;87,64;0,00;0,00;0,00;0,09;0,00;0,00;28;147;16;39;17;990;977
12;54,34;34,26;0,00;0,00;0,00;0,03;0,00;0,00;38;163;12;32;20;981;795
13;50,18;54,00;0,00;0,00;0,00;0,05;0,00;0,00;33;155;83;41;34;989;624
14;18,40;-397,26;0,00;0,00;0,00;-0,40;0,00;0,00;339;106;68;38;32;895;407
15;47,48;-32,16;0,00;0,00;0,00;-0,03;0,00;0,00;82;60;66;13;17;714;950
16;37,47;-134,77;0,00;0,00;0,00;-0,13;0,00;0,00;246;54;194;17;33;918;987
17;19,55;-302,92;0,00;0,00;0,00;-0,30;0,00;0,00;136;163;189;39;24;224;123
18;77,15;267,03;0,00;0,00;0,00;0,27;0,00;0,00;98;185;191;43;35;479;850
19;31,83;-217,68;0,00;0,00;0,00;-0,22;0,00;0,00;172;98;136;42;22;363;920
20;48,30;42,39;0,00;0,00;0,00;0,04;0,00;0,00;433;180;107;18;28;396;447
21;76,39;298,70;0,00;0,00;0,00;0,30;0,00;0,00;322;126;129;21;29;516;637
22;40,76;-197,35;0,00;0,00;0,00;-0,20;0,00;0,00;237;144;143;20;37;697;951
23;46,11;45,88;0,00;0,00;0,00;0,05;0,00;0,00;456;92;92;20;18;928;737
24;57,46;43,92;0,00;0,00;0,00;0,04;0,00;0,00;64;104;134;16;16;852;290
25;50,56;-100,86;0,00;0,00;0,00;-0,10;0,00;0,00;317;92;50;10;16;165;272
26;44,18;-95,69;0,00;0,00;0,00;-0,10;0,00;0,00;172;184;129;33;26;453;452
27;41,93;-91,36;0,00;0,00;0,00;-0,09;0,00;0,00;119;115;191;33;18;986;307
28;49,42;-19,44;0,00;0,00;0,00;-0,02;0,00;0,00;277;13;154;11;23;747;162
29;52,32;-37,06;0,00;0,00;0,00;-0,04;0,00;0,00;402;87;172;33;20;582;343
30;38,64;-65,04;0,00;0,00;0,00;-0,07;0,00;0,00;243;72;193;41;23;350;790
31;54,36;58,22;0,00;0,00;0,00;0,06;0,00;0,00;97;78;143;33;15;199;988
32;37,51;-159,71;0,00;0,00;0,00;-0,16;0,00;0,00;198;147;45;42;34;781;432
33;34,59;-78,44;0,00;0,00;0,00;-0,08;0,00;0,00;205;52;77;31;37;222;215
34;44,38;27,23;0,00;0,00;0,00;0,03;0,00;0,00;375;112;198;13;24;547;233
35;41,39;-82,37;0,00;0,00;0,00;-0,08;0,00;0,00;421;165;184;14;32;307;808
36;54,75;67,33;0,00;0,00;0,00;0,07;0,00;0,00;301;71;115;30;17;384;888
37;43,85;-81,80;0,00;0,00;0,00;-0,08;0,00;0,00;123;180;129;38;34;661;192
38;56,29;119,79;0,00;0,00;0,00;0,12;0,00;0,00;61;154;119;21;23;995;955
39;100,00;449,06;0,00;0,00;0,00;0,45;0,00;0,00;162;146;46;45;20;260;861
40;57,78;106,54;0,00;0,00;0,00;0,11;0,00;0,00;225;27;199;48;34;789;634
41;41,97;6,17;0,00;0,00;0,00;0,01;0,00;0,00;467;32;40;28;29;230;716
42;48,21;30,76;0,00;0,00;0,00;0,03;0,00;0,00;156;14;54;11;18;381;314
43;52,81;18,28;0,00;0,00;0,00;0,02;0,00;0,00;252;181;194;23;28;950;468
44;69,37;214,31;0,00;0,00;0,00;0,21;0,00;0,00;468;47;187;32;33;846;657
45;46,32;-73,60;0,00;0,00;0,00;-0,07;0,00;0,00;229;64;151;44;27;529;191
46;58,27;141,03;0,00;0,00;0,00;0,14;0,00;0,00;115;115;63;37;34;555;583
47;73,37;263,61;0,00;0,00;0,00;0,26;0,00;0,00;453;79;182;45;18;705;798
48;37,85;-93,61;0,00;0,00;0,00;-0,09;0,00;0,00;433;14;24;27;35;391;136
49;47,27;11,54;0,00;0,00;0,00;0,01;0,00;0,00;55;54;29;36;28;679;584
50;14,77;-440,54;0,00;0,00;0,00;-0,44;0,00;0,00;486;148;123;26;30;797;642
51;46,65;-36,84;0,00;0,00;0,00;-0,04;0,00;0,00;375;38;132;26;31;166;319
52;37,94;-122,52;0,00;0,00;0,00;-0,12;0,00;0,00;410;108;191;23;24;680;859
53;51,06;-19,81;0,00;0,00;0,00;-0,02;0,00;0,00;113;71;33;46;34;354;451
54;45,00;-2,18;0,00;0,00;0,00;-0,00;0,00;0,00;421;178;27;30;29;333;773
55;85,80;343,28;0,00;0,00;0,00;0,34;0,00;0,00;66;158;99;17;37;221;779
56;41,08;5,94;0,00;0,00;0,00;0,01;0,00;0,00;446;49;45;37;16;312;524
57;44,32;-59,50;0,00;0,00;0,00;-0,06;0,00;0,00;116;89;62;19;16;338;211
58;63,88;213,26;0,00;0,00;0,00;0,21;0,00;0,00;305;87;147;41;21;859;128
59;43,88;-68,22;0,00;0,00;0,00;-0,07;0,00;0,00;200;114;166;29;24;876;982
60;72,91;147,22;0,00;0,00;0,00;0,15;0,00;0,00;143;78;123;45;15;652;658
61;43,55;-16,81;0,00;0,00;0,00;-0,02;0,00;0,00;424;32;41;37;27;435;572
62;54,90;-54,07;0,00;0,00;0,00;-0,05;0,00;0,00;142;13;155;43;21;424;944
63;55,90;72,88;0,00;0,00;0,00;0,07;0,00;0,00;425;15;35;37;31;883;823
64;32,64;-177,34;0,00;0,00;0,00;-0,18;0,00;0,00;50;188;126;12;21;907;771
65;45,74;-33,52;0,00;0,00;0,00;-0,03;0,00;0,00;64;82;28;11;38;367;689
66;74,63;300,74;0,00;0,00;0,00;0,30;0,00;0,00;197;46;171;38;38;138;225
67;44,56;-68,37;0,00;0,00;0,00;-0,07;0,00;0,00;244;113;67;41;32;952;406
68;43,98;-61,91;0,00;0,00;0,00;-0,06;0,00;0,00;49;194;161;48;24;488;117
69;20,19;-304,16;0,00;0,00;0,00;-0,30;0,00;0,00;459;70;75;20;36;336;797
70;55,02;88,84;0,00;0,00;0,00;0,09;0,00;0,00;481;111;163;22;20;803;647
71;42,53;-49,14;0,00;0,00;0,00;-0,05;0,00;0,00;463;26;113;17;22;779;976
72;57,99;47,74;0,00;0,00;0,00;0,05;0,00;0,00;495;199;87;45;21;680;177
73;40,31;-107,63;0,00;0,00;0,00;-0,11;0,00;0,00;187;139;88;33;22;426;914
74;47,36;60,96;0,00;0,00;0,00;0,06;0,00;0,00;82;160;144;31;33;199;488
75;24,73;-252,32;0,00;0,00;0,00;-0,25;0,00;0,00;285;55;112;24;16;699;779
76;54,87;61,11;0,00;0,00;0,00;0,06;0,00;0,00;148;60;16;46;38;131;934
77;72,69;269,13;0,00;0,00;0,00;0,27;0,00;0,00;274;10;20;34;16;598;528
78;55,75;-1,38;0,00;0,00;0,00;-0,00;0,00;0,00;325;79;114;34;24;213;324
79;14,56;-324,09;0,00;0,00;0,00;-0,32;0,00;0,00;302;45;120;16;30;986;559
80;46,27;-25,79;0,00;0,00;0,00;-0,03;0,00;0,00;54;144;71;37;19;158;983
81;63,71;81,93;0,00;0,00;0,00;0,08;0,00;0,00;137;199;144;30;30;767;194
82;31,28;-118,99;0,00;0,00;0,00;-0,12;0,00;0,00;154;75;62;33;28;685;786
83;36,41;-90,73;0,00;0,00;0,00;-0,09;0,00;0,00;220;95;164;45;27;115;114
84;42,52;-79,59;0,00;0,00;0,00;-0,08;0,00;0,00;277;93;166;47;32;643;562
85;51,73;33,12;0,00;0,00;0,00;0,03;0,00;0,00;40;125;127;30;36;781;362
86;61,04;73,42;0,00;0,00;0,00;0,07;0,00;0,00;288;79;102;15;17;447;959
87;54,87;19,42;0,00;0,00;0,00;0,02;0,00;0,00;452;27;68;17;29;275;296
88;65,59;156,95;0,00;0,00;0,00;0,16;0,00;0,00;369;137;157;26;36;301;597
89;48,01;34,01;0,00;0,00;0,00;0,03;0,00;0,00;391;11;182;14;30;153;235
90;68,72;181,00;0,00;0,00;0,00;0,18;0,00;0,00;256;120;103;47;25;596;770
91;46,34;-59,81;0,00;0,00;0,00;-0,06;0,00;0,00;29;162;27;41;35;116;628
92;62,02;81,96;0,00;0,00;0,00;0,08;0,00;0,00;372;99;89;33;28;215;621
93;57,88;75,35;0,00;0,00;0,00;0,08;0,00;0,00;458;189;132;22;30;507;363
94;39,02;-148,95;0,00;0,00;0,00;-0,15;0,00;0,00;69;152;58;34;22;119;939
95;41,35;-102,50;0,00;0,00;0,00;-0,10;0,00;0,00;471;183;68;39;36;890;646
96;30,93;-116,79;0,00;0,00;0,00;-0,12;0,00;0,00;40;115;145;16;32;158;412
97;56,87;29,86;0,00;0,00;0,00;0,03;0,00;0,00;325;77;133;47;23;742;379
98;31,13;-134,74;0,00;0,00;0,00;-0,13;0,00;0,00;358;178;110;44;31;930;263
99;61,72;74,99;0,00;0,00;0,00;0,07;0,00;0,00;298;84;149;11;38;680;804
100;51,20;8,71;0,00;0,00;0,00;0,01;0,00;0,00;451;179;29;18;31;505;748
101;47,11;-55,42;0,00;0,00;0,00;-0,06;0,00;0,00;69;34;30;33;22;461;243
102;63,35;120,41;0,00;0,00;0,00;0,12;0,00;0,00;164;121;30;12;20;194;865
103;42,96;-60,48;0,00;0,00;0,00;-0,06;0,00;0,00;419;31;115;38;32;192;792
104;61,91;81,97;0,00;0,00;0,00;0,08;0,00;0,00;318;188;147;32;16;219;269
105;53,67;43,54;0,00;0,00;0,00;0,04;0,00;0,00;154;192;160;16;31;219;850
106;52,65;30,98;0,00;0,00;0,00;0,03;0,00;0,00;161;50;178;23;22;781;484
107;46,14;-13,42;0,00;0,00;0,00;-0,01;0,00;0,00;442;88;177;37;18;764;542
108;55,23;13,96;0,00;0,00;0,00;0,01;0,00;0,00;483;139;62;12;22;544;609
109;66,65;92,08;0,00;0,00;0,00;0,09;0,00;0,00;233;76;164;16;24;508;793
110;61,02;136,50;0,00;0,00;0,00;0,14;0,00;0,00;28;57;113;41;19;297;479
111;31,77;-156,08;0,00;0,00;0,00;-0,16;0,00;0,00;412;73;65;44;32;882;909
112;31,95;-130,24;0,00;0,00;0,00;-0,13;0,00;0,00;421;169;36;48;36;383;821
113;79,71;374,46;0,00;0,00;0,00;0,37;0,00;0,00;387;142;119;18;23;803;245
114;57,70;12,56;0,00;0,00;0,00;0,01;0,00;0,00;495;194;127;35;20;685;982
115;50,03;-42,14;0,00;0,00;0,00;-0,04;0,00;0,00;247;16;91;11;29;916;945
116;23,17;-304,74;0,00;0,00;0,00;-0,30;0,00;0,00;63;134;48;18;36;902;761
117;44,37;-124,41;0,00;0,00;0,00;-0,12;0,00;0,00;332;84;100;30;23;455;176
118;39,83;-73,84;0,00;0,00;0,00;-0,07;0,00;0,00;223;49;28;39;32;248;531
119;76,38;308,51;0,00;0,00;0,00;0,31;0,00;0,00;478;178;108;48;16;265;704
120;22,11;-248,29;0,00;0,00;0,00;-0,25;0,00;0,00;375;160;75;36;29;292;186
121;82,72;345,72;0,00;0,00;0,00;0,35;0,00;0,00;230;38;181;34;30;169;738
122;59,17;44,50;0,00;0,00;0,00;0,04;0,00;0,00;392;174;72;23;39;403;905
123;16,63;-407,12;0,00;0,00;0,00;-0,41;0,00;0,00;283;18;165;25;24;458;530
124;25,32;-276,78;0,00;0,00;0,00;-0,28;0,00;0,00;15;55;101;31;17;747;136
125;56,22;121,04;0,00;0,00;0,00;0,12;0,00;0,00;84;164;87;44;21;332;716
126;81,73;271,23;0,00;0,00;0,00;0,27;0,00;0,00;415;153;140;19;26;153;805
127;38,95;-90,95;0,00;0,00;0,00;-0,09;0,00;0,00;365;36;43;30;17;717;274
128;48,64;-17,72;0,00;0,00;0,00;-0,02;0,00;0,00;144;25;17;33;38;978;409
129;63,52;156,20;0,00;0,00;0,00;0,16;0,00;0,00;87;43;137;10;28;167;106
130;65,55;134,00;0,00;0,00;0,00;0,13;0,00;0,00;178;160;176;24;25;422;671
131;72,29;253,95;0,00;0,00;0,00;0,25;0,00;0,00;76;108;129;19;25;398;514
132;42,72;-95,12;0,00;0,00;0,00;-0,10;0,00;0,00;391;73;154;25;19;358;153
133;36,25;-191,89;0,00;0,00;0,00;-0,19;0,00;0,00;247;174;123;37;27;240;316
134;53,95;-0,86;0,00;0,00;0,00;-0,00;0,00;0,00;43;11;112;32;30;627;931
135;63,04;73,30;0,00;0,00;0,00;0,07;0,00;0,00;89;198;181;13;24;269;806
136;37,14;-122,83;0,00;0,00;0,00;-0,12;0,00;0,00;329;160;42;14;39;687;245
137;64,22;175,79;0,00;0,00;0,00;0,18;0,00;0,00;380;190;85;45;16;475;942
138;40,99;-104,27;0,00;0,00;0,00;-0,10;0,00;0,00;293;99;139;34;23;769;940
139;36,40;-122,03;0,00;0,00;0,00;-0,12;0,00;0,00;276;148;137;15;24;687;196
140;45,00;-74,67;0,00;0,00;0,00;-0,07;0,00;0,00;403;18;41;33;39;608;465
141;45,92;31,49;0,00;0,00;0,00;0,03;0,00;0,00;407;164;48;32;25;830;219
142;35,71;-170,32;0,00;0,00;0,00;-0,17;0,00;0,00;165;101;161;17;17;513;891
143;54,53;80,14;0,00;0,00;0,00;0,08;0,00;0,00;324;41;124;31;32;373;877
144;34,97;-166,04;0,00;0,00;0,00;-0,17;0,00;0,00;98;196;83;47;25;652;142
145;63,41;220,01;0,00;0,00;0,00;0,22;0,00;0,00;469;98;197;21;24;700;649
146;65,38;239,69;0,00;0,00;0,00;0,24;0,00;0,00;303;85;162;36;19;311;862
147;53,13;26,48;0,00;0,00;0,00;0,03;0,00;0,00;411;47;65;37;36;539;536
148;38,33;-153,86;0,00;0,00;0,00;-0,15;0,00;0,00;450;10;79;46;23;324;341
149;43,60;-113,54;0,00;0,00;0,00;-0,11;0,00;0,00;84;83;147;49;20;257;692
150;33,89;-150,74;0,00;0,00;0,00;-0,15;0,00;0,00;90;107;140;29;34;927;152
151;61,50;86,20;0,00;0,00;0,00;0,09;0,00;0,00;410;138;184;29;24;607;534
152;33,72;-230,78;0,00;0,00;0,00;-0,23;0,00;0,00;354;19;164;42;33;187;933
153;69,08;169,56;0,00;0,00;0,00;0,17;0,00;0,00;228;146;53;35;22;556;993
154;29,18;-238,98;0,00;0,00;0,00;-0,24;0,00;0,00;109;104;124;42;30;948;411
155;44,55;-15,48;0,00;0,00;0,00;-0,02;0,00;0,00;110;29;73;35;27;699;416
156;42,74;-34,24;0,00;0,00;0,00;-0,03;0,00;0,00;338;61;45;39;25;110;546
157;29,86;-137,53;0,00;0,00;0,00;-0,14;0,00;0,00;134;44;108;20;26;548;459
158;57,82;123,69;0,00;0,00;0,00;0,12;0,00;0,00;262;169;133;31;32;895;858
159;49,92;31,97;0,00;0,00;0,00;0,03;0,00;0,00;118;157;175;10;30;421;424
160;66,03;167,57;0,00;0,00;0,00;0,17;0,00;0,00;95;195;41;33;20;966;176
161;37,64;-130,58;0,00;0,00;0,00;-0,13;0,00;0,00;278;92;141;48;20;471;406
162;41,28;-93,53;0,00;0,00;0,00;-0,09;0,00;0,00;171;179;37;19;18;653;668
163;53,60;77,39;0,00;0,00;0,00;0,08;0,00;0,00;41;138;148;49;21;826;850
164;51,69;126,92;0,00;0,00;0,00;0,13;0,00;0,00;80;199;125;17;31;511;157
165;42,82;-34,09;0,00;0,00;0,00;-0,03;0,00;0,00;175;33;122;34;33;750;115
166;61,27;120,07;0,00;0,00;0,00;0,12;0,00;0,00;244;163;85;46;19;842;445
167;89,27;389,48;0,00;0,00;0,00;0,39;0,00;0,00;79;197;147;14;31;949;328
168;23,17;-358,49;0,00;0,00;0,00;-0,36;0,00;0,00;402;118;119;13;19;252;983
169;70,85;145,86;0,00;0,00;0,00;0,15;0,00;0,00;498;179;33;36;33;405;582
170;60,45;143,02;0,00;0,00;0,00;0,14;0,00;0,00;226;39;181;31;30;547;214
171;31,29;-184,89;0,00;0,00;0,00;-0,18;0,00;0,00;243;76;134;48;16;482;474
172;59,64;73,14;0,00;0,00;0,00;0,07;0,00;0,00;283;173;49;36;39;669;940
173;65,45;122,71;0,00;0,00;0,00;0,12;0,00;0,00;389;11;64;33;30;200;899
174;54,15;-14,24;0,00;0,00;0,00;-0,01;0,00;0,00;73;80;30;19;34;293;810
175;30,68;-191,96;0,00;0,00;0,00;-0,19;0,00;0,00;98;31;176;40;16;215;353
176;44,50;-11,33;0,00;0,00;0,00;-0,01;0,00;0,00;99;35;13;30;28;565;400
177;43,32;-1,99;0,00;0,00;0,00;-0,00;0,00;0,00;469;112;47;45;34;454;636
178;40,27;-121,07;0,00;0,00;0,00;-0,12;0,00;0,00;53;125;38;16;35;855;887
179;65,90;152,07;0,00;0,00;0,00;0,15;0,00;0,00;366;148;83;48;18;967;824
180;61,03;83,28;0,00;0,00;0,00;0,08;0,00;0,00;385;165;123;13;21;971;627
181;36,99;-49,37;0,00;0,00;0,00;-0,05;0,00;0,00;91;157;150;45;33;148;199
182;38,97;-76,80;0,00;0,00;0,00;-0,08;0,00;0,00;477;88;24;42;23;244;831
183;68,43;207,97;0,00;0,00;0,00;0,21;0,00;0,00;446;129;166;14;19;532;273
184;41,10;-66,13;0,00;0,00;0,00;-0,07;0,00;0,00;307;58;102;43;36;894;760
185;33,74;-220,22;0,00;0,00;0,00;-0,22;0,00;0,00;142;158;62;18;28;341;575
186;47,16;-29,32;0,00;0,00;0,00;-0,03;0,00;0,00;282;165;115;32;35;251;117
187;49,03;1,33;0,00;0,00;0,00;0,00;0,00;0,00;105;137;103;47;30;441;721
188;58,22;136,53;0,00;0,00;0,00;0,14;0,00;0,00;399;40;173;13;22;266;432
189;67,88;145,05;0,00;0,00;0,00;0,15;0,00;0,00;172;61;87;20;16;753;105
190;36,38;-165,58;0,00;0,00;0,00;-0,17;0,00;0,00;62;177;159;33;23;493;570
191;53,81;-69,81;0,00;0,00;0,00;-0,07;0,00;0,00;450;137;22;33;15;842;559
192;43,63;-101,06;0,00;0,00;0,00;-0,10;0,00;0,00;27;97;180;17;15;428;950
193;33,89;-232,12;0,00;0,00;0,00;-0,23;0,00;0,00;101;55;134;20;17;189;629
194;52,27;19,37;0,00;0,00;0,00;0,02;0,00;0,00;121;178;162;25;30;588;504
195;50,49;63,25;0,00;0,00;0,00;0,06;0,00;0,00;200;107;55;38;34;881;757
196;21,51;-327,38;0,00;0,00;0,00;-0,33;0,00;0,00;324;94;192;11;25;825;296
