Time	Open	High	Low	Close	Volume
2026-01-05 23:19:00	1.17186	1.17189	1.17184	1.17189	25	4
2026-01-05 23:20:00	1.17189	1.17194	1.17189	1.17193	19	4
2026-01-05 23:21:00	1.17192	1.17193	1.17191	1.17191	3	5
2026-01-05 23:22:00	1.17193	1.17193	1.17192	1.17192	2	5
2026-01-05 23:23:00	1.17194	1.17194	1.17189	1.1719	5	3
2026-01-05 23:24:00	1.17188	1.17189	1.17184	1.17184	9	4
2026-01-05 23:25:00	1.17182	1.17182	1.1718	1.17182	17	4
2026-01-05 23:26:00	1.17182	1.17184	1.17182	1.17182	5	4
2026-01-05 23:27:00	1.17181	1.17182	1.17181	1.17182	4	4
2026-01-05 23:28:00	1.17183	1.17183	1.17179	1.17179	4	4
2026-01-05 23:29:00	1.17178	1.17178	1.17176	1.17178	3	4
2026-01-05 23:30:00	1.17177	1.17178	1.17176	1.17177	5	5
2026-01-05 23:31:00	1.17178	1.17179	1.17175	1.17175	17	6
2026-01-05 23:32:00	1.17177	1.17179	1.17177	1.17177	16	5
2026-01-05 23:33:00	1.17175	1.17175	1.17173	1.17173	11	4
2026-01-05 23:34:00	1.17173	1.17173	1.17168	1.17168	22	6
2026-01-05 23:35:00	1.17169	1.17171	1.17168	1.17171	16	6
2026-01-05 23:36:00	1.17175	1.17178	1.17171	1.17174	17	4
2026-01-05 23:37:00	1.17176	1.17176	1.17175	1.17175	2	3
2026-01-05 23:38:00	1.17175	1.17176	1.17174	1.17174	3	4
2026-01-05 23:39:00	1.17174	1.17174	1.17171	1.17171	14	4
2026-01-05 23:40:00	1.17169	1.17169	1.17169	1.17169	2	5
2026-01-05 23:41:00	1.17169	1.1717	1.17169	1.17169	4	6
2026-01-05 23:43:00	1.17169	1.17169	1.17165	1.17165	9	5
2026-01-05 23:44:00	1.17162	1.17166	1.17161	1.17166	11	5
2026-01-05 23:45:00	1.17166	1.17166	1.17159	1.17159	12	4
2026-01-05 23:46:00	1.17161	1.17161	1.17157	1.17157	15	4
2026-01-05 23:47:00	1.17159	1.1716	1.17156	1.17156	8	4
2026-01-05 23:48:00	1.17156	1.17157	1.17156	1.17156	3	3
2026-01-05 23:49:00	1.17155	1.17155	1.17149	1.17149	8	4
2026-01-05 23:50:00	1.17149	1.1715	1.17147	1.17148	17	4
2026-01-05 23:51:00	1.17148	1.17148	1.17143	1.17145	12	4
2026-01-05 23:52:00	1.17145	1.17145	1.17141	1.17141	13	3
2026-01-05 23:53:00	1.17139	1.17141	1.17137	1.17139	26	3
2026-01-05 23:54:00	1.17139	1.17139	1.17128	1.17128	25	3
2026-01-05 23:55:00	1.17128	1.17134	1.17128	1.17134	14	4
2026-01-05 23:56:00	1.17134	1.17144	1.17133	1.1714	40	4
2026-01-05 23:57:00	1.17142	1.17148	1.1714	1.17144	14	3
2026-01-05 23:58:00	1.17143	1.17143	1.17139	1.17139	14	3
2026-01-05 23:59:00	1.1714	1.17144	1.1714	1.17144	7	3
2026-01-06 00:00:00	1.17144	1.17166	1.17144	1.17165	71	4
2026-01-06 00:01:00	1.17165	1.17165	1.1715	1.17153	22	3
2026-01-06 00:02:00	1.17155	1.17157	1.17148	1.17148	13	4
2026-01-06 00:03:00	1.17148	1.17148	1.17138	1.17139	12	4
2026-01-06 00:04:00	1.1714	1.17145	1.1714	1.17145	8	3
2026-01-06 00:05:00	1.17142	1.17142	1.1714	1.1714	9	4
2026-01-06 00:06:00	1.1714	1.17149	1.1714	1.17147	9	3
2026-01-06 00:07:00	1.17144	1.17146	1.17144	1.17144	3	4
2026-01-06 00:08:00	1.17143	1.17146	1.17141	1.17146	17	3
2026-01-06 00:09:00	1.17145	1.17148	1.17144	1.17144	8	3
2026-01-06 00:10:00	1.17145	1.17146	1.1714	1.17146	11	3
2026-01-06 00:11:00	1.17145	1.17152	1.17145	1.17151	9	3
2026-01-06 00:12:00	1.1715	1.1715	1.17143	1.17144	17	2
