Time	Open	High	Low	Close	Volume
2026-01-06 10:18:00	1.17096	1.17122	1.17096	1.17119	103	5
2026-01-06 10:19:00	1.17117	1.17135	1.17116	1.17131	58	3
2026-01-06 10:20:00	1.1713	1.17137	1.17127	1.17135	29	3
2026-01-06 10:21:00	1.17133	1.17152	1.17133	1.17146	59	2
2026-01-06 10:22:00	1.17145	1.17149	1.17132	1.17149	67	3
2026-01-06 10:23:00	1.1715	1.17159	1.17148	1.17159	109	3
2026-01-06 10:24:00	1.17157	1.17161	1.17149	1.1715	140	5
2026-01-06 10:25:00	1.1715	1.17157	1.17139	1.1715	211	4
2026-01-06 10:26:00	1.1715	1.17153	1.17132	1.17143	51	3
2026-01-06 10:27:00	1.17142	1.17145	1.17139	1.17145	24	4
2026-01-06 10:28:00	1.17147	1.1715	1.17133	1.17135	44	3
2026-01-06 10:29:00	1.1714	1.17145	1.17135	1.17145	48	3
2026-01-06 10:30:00	1.17146	1.17146	1.17133	1.17133	122	4
2026-01-06 10:31:00	1.17132	1.17133	1.17127	1.17128	27	2
2026-01-06 10:32:00	1.17131	1.17133	1.17121	1.17131	54	3
2026-01-06 10:33:00	1.17132	1.17144	1.17132	1.17143	40	3
2026-01-06 10:34:00	1.17143	1.17149	1.17137	1.17137	42	3
2026-01-06 10:35:00	1.17137	1.17147	1.17137	1.17141	49	3
2026-01-06 10:36:00	1.1714	1.17153	1.17139	1.17143	94	3
2026-01-06 10:37:00	1.17144	1.17151	1.17142	1.17148	89	4
2026-01-06 10:38:00	1.17148	1.17159	1.17147	1.17159	83	3
2026-01-06 10:39:00	1.17158	1.17168	1.17157	1.17168	95	3
2026-01-06 10:40:00	1.17171	1.17171	1.17149	1.17159	103	3
2026-01-06 10:41:00	1.1716	1.17166	1.17145	1.17145	154	3
2026-01-06 10:42:00	1.17146	1.17146	1.17136	1.17142	51	3
2026-01-06 10:43:00	1.17141	1.17141	1.1712	1.17129	107	3
2026-01-06 10:44:00	1.17129	1.17142	1.17124	1.17124	24	3
2026-01-06 10:45:00	1.17124	1.17132	1.17121	1.17122	24	2
2026-01-06 10:46:00	1.17121	1.17132	1.17121	1.17132	73	3
2026-01-06 10:47:00	1.17135	1.17143	1.17124	1.17124	115	3
2026-01-06 10:48:00	1.17122	1.17124	1.1712	1.17124	74	3
2026-01-06 10:49:00	1.17124	1.17136	1.17116	1.17136	73	2
2026-01-06 10:50:00	1.17135	1.17143	1.17132	1.17132	60	2
2026-01-06 10:51:00	1.17132	1.17136	1.17131	1.17133	88	2
2026-01-06 10:52:00	1.17134	1.17138	1.17134	1.17135	55	3
2026-01-06 10:53:00	1.17136	1.17136	1.17116	1.17116	61	2
2026-01-06 10:54:00	1.17118	1.17122	1.1711	1.17122	45	3
2026-01-06 10:55:00	1.17122	1.17124	1.17118	1.17122	50	2
2026-01-06 10:56:00	1.17124	1.17127	1.17122	1.17125	45	3
2026-01-06 10:57:00	1.17124	1.17124	1.17115	1.17121	63	3
2026-01-06 10:58:00	1.1712	1.17123	1.17117	1.17119	48	3
2026-01-06 10:59:00	1.17121	1.17129	1.17119	1.17126	50	3
2026-01-06 11:00:00	1.17126	1.17126	1.17102	1.17103	37	3
2026-01-06 11:01:00	1.17102	1.17117	1.17102	1.17117	50	2
2026-01-06 11:02:00	1.17115	1.17122	1.17111	1.17122	49	3
2026-01-06 11:03:00	1.17123	1.1713	1.17109	1.17111	84	3
2026-01-06 11:04:00	1.17111	1.17111	1.17098	1.17101	53	3
2026-01-06 11:05:00	1.17101	1.17101	1.17085	1.17086	68	3
2026-01-06 11:06:00	1.17082	1.17083	1.17074	1.17075	110	4
2026-01-06 11:07:00	1.17076	1.17077	1.1707	1.17072	49	3
2026-01-06 11:08:00	1.17071	1.17088	1.17071	1.17081	50	3
2026-01-06 11:09:00	1.17078	1.17085	1.17078	1.1708	24	3
2026-01-06 11:10:00	1.17078	1.17078	1.17057	1.17057	52	3
2026-01-06 11:11:00	1.17058	1.17059	1.17049	1.17057	36	3
2026-01-06 11:12:00	1.17058	1.17069	1.17053	1.17057	43	3
2026-01-06 11:13:00	1.17055	1.1707	1.17052	1.17068	20	2
2026-01-06 11:14:00	1.17066	1.17077	1.17066	1.1707	41	4
2026-01-06 11:15:00	1.17072	1.17073	1.1707	1.17072	19	4
