Time,Open,High,Low,Close,Volume,Spread
2024/02/29 22:45,1.08029,1.0805,1.08021,1.08047,2297,20
2024/02/29 23:00,1.08053,1.08054,1.08026,1.08033,369,5
2024/02/29 23:15,1.08032,1.08046,1.08032,1.08045,200,4
2024/02/29 23:30,1.08044,1.08044,1.08023,1.08024,287,3
2024/02/29 23:45,1.08024,1.08056,1.08024,1.08055,249,2
2024/03/01 00:00,1.08055,1.08087,1.08052,1.08086,657,2
2024/03/01 00:15,1.08086,1.08093,1.08075,1.08075,933,2
2024/03/01 00:30,1.08075,1.08097,1.08075,1.08088,1467,3
2024/03/01 00:45,1.08088,1.08124,1.08085,1.08113,1551,2
2024/03/01 01:00,1.08114,1.08132,1.08109,1.0813,1177,3
2024/03/01 01:15,1.08129,1.08148,1.08125,1.08142,775,2
2024/03/01 01:30,1.08141,1.08168,1.08137,1.08167,1374,2
2024/03/01 01:45,1.08167,1.08212,1.08165,1.08212,917,2
2024/03/01 02:00,1.08214,1.08218,1.0819,1.08201,3310,2
2024/03/01 02:15,1.082,1.082,1.08166,1.08185,1207,3
2024/03/01 02:30,1.08186,1.08195,1.08168,1.08191,449,2
2024/03/01 02:45,1.08192,1.08196,1.0818,1.08183,435,2
2024/03/01 03:00,1.08184,1.08211,1.08178,1.08197,977,2
2024/03/01 03:15,1.08197,1.08203,1.08189,1.08193,584,2
2024/03/01 03:30,1.08193,1.08193,1.08167,1.0817,406,2
2024/03/01 03:45,1.08171,1.08179,1.08165,1.08168,459,2
2024/03/01 04:00,1.08169,1.0817,1.08155,1.08155,307,2
2024/03/01 04:15,1.08156,1.08158,1.08145,1.08146,217,1
2024/03/01 04:30,1.08147,1.08162,1.08141,1.08148,393,2
2024/03/01 04:45,1.08148,1.08152,1.08122,1.08135,670,2
2024/03/01 05:00,1.08135,1.08141,1.08116,1.08117,414,2
2024/03/01 05:15,1.08118,1.08127,1.08111,1.08122,776,2
2024/03/01 05:30,1.08121,1.08136,1.08116,1.08122,927,3
2024/03/01 05:45,1.08123,1.08128,1.08114,1.08122,729,3
2024/03/01 06:00,1.0812,1.08134,1.08115,1.08128,1144,3
2024/03/01 06:15,1.08128,1.08139,1.08112,1.08112,739,3
2024/03/01 06:30,1.08112,1.08118,1.08087,1.08087,645,2
2024/03/01 06:45,1.08088,1.08098,1.08082,1.08091,584,2
2024/03/01 07:00,1.0809,1.08168,1.08087,1.08159,1354,2
2024/03/01 07:15,1.08157,1.08174,1.08129,1.08138,1669,2
2024/03/01 07:30,1.08137,1.08162,1.0809,1.08097,1595,2
2024/03/01 07:45,1.08096,1.08144,1.08095,1.08125,1002,2
2024/03/01 08:00,1.08127,1.08184,1.08102,1.08141,2676,2
2024/03/01 08:15,1.08142,1.08199,1.08131,1.08165,2828,3
2024/03/01 08:30,1.08165,1.08173,1.08106,1.08122,4677,3
2024/03/01 08:45,1.08121,1.08131,1.0809,1.08112,3210,2
2024/03/01 09:00,1.08111,1.08157,1.08086,1.08124,2832,2
2024/03/01 09:15,1.08123,1.08139,1.08095,1.08124,1855,1
2024/03/01 09:30,1.08124,1.08141,1.08095,1.08131,2138,2
2024/03/01 09:45,1.08129,1.08176,1.08126,1.08153,1665,2
2024/03/01 10:00,1.08156,1.08227,1.08044,1.08048,5478,3
2024/03/01 10:15,1.08048,1.08054,1.07992,1.08006,4863,2
2024/03/01 10:30,1.08006,1.08088,1.07984,1.0808,3411,2
2024/03/01 10:45,1.0808,1.08111,1.08076,1.08104,2760,2
2024/03/01 11:00,1.08105,1.08185,1.08102,1.0815,2639,3
2024/03/01 11:15,1.08149,1.08163,1.08132,1.08148,3120,2
2024/03/01 11:30,1.08149,1.0819,1.08148,1.08184,2643,2
2024/03/01 11:45,1.08185,1.08191,1.08166,1.08187,2316,2
2024/03/01 12:00,1.08187,1.08237,1.08175,1.08228,2465,2
2024/03/01 12:15,1.08228,1.08247,1.08213,1.08213,2023,2
2024/03/01 12:30,1.08213,1.08227,1.08191,1.082,4698,2
2024/03/01 12:45,1.08199,1.08214,1.08119,1.08129,3089,2
2024/03/01 13:00,1.08128,1.08144,1.08111,1.08122,2429,1
2024/03/01 13:15,1.08124,1.08127,1.08078,1.0811,2833,2
2024/03/01 13:30,1.0811,1.08153,1.08089,1.08107,4993,1
2024/03/01 13:45,1.08107,1.08142,1.08104,1.08127,2778,2
2024/03/01 14:00,1.08127,1.08158,1.0811,1.08149,3548,2
2024/03/01 14:15,1.0815,1.08206,1.08124,1.08133,2801,1
2024/03/01 14:30,1.08134,1.0817,1.08076,1.08103,3879,2
