<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.03.31	00:05:00.009	66562.34	66564.58			6
2026.03.31	00:05:00.023		66564.85			4
2026.03.31	00:05:00.245	66562.33				2
2026.03.31	00:05:00.410		66564.75			4
2026.03.31	00:05:00.634		66564.81			4
2026.03.31	00:05:00.816	66565.71	66566.71			6
2026.03.31	00:05:00.834	66565.72	66566.72			6
2026.03.31	00:05:01.010	66565.76	66566.76			6
2026.03.31	00:05:01.209	66565.77	66566.77			6
2026.03.31	00:05:01.617	66565.75	66566.75			6
2026.03.31	00:05:01.652	66565.77	66566.77			6
2026.03.31	00:05:02.214	66565.75	66566.75			6
2026.03.31	00:05:02.408	66565.77	66566.77			6
2026.03.31	00:05:02.467	66565.75	66566.75			6
2026.03.31	00:05:02.814	66565.77	66566.77			6
2026.03.31	00:05:03.015	66565.76	66566.76			6
2026.03.31	00:05:03.284	66565.72	66566.72			6
2026.03.31	00:05:03.488	66565.73	66566.73			6
2026.03.31	00:05:04.010	66565.74	66566.74			6
2026.03.31	00:05:04.215	66565.80	66566.80			6
2026.03.31	00:05:04.410	66566.30	66568.56			6
2026.03.31	00:05:04.618		66568.08			4
2026.03.31	00:05:04.810		66568.06			4
2026.03.31	00:05:04.814		66568.08			4
2026.03.31	00:05:05.008		66568.10			4
2026.03.31	00:05:05.816		66568.01			4
2026.03.31	00:05:05.840		66567.93			4
2026.03.31	00:05:06.015		66567.99			4
2026.03.31	00:05:06.248		66567.95			4
2026.03.31	00:05:06.409	66566.04	66567.04			6
2026.03.31	00:05:06.453	66565.80	66566.80			6
2026.03.31	00:05:06.616	66566.04	66567.04			6
2026.03.31	00:05:06.674	66565.86	66566.86			6
2026.03.31	00:05:06.864	66565.85	66566.85			6
2026.03.31	00:05:07.070	66565.71	66566.71			6
2026.03.31	00:05:07.215	66565.72	66566.72			6
2026.03.31	00:05:07.414	66565.85	66566.85			6
2026.03.31	00:05:07.609	66565.89	66566.89			6
2026.03.31	00:05:07.883	66565.85	66566.85			6
2026.03.31	00:05:08.015	66565.99	66566.99			6
2026.03.31	00:05:08.089	66565.84	66566.84			6
2026.03.31	00:05:08.211	66566.30	66568.60			6
2026.03.31	00:05:08.292	66565.89	66566.89			6
2026.03.31	00:05:08.410	66565.76	66566.76			6
2026.03.31	00:05:08.500	66565.68	66566.68			6
2026.03.31	00:05:08.613	66566.03	66567.03			6
2026.03.31	00:05:08.704	66565.69	66566.69			6
2026.03.31	00:05:08.815	66565.78	66566.78			6
2026.03.31	00:05:08.907	66565.71	66566.71			6
2026.03.31	00:05:09.011	66565.65	66566.65			6
2026.03.31	00:05:09.207	66565.71	66566.71			6
2026.03.31	00:05:09.212	66565.84	66566.84			6
2026.03.31	00:05:09.408	66566.30	66568.61			6
2026.03.31	00:05:09.419	66566.23	66567.23			6
2026.03.31	00:05:09.609	66566.10	66567.10			6
2026.03.31	00:05:09.624	66566.30	66568.61			6
2026.03.31	00:05:09.811		66568.64			4
2026.03.31	00:05:09.827		66567.98			4
2026.03.31	00:05:10.008	66565.92	66566.92			6
2026.03.31	00:05:10.032	66566.25	66567.98			6
2026.03.31	00:05:10.209	66565.86	66566.86			6
2026.03.31	00:05:10.237	66565.48	66566.48			6
2026.03.31	00:05:11.054	66565.78	66566.78			6
2026.03.31	00:05:11.461	66565.76	66566.76			6
2026.03.31	00:05:11.613	66565.72	66566.72			6
2026.03.31	00:05:11.667	66565.27	66566.27			6
2026.03.31	00:05:11.810	66561.54	66562.54			6
2026.03.31	00:05:11.877	66556.23	66557.23			6
