<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.01	00:05:00.157	1.16518	1.16602			6
2026.06.01	00:05:05.405	1.16521	1.16578			6
2026.06.01	00:05:06.005	1.16516				2
2026.06.01	00:05:09.007	1.16521				2
2026.06.01	00:05:30.606		1.16584			4
2026.06.01	00:05:31.205		1.16586			4
2026.06.01	00:05:43.368	1.16522	1.16594			6
2026.06.01	00:08:30.905	1.16521	1.16594			6
2026.06.01	00:10:01.971	1.16521	1.16601			6
2026.06.01	00:13:15.905	1.16521	1.16596			6
2026.06.01	00:15:02.407	1.16528	1.16596			6
2026.06.01	00:15:04.356	1.16527				2
2026.06.01	00:15:11.105	1.16526				2
2026.06.01	00:15:31.208	1.16525				2
2026.06.01	00:16:43.570	1.16525	1.16598			6
2026.06.01	00:17:25.204	1.16525	1.16600			6
2026.06.01	00:17:30.156	1.16524				2
2026.06.01	00:17:30.157		1.16592			4
2026.06.01	00:17:32.715	1.16525				2
2026.06.01	00:17:38.707		1.16598			4
2026.06.01	00:17:39.457	1.16524	1.16602			6
2026.06.01	00:20:31.207	1.16521	1.16591			6
2026.06.01	00:20:31.504	1.16519				2
2026.06.01	00:20:37.656	1.16521	1.16583			6
2026.06.01	00:20:37.656	1.16519	1.16589			6
2026.06.01	00:20:37.805		1.16590			4
2026.06.01	00:20:45.307	1.16521	1.16583			6
2026.06.01	00:20:53.406	1.16519	1.16591			6
2026.06.01	00:20:53.860		1.16593			4
2026.06.01	00:21:15.908	1.16518	1.16594			6
2026.06.01	00:22:15.906	1.16517				2
2026.06.01	00:22:53.280		1.16587			4
2026.06.01	00:23:20.112	1.16518	1.16580			6
2026.06.01	00:23:44.556		1.16584			4
2026.06.01	00:23:53.614	1.16519				2
2026.06.01	00:24:42.169	1.16520				2
2026.06.01	00:24:44.406	1.16519				2
2026.06.01	00:24:49.394	1.16520	1.16584			6
2026.06.01	00:25:50.705	1.16521	1.16584			6
2026.06.01	00:26:51.304	1.16522	1.16584			6
2026.06.01	00:27:01.956	1.16522	1.16587			6
2026.06.01	00:27:04.510	1.16528	1.16591			6
2026.06.01	00:27:50.706	1.16527				2
2026.06.01	00:28:19.685	1.16526	1.16591			6
2026.06.01	00:29:15.307	1.16528				2
2026.06.01	00:29:19.355	1.16527				2
2026.06.01	00:30:24.606	1.16528	1.16590			6
2026.06.01	00:32:16.055	1.16528	1.16592			6
2026.06.01	00:32:36.325	1.16525	1.16594			6
2026.06.01	00:33:53.855	1.16538	1.16594			6
2026.06.01	00:33:54.013	1.16528	1.16601			6
2026.06.01	00:34:12.159	1.16540				2
2026.06.01	00:34:12.307	1.16528	1.16602			6
2026.06.01	00:34:17.141	1.16527				2
2026.06.01	00:34:41.269		1.16593			4
2026.06.01	00:34:51.467	1.16526				2
2026.06.01	00:35:38.858	1.16523	1.16591			6
2026.06.01	00:35:39.003	1.16521				2
2026.06.01	00:35:40.241		1.16580			4
2026.06.01	00:35:46.062		1.16581			4
2026.06.01	00:35:48.607		1.16583			4
2026.06.01	00:35:49.209		1.16584			4
2026.06.01	00:35:57.754		1.16586			4
2026.06.01	00:36:00.465	1.16520				2
2026.06.01	00:36:01.057		1.16588			4
2026.06.01	00:36:02.289		1.16578			4
2026.06.01	00:36:02.404		1.16582			4
2026.06.01	00:36:11.553		1.16583			4
2026.06.01	00:36:11.709		1.16590			4
2026.06.01	00:36:12.157		1.16583			4
2026.06.01	00:36:12.306		1.16584			4
2026.06.01	00:36:26.556		1.16581			4
2026.06.01	00:36:29.551		1.16582			4
2026.06.01	00:36:38.869		1.16581			4
2026.06.01	00:36:43.203		1.16578			4
2026.06.01	00:36:43.231		1.16577			4
2026.06.01	00:36:43.355		1.16578			4
2026.06.01	00:36:43.563		1.16579			4
2026.06.01	00:36:50.857	1.16534	1.16589			6
2026.06.01	00:37:05.556	1.16534	1.16590			6
2026.06.01	00:37:07.205		1.16593			4
2026.06.01	00:37:25.699	1.16532				2
2026.06.01	00:37:38.260		1.16592			4
2026.06.01	00:37:39.309		1.16579			4
2026.06.01	00:37:40.056		1.16581			4
2026.06.01	00:37:44.106	1.16534				2
2026.06.01	00:37:53.256		1.16584			4
2026.06.01	00:38:38.867	1.16534	1.16589			6
2026.06.01	00:39:14.855	1.16534	1.16582			6
2026.06.01	00:39:15.006		1.16588			4
2026.06.01	00:39:25.353	1.16536	1.16583			6
2026.06.01	00:39:25.805		1.16577			4
2026.06.01	00:39:26.856		1.16587			4
2026.06.01	00:39:48.910	1.16548	1.16584			6
2026.06.01	00:39:53.107	1.16547				2
2026.06.01	00:39:54.305	1.16546	1.16586			6
2026.06.01	00:39:54.454		1.16589			4
2026.06.01	00:39:54.605		1.16591			4
2026.06.01	00:39:54.905		1.16592			4
2026.06.01	00:39:55.356		1.16593			4
2026.06.01	00:39:55.701		1.16595			4
2026.06.01	00:39:56.406	1.16545				2
2026.06.01	00:39:56.855		1.16597			4
2026.06.01	00:40:54.456	1.16543				2
2026.06.01	00:41:19.203	1.16546	1.16597			6
2026.06.01	00:41:35.859	1.16545				2
2026.06.01	00:41:36.455		1.16596			4
2026.06.01	00:41:54.456	1.16543	1.16600			6
2026.06.01	00:43:25.956	1.16544	1.16600			6
2026.06.01	00:43:36.304	1.16545	1.16605			6
2026.06.01	00:43:36.906		1.16608			4
2026.06.01	00:43:42.778		1.16610			4
2026.06.01	00:43:43.805	1.16547	1.16615			6
2026.06.01	00:43:44.255	1.16548	1.16617			6
2026.06.01	00:43:44.406		1.16618			4
2026.06.01	00:43:45.904		1.16619			4
2026.06.01	00:43:58.053	1.16545				2
2026.06.01	00:43:58.657	1.16547				2
2026.06.01	00:44:04.053	1.16544				2
2026.06.01	00:44:17.406	1.16543				2
2026.06.01	00:44:27.604	1.16542				2
2026.06.01	00:44:38.102	1.16545				2
2026.06.01	00:44:49.205		1.16620			4
2026.06.01	00:44:50.853	1.16546				2
2026.06.01	00:44:55.802		1.16621			4
2026.06.01	00:44:55.952		1.16622			4
2026.06.01	00:45:05.703	1.16601	1.16627			6
2026.06.01	00:45:12.604	1.16564	1.16640			6
2026.06.01	00:45:12.614	1.16554	1.16638			6
2026.06.01	00:45:12.758	1.16555	1.16639			6
2026.06.01	00:45:23.720	1.16554	1.16638			6
2026.06.01	00:45:26.267	1.16555	1.16639			6
2026.06.01	00:45:28.355	1.16550	1.16634			6
2026.06.01	00:45:33.006	1.16557	1.16641			6
2026.06.01	00:45:40.355	1.16568	1.16644			6
2026.06.01	00:45:51.155	1.16570	1.16641			6
2026.06.01	00:45:53.572		1.16642			4
2026.06.01	00:45:54.456	1.16564	1.16639			6
2026.06.01	00:45:54.604	1.16559				2
2026.06.01	00:46:01.508	1.16559	1.16640			6
2026.06.01	00:46:04.108	1.16558				2
2026.06.01	00:46:07.218	1.16563	1.16636			6
2026.06.01	00:46:08.407		1.16637			4
2026.06.01	00:46:10.955	1.16561				2
2026.06.01	00:46:28.806		1.16639			4
2026.06.01	00:46:41.857		1.16640			4
2026.06.01	00:46:45.606		1.16637			4
2026.06.01	00:47:03.480	1.16561	1.16638			6
2026.06.01	00:47:05.551		1.16637			4
2026.06.01	00:47:10.963		1.16638			4
2026.06.01	00:47:24.306		1.16639			4
2026.06.01	00:47:54.479		1.16640			4
2026.06.01	00:48:28.505	1.16561	1.16641			6
2026.06.01	00:49:36.008	1.16561	1.16639			6
2026.06.01	00:49:39.756		1.16620			4
2026.06.01	00:50:18.606	1.16561	1.16621			6
2026.06.01	00:50:26.858	1.16549	1.16614			6
2026.06.01	00:51:18.156	1.16547				2
2026.06.01	00:51:59.707		1.16613			4
2026.06.01	00:52:03.007	1.16548				2
2026.06.01	00:52:14.557	1.16547				2
2026.06.01	00:52:41.014	1.16548				2
2026.06.01	00:53:20.284	1.16549	1.16613			6
2026.06.01	00:53:33.008		1.16614			4
2026.06.01	00:53:49.205	1.16548				2
2026.06.01	00:53:59.107	1.16545	1.16615			6
2026.06.01	00:53:59.270		1.16606			4
2026.06.01	00:54:45.154	1.16555	1.16623			6
2026.06.01	00:54:49.807		1.16615			4
2026.06.01	00:55:01.057	1.16571	1.16610			6
2026.06.01	00:55:12.307	1.16551	1.16616			6
2026.06.01	00:55:14.256		1.16609			4
2026.06.01	00:55:14.405		1.16610			4
2026.06.01	00:55:16.202	1.16549	1.16613			6
2026.06.01	00:55:16.355	1.16547	1.16615			6
2026.06.01	00:55:16.506		1.16608			4
2026.06.01	00:55:18.302		1.16609			4
2026.06.01	00:55:20.255		1.16601			4
2026.06.01	00:55:22.356	1.16559	1.16607			6
2026.06.01	00:55:22.504	1.16560	1.16608			6
2026.06.01	00:55:30.756	1.16572	1.16609			6
2026.06.01	00:55:43.205		1.16605			4
2026.06.01	00:55:43.504	1.16562	1.16610			6
2026.06.01	00:55:53.470		1.16611			4
2026.06.01	00:55:54.305		1.16605			4
2026.06.01	00:55:57.756	1.16572	1.16620			6
2026.06.01	00:56:01.357	1.16560	1.16619			6
2026.06.01	00:56:01.805		1.16608			4
2026.06.01	00:56:05.705		1.16611			4
2026.06.01	00:56:05.856		1.16612			4
2026.06.01	00:56:05.864		1.16615			4
2026.06.01	00:56:06.906		1.16607			4
2026.06.01	00:56:07.956		1.16612			4
2026.06.01	00:56:26.857		1.16619			4
2026.06.01	00:57:01.356	1.16559	1.16621			6
2026.06.01	00:57:04.806	1.16561	1.16617			6
2026.06.01	00:57:26.748		1.16609			4
2026.06.01	00:57:32.404		1.16612			4
2026.06.01	00:57:42.155		1.16606			4
2026.06.01	00:57:42.452		1.16609			4
2026.06.01	00:57:44.106		1.16608			4
2026.06.01	00:57:51.181	1.16562				2
2026.06.01	00:57:52.056	1.16573	1.16615			6
2026.06.01	00:57:55.205		1.16610			4
2026.06.01	00:58:01.356	1.16572				2
2026.06.01	00:58:01.658		1.16601			4
2026.06.01	00:58:02.107		1.16606			4
2026.06.01	00:58:52.206	1.16573				2
2026.06.01	00:59:12.156	1.16573	1.16610			6
2026.06.01	00:59:50.555		1.16601			4
2026.06.01	00:59:58.655	1.16576	1.16622			6
2026.06.01	00:59:58.700		1.16625			4
2026.06.01	00:59:58.807		1.16626			4
2026.06.01	01:00:00.165	1.16583	1.16627			6
2026.06.01	01:00:00.609		1.16626			4
2026.06.01	01:00:00.913		1.16627			4
2026.06.01	01:00:01.218	1.16585	1.16624			6
2026.06.01	01:00:01.660	1.16587	1.16620			6
2026.06.01	01:00:01.806	1.16585	1.16625			6
2026.06.01	01:00:02.108	1.16587	1.16622			6
2026.06.01	01:00:02.263	1.16588	1.16619			6
2026.06.01	01:00:02.408		1.16620			4
2026.06.01	01:00:02.557	1.16600	1.16606			6
2026.06.01	01:00:03.606	1.16581	1.16615			6
2026.06.01	01:00:03.753	1.16582	1.16612			6
2026.06.01	01:00:03.903		1.16613			4
2026.06.01	01:00:04.971		1.16612			4
2026.06.01	01:00:06.907		1.16614			4
2026.06.01	01:00:09.156		1.16613			4
2026.06.01	01:00:09.187	1.16581	1.16614			6
2026.06.01	01:00:09.607	1.16580	1.16613			6
2026.06.01	01:00:13.210	1.16579	1.16612			6
2026.06.01	01:00:13.354	1.16580	1.16613			6
2026.06.01	01:00:13.807	1.16579	1.16612			6
2026.06.01	01:00:14.408	1.16580	1.16613			6
2026.06.01	01:00:14.865	1.16573	1.16601			6
2026.06.01	01:00:16.355		1.16602			4
2026.06.01	01:00:23.711		1.16601			4
2026.06.01	01:00:24.305		1.16602			4
2026.06.01	01:00:24.458	1.16570				2
2026.06.01	01:00:25.056	1.16569	1.16595			6
2026.06.01	01:00:25.207	1.16565				2
2026.06.01	01:00:25.359	1.16557	1.16594			6
2026.06.01	01:00:26.860		1.16584			4
2026.06.01	01:00:30.304	1.16551				2
2026.06.01	01:00:31.057		1.16580			4
2026.06.01	01:00:31.658		1.16579			4
2026.06.01	01:00:31.807		1.16580			4
2026.06.01	01:00:34.655		1.16583			4
2026.06.01	01:00:35.714	1.16540	1.16588			6
2026.06.01	01:00:35.746	1.16543	1.16580			6
2026.06.01	01:00:40.209		1.16579			4
2026.06.01	01:00:40.358	1.16544	1.16581			6
2026.06.01	01:00:48.458	1.16543	1.16580			6
2026.06.01	01:00:48.757	1.16544	1.16581			6
2026.06.01	01:00:49.208		1.16580			4
2026.06.01	01:00:51.758	1.16543	1.16579			6
2026.06.01	01:00:51.907		1.16580			4
2026.06.01	01:00:54.007	1.16547	1.16579			6
2026.06.01	01:00:54.158		1.16580			4
2026.06.01	01:00:54.210		1.16579			4
2026.06.01	01:01:01.210	1.16544	1.16578			6
2026.06.01	01:01:02.554		1.16579			4
2026.06.01	01:01:02.709		1.16578			4
2026.06.01	01:01:02.860		1.16579			4
2026.06.01	01:01:03.456		1.16578			4
