Timestamp,R20_RR1.5,R20_RR2.0,R20_RR2.5,R20_RR3.0,R20_RR3.5,R20_RR4.0,R20_RR4.5,R50_RR1.5,R50_RR2.0,R50_RR2.5,R50_RR3.0,R50_RR3.5,R50_RR4.0,R50_RR4.5,R75_RR1.5,R75_RR2.0,R75_RR2.5,R75_RR3.0,R75_RR3.5,R75_RR4.0,R75_RR4.5,R100_RR1.5,R100_RR2.0,R100_RR2.5,R100_RR3.0,R100_RR3.5,R100_RR4.0,R100_RR4.5
2026-01-02 00:10:00.404999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02 00:15:00.404999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02 00:20:00.404999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02 00:25:00.404999971,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 00:30:00.404999971,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 00:35:00.404999971,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,
2026-01-02 00:40:00.404999971,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 00:45:00.404999971,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 00:50:00.404999971,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 00:55:00.404999971,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 01:00:00.404999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02 01:05:00.404999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02 01:10:00.404999971,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 01:15:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 01:20:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 01:25:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 01:30:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 01:35:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 01:40:00.404999971,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 01:45:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 01:50:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 01:55:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:00:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:05:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:10:00.404999971,-0.16666666666666663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:15:00.404999971,-0.375,-0.25,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:20:00.404999971,-0.16666666666666663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:25:00.404999971,-0.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:30:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:35:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:40:00.404999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:45:00.404999971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:50:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 02:55:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 03:00:00.404999971,1.1102230246251565e-16,0.20000000000000007,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 03:05:00.404999971,0.0714285714285714,0.2857142857142857,0.16666666666666663,0.33333333333333337,-0.09999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 03:10:00.404999971,-0.16666666666666663,0.0,-0.125,0.0,-0.3571428571428571,-1.0,-1.0,-0.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,
2026-01-02 03:15:00.404999971,0.11111111111111105,-0.1428571428571429,-0.41666666666666674,-0.33333333333333337,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 03:20:00.404999971,-0.0625,-0.5,-0.41666666666666674,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 03:25:00.404999971,-0.16666666666666663,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 03:30:00.404999971,-0.28571428571428575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 03:35:00.404999971,0.11111111111111105,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 03:40:00.404999971,-0.0625,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,
2026-01-02 03:45:00.404999971,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 03:50:00.404999971,-0.16666666666666663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 03:55:00.404999971,-0.28571428571428575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 04:00:00.404999971,-0.16666666666666663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 04:05:00.404999971,-0.16666666666666663,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 04:10:00.404999971,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 04:15:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 04:20:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 04:25:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2026-01-02 04:30:00.404999971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
