<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.05.31	21:05:03.574	0.71658	0.71765			6
2026.05.31	21:05:06.163	0.71661	0.71763			6
2026.05.31	21:05:15.930	0.71665	0.71758			6
2026.05.31	21:05:23.810	0.71668	0.71757			6
2026.05.31	21:05:23.814	0.71676	0.71731			6
2026.05.31	21:05:30.555	0.71661	0.71756			6
2026.05.31	21:05:37.194	0.71664	0.71752			6
2026.05.31	21:06:06.416	0.71658	0.71768			6
2026.05.31	21:06:07.745	0.71659	0.71766			6
2026.05.31	21:06:16.166		0.71767			4
2026.05.31	21:06:18.544		0.71765			4
2026.05.31	21:06:23.454		0.71767			4
2026.05.31	21:06:26.345	0.71658	0.71772			6
2026.05.31	21:06:30.865	0.71659	0.71770			6
2026.05.31	21:06:33.544	0.71660				2
2026.05.31	21:06:35.945		0.71769			4
2026.05.31	21:06:42.386	0.71661	0.71767			6
2026.05.31	21:06:44.065	0.71662	0.71768			6
2026.05.31	21:06:46.444		0.71767			4
2026.05.31	21:06:47.664	0.71663	0.71768			6
2026.05.31	21:06:50.343		0.71767			4
2026.05.31	21:06:54.844	0.71664	0.71766			6
2026.05.31	21:07:00.245	0.71665				2
2026.05.31	21:07:03.865		0.71765			4
2026.05.31	21:07:07.446	0.71666	0.71766			6
2026.05.31	21:07:08.944		0.71765			4
2026.05.31	21:07:14.646	0.71667	0.71764			6
2026.05.31	21:07:17.964		0.71763			4
2026.05.31	21:07:22.466	0.71668	0.71764			6
2026.05.31	21:07:25.444		0.71763			4
2026.05.31	21:07:29.666	0.71669	0.71764			6
2026.05.31	21:07:32.065		0.71763			4
2026.05.31	21:07:33.555	0.71665	0.71774			6
2026.05.31	21:07:34.744		0.71773			4
2026.05.31	21:07:36.565	0.71666	0.71774			6
2026.05.31	21:07:39.244		0.71773			4
2026.05.31	21:07:45.565		0.71772			4
2026.05.31	21:07:47.644	0.71667	0.71773			6
2026.05.31	21:07:55.464		0.71772			4
2026.05.31	21:07:59.044	0.71668				2
2026.05.31	21:08:00.344	0.71668				2
2026.05.31	21:08:06.376		0.71771			4
2026.05.31	21:08:11.364	0.71669				2
2026.05.31	21:08:21.244		0.71770			4
2026.05.31	21:08:27.565	0.71670	0.71771			6
2026.05.31	21:08:30.154		0.71770			4
2026.05.31	21:08:38.064	0.71671				2
2026.05.31	21:08:43.444		0.71769			4
2026.05.31	21:08:58.745	0.71672				2
2026.05.31	21:09:00.864	0.71672				2
2026.05.31	21:09:10.144		0.71768			4
2026.05.31	21:09:16.164	0.71673	0.71769			6
2026.05.31	21:09:21.265		0.71768			4
2026.05.31	21:09:33.565	0.71674	0.71769			6
2026.05.31	21:09:35.435	0.71672	0.71770			6
2026.05.31	21:09:36.628		0.71772			4
2026.05.31	21:09:45.287	0.71674	0.71768			6
2026.05.31	21:09:54.844		0.71767			4
2026.05.31	21:09:56.378	0.71675				2
2026.05.31	21:10:01.916	0.71675				2
2026.05.31	21:10:07.765		0.71766			4
2026.05.31	21:10:26.364	0.71680	0.71756			6
2026.05.31	21:10:36.245		0.71755			4
2026.05.31	21:10:51.378	0.71681	0.71754			6
2026.05.31	21:11:01.465	0.71681	0.71753			6
2026.05.31	21:11:12.267	0.71682	0.71754			6
2026.05.31	21:11:21.866		0.71753			4
2026.05.31	21:11:37.064	0.71683	0.71754			6
2026.05.31	21:11:44.966		0.71753			4
