<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.05	00:00:00.234	1.16118	1.16126			6
2026.06.05	00:00:00.256	1.16116	1.16124			6
2026.06.05	00:00:00.777	1.16120	1.16128			6
2026.06.05	00:00:01.789	1.16119	1.16127			6
2026.06.05	00:00:03.181	1.16118	1.16126			6
2026.06.05	00:00:04.208	1.16120	1.16128			6
2026.06.05	00:00:04.759	1.16118	1.16126			6
2026.06.05	00:00:07.835	1.16117	1.16125			6
2026.06.05	00:00:10.190	1.16118	1.16126			6
2026.06.05	00:00:11.936	1.16119	1.16127			6
2026.06.05	00:00:14.313	1.16118	1.16126			6
2026.06.05	00:00:16.466	1.16117	1.16125			6
2026.06.05	00:00:17.583	1.16118	1.16126			6
2026.06.05	00:00:17.686	1.16120	1.16128			6
2026.06.05	00:00:23.056	1.16118	1.16126			6
2026.06.05	00:00:23.648	1.16117	1.16125			6
2026.06.05	00:00:25.069	1.16118	1.16126			6
2026.06.05	00:00:25.145	1.16121	1.16129			6
2026.06.05	00:00:29.519	1.16122	1.16130			6
2026.06.05	00:00:30.524	1.16123	1.16131			6
2026.06.05	00:00:31.293	1.16120	1.16128			6
2026.06.05	00:00:34.609	1.16119	1.16127			6
2026.06.05	00:00:38.519	1.16121	1.16129			6
2026.06.05	00:00:38.542	1.16123	1.16131			6
2026.06.05	00:00:38.565	1.16124	1.16132			6
2026.06.05	00:00:43.535	1.16123	1.16131			6
2026.06.05	00:00:50.561	1.16122	1.16130			6
2026.06.05	00:00:51.783	1.16123	1.16131			6
2026.06.05	00:00:53.176	1.16124	1.16132			6
2026.06.05	00:00:57.617	1.16126	1.16134			6
2026.06.05	00:00:58.620	1.16127	1.16135			6
2026.06.05	00:01:00.184	1.16127				2
2026.06.05	00:01:00.301	1.16128	1.16136			6
2026.06.05	00:01:01.678	1.16126	1.16134			6
2026.06.05	00:01:01.708	1.16124	1.16132			6
2026.06.05	00:01:02.282	1.16123	1.16131			6
2026.06.05	00:01:02.323	1.16121	1.16129			6
2026.06.05	00:01:02.336	1.16120	1.16128			6
2026.06.05	00:01:02.342	1.16118	1.16126			6
2026.06.05	00:01:02.350	1.16117	1.16125			6
2026.06.05	00:01:02.366	1.16116	1.16124			6
2026.06.05	00:01:02.386	1.16114	1.16122			6
2026.06.05	00:01:02.389	1.16113	1.16121			6
2026.06.05	00:01:03.156	1.16116	1.16124			6
2026.06.05	00:01:03.368	1.16118	1.16126			6
2026.06.05	00:01:03.718	1.16115	1.16123			6
2026.06.05	00:01:04.307	1.16117	1.16125			6
2026.06.05	00:01:05.415	1.16118	1.16126			6
2026.06.05	00:01:11.799	1.16119	1.16127			6
2026.06.05	00:01:11.816	1.16121	1.16129			6
2026.06.05	00:01:13.283	1.16122	1.16130			6
2026.06.05	00:01:14.239	1.16119	1.16127			6
2026.06.05	00:01:14.936	1.16121	1.16129			6
2026.06.05	00:01:15.974	1.16122	1.16130			6
2026.06.05	00:01:17.157	1.16121	1.16129			6
2026.06.05	00:01:21.498	1.16120	1.16128			6
2026.06.05	00:01:22.838	1.16121	1.16129			6
2026.06.05	00:01:23.500	1.16123	1.16131			6
2026.06.05	00:01:24.842	1.16122	1.16130			6
2026.06.05	00:01:25.049	1.16120	1.16128			6
2026.06.05	00:01:25.177	1.16119	1.16127			6
2026.06.05	00:01:26.383	1.16118	1.16126			6
2026.06.05	00:01:27.159	1.16121	1.16129			6
2026.06.05	00:01:29.946	1.16120	1.16128			6
2026.06.05	00:01:33.129	1.16119	1.16127			6
2026.06.05	00:01:34.253	1.16118	1.16126			6
2026.06.05	00:01:35.314	1.16119	1.16127			6
2026.06.05	00:01:36.533	1.16120	1.16128			6
2026.06.05	00:01:43.908	1.16118	1.16126			6
2026.06.05	00:01:45.734	1.16117	1.16125			6
2026.06.05	00:01:46.921	1.16118	1.16126			6
2026.06.05	00:01:49.971	1.16120	1.16128			6
2026.06.05	00:01:51.178	1.16121	1.16129			6
2026.06.05	00:01:51.212	1.16118	1.16126			6
2026.06.05	00:01:51.241	1.16116	1.16124			6
2026.06.05	00:01:51.823	1.16119	1.16127			6
2026.06.05	00:01:52.846	1.16120	1.16128			6
2026.06.05	00:01:54.589	1.16118	1.16126			6
2026.06.05	00:01:55.364	1.16116	1.16124			6
2026.06.05	00:01:55.425	1.16115	1.16123			6
2026.06.05	00:01:56.574	1.16114	1.16122			6
2026.06.05	00:01:58.716	1.16113	1.16121			6
2026.06.05	00:02:00.015	1.16112	1.16120			6
2026.06.05	00:02:01.186	1.16113	1.16121			6
2026.06.05	00:02:01.495	1.16115	1.16123			6
2026.06.05	00:02:02.531	1.16114	1.16122			6
2026.06.05	00:02:03.615	1.16115	1.16123			6
2026.06.05	00:02:05.014	1.16113	1.16121			6
2026.06.05	00:02:06.026	1.16114	1.16122			6
2026.06.05	00:02:07.112	1.16113	1.16121			6
2026.06.05	00:02:09.917	1.16112	1.16120			6
2026.06.05	00:02:16.359	1.16114	1.16122			6
2026.06.05	00:02:16.389	1.16115	1.16123			6
2026.06.05	00:02:18.234	1.16117	1.16125			6
2026.06.05	00:02:19.011	1.16118	1.16126			6
2026.06.05	00:02:19.045	1.16119	1.16127			6
2026.06.05	00:02:20.164	1.16120	1.16128			6
2026.06.05	00:02:29.673	1.16121	1.16129			6
2026.06.05	00:02:30.673	1.16122	1.16130			6
2026.06.05	00:02:35.438	1.16121	1.16129			6
2026.06.05	00:02:38.933	1.16122	1.16130			6
2026.06.05	00:02:42.316	1.16124	1.16132			6
2026.06.05	00:02:43.409	1.16125	1.16133			6
2026.06.05	00:02:45.485	1.16124	1.16132			6
2026.06.05	00:02:49.660	1.16125	1.16133			6
2026.06.05	00:02:55.206	1.16124	1.16132			6
2026.06.05	00:02:59.390	1.16123	1.16131			6
2026.06.05	00:03:00.423	1.16125	1.16133			6
2026.06.05	00:03:03.877	1.16124	1.16132			6
2026.06.05	00:03:11.162	1.16122	1.16130			6
2026.06.05	00:03:14.843	1.16123	1.16131			6
2026.06.05	00:03:49.981	1.16125	1.16133			6
2026.06.05	00:03:51.133	1.16126	1.16134			6
2026.06.05	00:03:53.149	1.16123	1.16131			6
2026.06.05	00:03:57.419	1.16122	1.16130			6
2026.06.05	00:03:59.013	1.16123	1.16131			6
2026.06.05	00:03:59.707	1.16120	1.16128			6
2026.06.05	00:03:59.726	1.16119	1.16127			6
2026.06.05	00:03:59.767	1.16118	1.16126			6
2026.06.05	00:04:00.453	1.16120	1.16128			6
2026.06.05	00:04:01.613	1.16122	1.16130			6
2026.06.05	00:04:02.355	1.16123	1.16131			6
2026.06.05	00:04:08.074	1.16122	1.16130			6
2026.06.05	00:04:10.332	1.16123	1.16131			6
2026.06.05	00:04:10.979	1.16121	1.16129			6
2026.06.05	00:04:12.866	1.16122	1.16130			6
2026.06.05	00:04:18.386	1.16124	1.16132			6
2026.06.05	00:04:18.413	1.16126	1.16134			6
2026.06.05	00:04:19.062	1.16127	1.16135			6
2026.06.05	00:04:20.227	1.16128	1.16136			6
2026.06.05	00:04:23.062	1.16127	1.16135			6
2026.06.05	00:04:27.576	1.16128	1.16136			6
2026.06.05	00:04:31.021	1.16127	1.16135			6
2026.06.05	00:04:38.893	1.16126	1.16134			6
2026.06.05	00:04:40.791	1.16128	1.16136			6
2026.06.05	00:04:40.830	1.16130	1.16138			6
2026.06.05	00:04:41.240	1.16131	1.16139			6
2026.06.05	00:04:41.431	1.16133	1.16141			6
2026.06.05	00:04:45.501	1.16135	1.16143			6
2026.06.05	00:04:46.897	1.16136	1.16144			6
2026.06.05	00:04:50.492	1.16135	1.16143			6
2026.06.05	00:04:51.601	1.16133	1.16141			6
2026.06.05	00:04:52.642	1.16135	1.16143			6
2026.06.05	00:04:53.663	1.16134	1.16142			6
2026.06.05	00:04:59.498	1.16131	1.16139			6
2026.06.05	00:04:59.517	1.16130	1.16138			6
2026.06.05	00:04:59.571	1.16129	1.16137			6
2026.06.05	00:05:00.799	1.16128	1.16136			6
2026.06.05	00:05:05.466	1.16129	1.16137			6
2026.06.05	00:05:06.999	1.16131	1.16139			6
2026.06.05	00:05:08.948	1.16132	1.16140			6
2026.06.05	00:05:14.158	1.16133	1.16141			6
2026.06.05	00:05:28.929	1.16135	1.16143			6
2026.06.05	00:05:29.582	1.16137	1.16145			6
2026.06.05	00:05:29.772	1.16138	1.16146			6
2026.06.05	00:05:38.675	1.16136	1.16144			6
2026.06.05	00:05:38.716	1.16134	1.16142			6
2026.06.05	00:05:40.005	1.16133	1.16141			6
2026.06.05	00:05:41.220	1.16134	1.16142			6
2026.06.05	00:05:42.578	1.16133	1.16141			6
2026.06.05	00:05:44.001	1.16134	1.16142			6
2026.06.05	00:05:45.687	1.16133	1.16141			6
2026.06.05	00:05:51.572	1.16134	1.16142			6
2026.06.05	00:06:00.458	1.16133	1.16141			6
2026.06.05	00:06:09.223	1.16134	1.16142			6
2026.06.05	00:06:10.399	1.16133	1.16141			6
2026.06.05	00:06:13.012	1.16131	1.16139			6
2026.06.05	00:06:14.021	1.16132	1.16140			6
2026.06.05	00:06:14.139	1.16130	1.16138			6
2026.06.05	00:06:14.170	1.16128	1.16136			6
2026.06.05	00:06:18.375	1.16131	1.16139			6
2026.06.05	00:06:18.407	1.16132	1.16140			6
2026.06.05	00:06:19.712	1.16133	1.16141			6
2026.06.05	00:06:20.951	1.16130	1.16138			6
