<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.05.31	21:05:18.465	0.59690	0.59750			6
2026.05.31	21:05:30.546	0.59691	0.59751			6
2026.05.31	21:06:06.429	0.59692	0.59752			6
2026.05.31	21:06:35.666	0.59688	0.59763			6
2026.05.31	21:06:42.845	0.59686	0.59770			6
2026.05.31	21:06:46.162	0.59685	0.59769			6
2026.05.31	21:06:48.776	0.59689	0.59773			6
2026.05.31	21:06:50.365	0.59684	0.59768			6
2026.05.31	21:07:02.668	0.59684				2
2026.05.31	21:07:06.866	0.59683	0.59770			6
2026.05.31	21:07:43.776	0.59684	0.59771			6
2026.05.31	21:07:45.879	0.59683	0.59770			6
2026.05.31	21:08:00.351	0.59683				2
2026.05.31	21:08:45.885		0.59770			4
2026.05.31	21:09:02.274	0.59683				2
2026.05.31	21:09:05.886	0.59684	0.59771			6
2026.05.31	21:09:32.369		0.59774			4
2026.05.31	21:09:36.632	0.59681	0.59771			6
2026.05.31	21:09:39.545	0.59679	0.59769			6
2026.05.31	21:10:01.924	0.59679				2
2026.05.31	21:10:45.903		0.59769			4
2026.05.31	21:11:01.935	0.59679				2
2026.05.31	21:11:15.905		0.59766			4
2026.05.31	21:11:39.565	0.59680	0.59764			6
2026.05.31	21:11:59.646	0.59681	0.59765			6
2026.05.31	21:12:04.233	0.59683	0.59758			6
2026.05.31	21:12:22.765	0.59682	0.59757			6
2026.05.31	21:12:29.922	0.59681	0.59756			6
2026.05.31	21:12:48.327	0.59684	0.59759			6
2026.05.31	21:12:49.747	0.59685	0.59760			6
2026.05.31	21:13:05.917	0.59685				2
2026.05.31	21:13:15.920	0.59686	0.59761			6
2026.05.31	21:13:22.741	0.59687	0.59762			6
2026.05.31	21:14:13.465	0.59687				2
2026.05.31	21:14:37.207		0.59762			4
2026.05.31	21:14:45.246	0.59691	0.59751			6
2026.05.31	21:15:01.166	0.59691				2
2026.05.31	21:15:03.737	0.59690	0.59750			6
2026.05.31	21:15:10.445	0.59691	0.59751			6
2026.05.31	21:16:07.744	0.59691				2
2026.05.31	21:16:11.090		0.59751			4
2026.05.31	21:17:02.665	0.59691				2
2026.05.31	21:17:12.084		0.59751			4
2026.05.31	21:17:33.378	0.59700	0.59761			6
2026.05.31	21:17:35.118	0.59695	0.59771			6
2026.05.31	21:17:37.204	0.59696	0.59767			6
2026.05.31	21:17:40.091	0.59697				2
2026.05.31	21:17:42.371	0.59696	0.59769			6
2026.05.31	21:17:47.949	0.59698				2
2026.05.31	21:17:58.188	0.59699	0.59768			6
2026.05.31	21:17:58.202	0.59694	0.59789			6
2026.05.31	21:18:03.588	0.59685	0.59813			6
2026.05.31	21:18:05.988	0.59686	0.59812			6
2026.05.31	21:18:07.657		0.59814			4
2026.05.31	21:18:12.548	0.59688	0.59815			6
2026.05.31	21:18:19.374	0.59690	0.59812			6
2026.05.31	21:18:29.048	0.59691	0.59815			6
2026.05.31	21:18:37.203	0.59693	0.59813			6
2026.05.31	21:18:44.365	0.59694				2
2026.05.31	21:18:49.449	0.59695	0.59814			6
2026.05.31	21:18:53.184		0.59811			4
2026.05.31	21:19:06.545	0.59696	0.59812			6
2026.05.31	21:19:11.365	0.59697	0.59813			6
2026.05.31	21:19:18.963	0.59698				2
2026.05.31	21:19:21.845		0.59812			4
2026.05.31	21:19:25.165	0.59699	0.59813			6
2026.05.31	21:19:28.765		0.59812			4
2026.05.31	21:19:35.365	0.59700	0.59813			6
2026.05.31	21:19:36.865		0.59812			4
2026.05.31	21:19:39.538		0.59809			4
2026.05.31	21:19:42.424	0.59701	0.59808			6
2026.05.31	21:19:44.065		0.59807			4
2026.05.31	21:19:50.355	0.59702				2
2026.05.31	21:19:58.465	0.59703				2
2026.05.31	21:20:00.245	0.59696	0.59831			6
2026.05.31	21:20:01.766	0.59697	0.59832			6
2026.05.31	21:20:04.978		0.59834			4
2026.05.31	21:20:08.964	0.59698	0.59832			6
2026.05.31	21:20:15.565	0.59699				2
2026.05.31	21:20:19.387		0.59830			4
2026.05.31	21:20:22.468	0.59700	0.59831			6
2026.05.31	21:20:24.844		0.59830			4
2026.05.31	21:20:25.978		0.59829			4
2026.05.31	21:20:29.944		0.59832			4
2026.05.31	21:20:33.264	0.59701	0.59833			6
2026.05.31	21:20:35.945		0.59832			4
2026.05.31	21:20:37.201	0.59702	0.59831			6
2026.05.31	21:20:40.836		0.59829			4
2026.05.31	21:20:42.749	0.59703				2
2026.05.31	21:20:44.965		0.59828			4
2026.05.31	21:20:48.265		0.59827			4
2026.05.31	21:20:49.448	0.59704	0.59828			6
2026.05.31	21:20:53.983		0.59826			4
2026.05.31	21:20:57.247	0.59705				2
2026.05.31	21:21:02.964	0.59705				2
2026.05.31	21:21:05.665	0.59706	0.59827			6
2026.05.31	21:21:08.346		0.59826			4
2026.05.31	21:21:14.066	0.59707				2
2026.05.31	21:21:25.988		0.59827			4
2026.05.31	21:21:28.468	0.59708	0.59824			6
2026.05.31	21:21:34.745	0.59709	0.59825			6
2026.05.31	21:21:37.200		0.59823			4
2026.05.31	21:21:40.837		0.59825			4
2026.05.31	21:21:47.712	0.59710				2
2026.05.31	21:21:48.968	0.59709	0.59830			6
2026.05.31	21:21:50.101	0.59708	0.59835			6
2026.05.31	21:21:51.451	0.59709	0.59826			6
2026.05.31	21:21:52.601	0.59710				2
2026.05.31	21:21:53.752	0.59709	0.59828			6
2026.05.31	21:21:54.864	0.59710	0.59827			6
2026.05.31	21:21:56.096		0.59826			4
2026.05.31	21:21:58.182	0.59709	0.59832			6
2026.05.31	21:22:02.951	0.59709	0.59830			6
2026.05.31	21:22:05.648	0.59710	0.59832			6
2026.05.31	21:22:11.937		0.59830			4
2026.05.31	21:22:15.248	0.59711	0.59831			6
2026.05.31	21:22:18.987		0.59829			4
2026.05.31	21:22:22.165	0.59713	0.59819			6
2026.05.31	21:22:26.066	0.59714	0.59821			6
