Name,Symbol,Date,Time (+2:00 GMT),Impact,Link,id,,,
MPC Member Greene Speaks,GBP,2026/05/31,12:30pm,Low,https://www.forexfactory.com/calendar/894-uk-mpc-member-greene-speaks,51389098-a1a1-45f9-be13-a09734de4137,,,
FOMC Member Waller Speaks,USD,2026/05/31,12:30pm,Low,https://www.forexfactory.com/calendar/839-us-fomc-member-waller-speaks,66cbb712-5cde-4c40-9595-0b49a824a9b6,,,
Bank Holiday,NZD,2026/05/31,8:00pm,Holiday,https://www.forexfactory.com/calendar/395-nz-bank-holiday,06d2be2a-1e98-4d0a-8eb2-121d8ffadfd5,,,
Capital Spending q/y,JPY,2026/05/31,11:50pm,Low,https://www.forexfactory.com/calendar/384-jn-capital-spending-qy,c01b9385-b967-4df2-a983-2d751440edbe,,,
Final Manufacturing PMI,JPY,2026/06/01,12:30am,Low,https://www.forexfactory.com/calendar/274-jn-final-manufacturing-pmi,df9e8ba3-6ab1-47d2-97d3-c8a7b414e1e2,,,
FOMC Member Powell Speaks,USD,2026/06/01,12:30am,Medium,https://www.forexfactory.com/calendar/717-us-fomc-member-powell-speaks,b0e3fbc7-df1a-441b-8490-54e60aa6ac9d,,,
MI Inflation Gauge m/m,AUD,2026/06/01,1:00am,Low,https://www.forexfactory.com/calendar/294-au-mi-inflation-gauge-mm,2d714bb7-c18d-488b-9440-399753f850d5,,,
ANZ Job Advertisements m/m,AUD,2026/06/01,1:30am,Low,https://www.forexfactory.com/calendar/234-au-anz-job-advertisements-mm,1f9ca207-721d-4766-b8f6-f66cfc1b98f9,,,
RatingDog Manufacturing PMI,CNY,2026/06/01,1:45am,Low,https://www.forexfactory.com/calendar/448-ch-ratingdog-manufacturing-pmi,dc3e2b52-50d9-4757-b469-e2ac64aa8738,,,
German Retail Sales m/m,EUR,2026/06/01,6:00am,Low,https://www.forexfactory.com/calendar/107-ge-retail-sales-mm,7c271d96-aeb6-422e-9f6e-793e16b9ea01,,,
Nationwide HPI m/m,GBP,2026/06/01,6:00am,Low,https://www.forexfactory.com/calendar/242-uk-nationwide-hpi-mm,8b834c29-58c8-4141-874e-3f3808c8f36f,,,
Commodity Prices y/y,AUD,2026/06/01,6:30am,Low,https://www.forexfactory.com/calendar/245-au-commodity-prices-yy,e94e2276-6f77-4963-ae09-bd2839552876,,,
Retail Sales y/y,CHF,2026/06/01,6:30am,Low,https://www.forexfactory.com/calendar/109-sz-retail-sales-yy,1054ef6d-6b81-4373-a8e7-879b4caf3a62,,,
GDP q/q,CHF,2026/06/01,7:00am,Low,https://www.forexfactory.com/calendar/32-sz-gdp-qq,42b159c2-1426-4792-9a87-c7c408c56af8,,,
Spanish Manufacturing PMI,EUR,2026/06/01,7:15am,Low,https://www.forexfactory.com/calendar/557-sp-manufacturing-pmi,3e36c337-0f97-4900-83f4-d868586b1942,,,
Manufacturing PMI,CHF,2026/06/01,7:30am,Low,https://www.forexfactory.com/calendar/273-sz-manufacturing-pmi,c60e4cbb-ba4d-4be5-ab0e-38024f688a2e,,,
Italian Manufacturing PMI,EUR,2026/06/01,7:45am,Low,https://www.forexfactory.com/calendar/547-it-manufacturing-pmi,5c501b77-74f9-4fed-b25e-c25d7575d486,,,
French Final Manufacturing PMI,EUR,2026/06/01,7:50am,Low,https://www.forexfactory.com/calendar/617-fr-final-manufacturing-pmi,e33bf533-3194-4935-980e-56779b58433c,,,
German Final Manufacturing PMI,EUR,2026/06/01,7:55am,Low,https://www.forexfactory.com/calendar/618-ge-final-manufacturing-pmi,e5546e48-e957-40df-a7df-8806bef9e1cc,,,
Final Manufacturing PMI,EUR,2026/06/01,8:00am,Low,https://www.forexfactory.com/calendar/264-ez-final-manufacturing-pmi,53a55eaa-639a-4b43-99ef-0c592756d7ae,,,
M3 Money Supply y/y,EUR,2026/06/01,8:00am,Low,https://www.forexfactory.com/calendar/375-ez-m3-money-supply-yy,b2d81a49-ae25-438c-859a-6da06f40c76e,,,
Private Loans y/y,EUR,2026/06/01,8:00am,Low,https://www.forexfactory.com/calendar/365-ez-private-loans-yy,a70f433b-a8cc-4d6d-b6da-74dcdf338751,,,
Final Manufacturing PMI,GBP,2026/06/01,8:30am,Low,https://www.forexfactory.com/calendar/249-uk-final-manufacturing-pmi,7e9a49d9-d07b-4a76-add0-6f1d9e97faf8,,,
