<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.05.31	21:05:13.245	1.37960	1.38033			6
2026.05.31	21:05:30.543	1.37965	1.38030			6
2026.05.31	21:05:37.203	1.37967	1.38029			6
2026.05.31	21:05:52.924	1.37954	1.38036			6
2026.05.31	21:05:55.056	1.37945	1.38032			6
2026.05.31	21:05:57.081	1.37946	1.38030			6
2026.05.31	21:05:58.259	1.37947				2
2026.05.31	21:06:00.080	1.37948	1.38028			6
2026.05.31	21:06:01.949	1.37949	1.38027			6
2026.05.31	21:06:05.081	1.37950	1.38024			6
2026.05.31	21:06:06.432	1.37946	1.38026			6
2026.05.31	21:06:08.758		1.38024			4
2026.05.31	21:06:12.659	1.37947	1.38022			6
2026.05.31	21:06:21.959	1.37951	1.38019			6
2026.05.31	21:06:30.090	1.37953	1.38017			6
2026.05.31	21:06:35.459		1.38015			4
2026.05.31	21:06:37.204	1.37954				2
2026.05.31	21:06:39.923		1.38014			4
2026.05.31	21:06:49.558	1.37955	1.38013			6
2026.05.31	21:06:52.354		1.38012			4
2026.05.31	21:07:03.059	1.37956	1.38011			6
2026.05.31	21:07:06.658	1.37957				2
2026.05.31	21:07:08.459	1.37956	1.38010			6
2026.05.31	21:07:12.358	1.37957				2
2026.05.31	21:07:26.159		1.38009			4
2026.05.31	21:07:32.458	1.37958				2
2026.05.31	21:07:34.912		1.38008			4
2026.05.31	21:07:42.359		1.38007			4
2026.05.31	21:07:49.558	1.37959	1.38008			6
2026.05.31	21:07:59.159		1.38007			4
2026.05.31	21:08:00.351	1.37959				2
2026.05.31	21:08:07.859		1.38006			4
2026.05.31	21:08:37.205	1.37956	1.38007			6
2026.05.31	21:09:37.199	1.37957	1.38004			6
2026.05.31	21:09:55.904	1.37958				2
2026.05.31	21:10:00.960	1.37958				2
2026.05.31	21:10:02.903		1.38006			4
2026.05.31	21:10:07.279		1.38007			4
2026.05.31	21:10:19.916	1.37960	1.38006			6
2026.05.31	21:10:26.458	1.37961				2
2026.05.31	21:10:35.479		1.38005			4
2026.05.31	21:10:37.202	1.37962				2
2026.05.31	21:11:00.959	1.37963	1.38004			6
2026.05.31	21:11:27.050		1.38003			4
2026.05.31	21:12:03.246	1.37963				2
2026.05.31	21:12:29.926		1.38003			4
2026.05.31	21:12:46.978	1.37957	1.38007			6
2026.05.31	21:12:48.653	1.37958				2
2026.05.31	21:13:04.920	1.37961	1.38005			6
2026.05.31	21:13:11.462	1.37962	1.38004			6
2026.05.31	21:13:37.201		1.38003			4
2026.05.31	21:13:47.779	1.37963				2
2026.05.31	21:14:37.206	1.37962	1.38003			6
2026.05.31	21:14:46.262	1.37963				2
2026.05.31	21:15:02.568	1.37961	1.38005			6
2026.05.31	21:15:03.739	1.37960				2
2026.05.31	21:15:06.904	1.37958	1.38006			6
2026.05.31	21:15:08.350	1.37960	1.38005			6
2026.05.31	21:15:11.761	1.37961	1.38004			6
2026.05.31	21:15:12.390	1.37941	1.38011			6
2026.05.31	21:15:16.263	1.37933	1.38013			6
2026.05.31	21:15:22.845	1.37935	1.38010			6
2026.05.31	21:15:26.626		1.38008			4
2026.05.31	21:15:37.199	1.37937	1.38004			6
2026.05.31	21:15:39.062	1.37938				2
2026.05.31	21:15:42.062		1.38003			4
2026.05.31	21:15:49.923	1.37939	1.38001			6
2026.05.31	21:15:55.562	1.37940	1.38000			6
2026.05.31	21:16:06.834	1.37941	1.37998			6
2026.05.31	21:16:11.158		1.37997			4
2026.05.31	21:16:12.390	1.37942				2
2026.05.31	21:16:13.628	1.37947	1.37996			6
2026.05.31	21:16:17.179	1.37948				2
2026.05.31	21:16:20.491	1.37949				2
2026.05.31	21:16:32.762	1.37950	1.37995			6
2026.05.31	21:16:44.924		1.37994			4
2026.05.31	21:17:01.582	1.37951				2
2026.05.31	21:17:12.392	1.37950	1.37993			6
2026.05.31	21:17:23.159		1.37994			4
2026.05.31	21:17:34.282	1.37951				2
2026.05.31	21:17:41.049	1.37946				2
2026.05.31	21:17:44.526	1.37947				2
2026.05.31	21:17:51.659	1.37948				2
2026.05.31	21:17:57.628	1.37949				2
2026.05.31	21:18:13.628	1.37950	1.37993			6
2026.05.31	21:18:37.199		1.37992			4
2026.05.31	21:19:05.463	1.37952	1.37994			6
2026.05.31	21:19:29.928	1.37954				2
2026.05.31	21:20:00.058	1.37954				2
2026.05.31	21:20:12.850		1.37994			4
2026.05.31	21:20:19.283	1.37943	1.37998			6
2026.05.31	21:20:24.928		1.37997			4
2026.05.31	21:20:31.910		1.37995			4
2026.05.31	21:20:37.199	1.37944				2
2026.05.31	21:20:42.359	1.37945	1.37993			6
2026.05.31	21:20:47.182	1.37943				2
