<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.05.31	21:06:37.204	0.78057	0.78137			6
2026.05.31	21:06:48.938	0.77961	0.78261			6
2026.05.31	21:07:37.204	0.77967	0.78267			6
2026.05.31	21:07:48.944	0.77975	0.78250			6
2026.05.31	21:08:37.205	0.77998	0.78229			6
2026.05.31	21:08:49.982	0.77970	0.78270			6
2026.05.31	21:09:35.438	0.77969	0.78265			6
2026.05.31	21:09:37.204	0.77970				2
2026.05.31	21:09:49.982	0.77980	0.78253			6
2026.05.31	21:10:25.238	0.77998	0.78234			6
2026.05.31	21:10:26.789	0.78000	0.78235			6
2026.05.31	21:10:32.946	0.78003	0.78229			6
2026.05.31	21:10:37.202	0.78005				2
2026.05.31	21:10:41.623	0.78007	0.78227			6
2026.05.31	21:11:15.242	0.78013	0.78219			6
2026.05.31	21:11:25.243	0.78012				2
2026.05.31	21:11:27.059	0.78018	0.78212			6
2026.05.31	21:11:35.242	0.78014	0.78217			6
2026.05.31	21:11:37.064	0.78015	0.78215			6
2026.05.31	21:11:52.431	0.78016	0.78216			6
2026.05.31	21:11:55.310	0.78017	0.78214			6
2026.05.31	21:12:04.230	0.78019	0.78212			6
2026.05.31	21:12:05.245		0.78213			4
2026.05.31	21:12:06.914	0.78021	0.78210			6
2026.05.31	21:12:12.578	0.78023	0.78207			6
2026.05.31	21:12:14.590	0.78001	0.78237			6
2026.05.31	21:12:22.791	0.78006	0.78231			6
2026.05.31	21:12:26.330	0.78005	0.78233			6
2026.05.31	21:12:27.664	0.78006				2
2026.05.31	21:12:29.925		0.78232			4
2026.05.31	21:12:33.530	0.78009	0.78228			6
2026.05.31	21:12:35.291	0.78008	0.78231			6
2026.05.31	21:12:45.255	0.78010	0.78226			6
2026.05.31	21:12:46.329	0.77990	0.78290			6
2026.05.31	21:12:48.407	0.77992	0.78292			6
2026.05.31	21:12:56.123	0.77974	0.78274			6
2026.05.31	21:13:04.398	0.77975	0.78275			6
2026.05.31	21:13:24.929	0.77976	0.78276			6
2026.05.31	21:13:37.201	0.77977	0.78277			6
2026.05.31	21:14:01.534	0.77976	0.78276			6
2026.05.31	21:14:11.685	0.77975	0.78275			6
2026.05.31	21:14:21.511	0.77976	0.78276			6
2026.05.31	21:14:37.205	0.77977	0.78277			6
2026.05.31	21:15:02.324	0.77986	0.78286			6
2026.05.31	21:15:03.680	0.77989	0.78289			6
2026.05.31	21:15:04.404	0.77987	0.78287			6
2026.05.31	21:15:06.904	0.77990	0.78290			6
2026.05.31	21:15:21.584	0.77980	0.78280			6
2026.05.31	21:15:39.830	0.77981	0.78281			6
2026.05.31	21:16:01.909	0.77982	0.78282			6
2026.05.31	21:16:06.888	0.77983	0.78283			6
2026.05.31	21:16:46.448	0.77982	0.78282			6
2026.05.31	21:17:04.241	0.77982				2
2026.05.31	21:17:23.091	0.77984	0.78284			6
2026.05.31	21:17:28.964	0.77981	0.78281			6
2026.05.31	21:17:40.083	0.78003	0.78251			6
2026.05.31	21:17:45.296	0.78016	0.78234			6
2026.05.31	21:17:49.756	0.78011	0.78240			6
2026.05.31	21:18:01.444	0.78019	0.78229			6
2026.05.31	21:18:11.669	0.78021	0.78226			6
2026.05.31	21:18:21.670	0.78010	0.78240			6
2026.05.31	21:18:28.081	0.78013	0.78235			6
2026.05.31	21:18:31.733	0.78016	0.78232			6
2026.05.31	21:18:37.206	0.78007	0.78245			6
2026.05.31	21:18:40.088	0.78011	0.78239			6
2026.05.31	21:18:45.782	0.78016	0.78234			6
2026.05.31	21:18:56.800	0.78024	0.78222			6
2026.05.31	21:19:06.033	0.78027	0.78218			6
2026.05.31	21:19:24.741	0.78012	0.78237			6
2026.05.31	21:19:30.085	0.78010	0.78239			6
2026.05.31	21:19:35.311	0.78012				2
2026.05.31	21:19:37.209	0.78015	0.78234			6
2026.05.31	21:19:41.817	0.78017	0.78233			6
2026.05.31	21:20:11.670	0.78023	0.78226			6
2026.05.31	21:20:37.206	0.78028	0.78220			6
2026.05.31	21:20:45.409	0.78031	0.78217			6
2026.05.31	21:21:32.684	0.78037	0.78211			6
2026.05.31	21:21:37.206	0.78038	0.78209			6
2026.05.31	21:21:45.412	0.78037	0.78212			6
2026.05.31	21:22:04.253	0.78037	0.78211			6
2026.05.31	21:22:06.997	0.78038	0.78210			6
2026.05.31	21:22:37.203	0.78040	0.78208			6
2026.05.31	21:23:37.206	0.78045	0.78202			6
2026.05.31	21:24:37.201	0.78049	0.78198			6
2026.05.31	21:25:12.687	0.78051	0.78195			6
2026.05.31	21:25:37.207	0.78053	0.78194			6
2026.05.31	21:26:14.967	0.78044	0.78201			6
2026.05.31	21:26:37.210	0.78046	0.78198			6
2026.05.31	21:27:04.272	0.78046	0.78196			6
2026.05.31	21:27:37.200	0.78052	0.78191			6
2026.05.31	21:27:45.426	0.78043	0.78198			6
2026.05.31	21:27:47.347	0.78044	0.78197			6
2026.05.31	21:27:56.635	0.78043	0.78199			6
2026.05.31	21:27:57.692		0.78198			4
2026.05.31	21:28:04.943	0.78046	0.78196			6
2026.05.31	21:28:37.201	0.78048	0.78193			6
2026.05.31	21:29:37.202	0.78051	0.78190			6
2026.05.31	21:30:18.689	0.78053	0.78188			6
2026.05.31	21:30:37.203	0.78054				2
2026.05.31	21:30:42.696	0.78055	0.78187			6
2026.05.31	21:30:45.429	0.78051	0.78190			6
2026.05.31	21:30:57.356		0.78189			4
2026.05.31	21:31:00.227	0.78051				2
2026.05.31	21:31:02.737	0.77990	0.78267			6
2026.05.31	21:31:20.648	0.78009	0.78249			6
2026.05.31	21:31:37.200	0.78013	0.78244			6
2026.05.31	21:31:46.085		0.78245			4
2026.05.31	21:32:04.277	0.78013	0.78249			6
2026.05.31	21:32:26.452	0.78020	0.78241			6
2026.05.31	21:32:37.208	0.78017				2
2026.05.31	21:32:45.431	0.78018	0.78242			6
2026.05.31	21:32:46.980	0.78030	0.78225			6
2026.05.31	21:32:48.181	0.78016	0.78243			6
2026.05.31	21:33:06.087	0.77998	0.78266			6
2026.05.31	21:33:09.376	0.77993	0.78293			6
2026.05.31	21:33:13.731	0.77994	0.78294			6
2026.05.31	21:33:29.613	0.77993	0.78293			6
2026.05.31	21:33:35.647	0.77994	0.78294			6
2026.05.31	21:33:37.210	0.77995	0.78295			6
2026.05.31	21:34:01.089	0.77995				2
2026.05.31	21:34:03.931	0.77996	0.78296			6
2026.05.31	21:34:29.902	0.77993	0.78293			6
2026.05.31	21:34:32.599	0.77995	0.78295			6
2026.05.31	21:34:36.455	0.77994	0.78294			6
2026.05.31	21:34:37.909	0.77996	0.78283			6
