<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.05.31	21:05:15.564	159.317	159.436			6
2026.05.31	21:05:30.084	159.325	159.431			6
2026.05.31	21:05:31.263	159.321	159.418			6
2026.05.31	21:05:35.880	159.323				2
2026.05.31	21:05:37.202	159.324	159.417			6
2026.05.31	21:05:45.881	159.323	159.415			6
2026.05.31	21:05:55.881		159.411			4
2026.05.31	21:06:06.434	159.259	159.487			6
2026.05.31	21:06:25.230	159.333	159.437			6
2026.05.31	21:06:54.330	159.330	159.421			6
2026.05.31	21:07:25.231	159.333	159.417			6
2026.05.31	21:07:33.031	159.336	159.414			6
2026.05.31	21:08:27.331	159.337	159.416			6
2026.05.31	21:09:34.231	159.342	159.411			6
2026.05.31	21:09:35.439	159.335	159.416			6
2026.05.31	21:10:34.531	159.341	159.410			6
2026.05.31	21:12:04.231	159.332	159.422			6
2026.05.31	21:15:00.081	159.316	159.430			6
2026.05.31	21:15:01.170	159.308	159.435			6
2026.05.31	21:15:01.208	159.245	159.476			6
2026.05.31	21:15:02.319	159.292	159.429			6
2026.05.31	21:15:05.130	159.300	159.422			6
2026.05.31	21:15:06.331	159.302	159.419			6
2026.05.31	21:15:07.830	159.303				2
2026.05.31	21:15:11.100	159.302				2
2026.05.31	21:15:12.952	159.299	159.421			6
2026.05.31	21:15:15.631	159.302	159.416			6
2026.05.31	21:15:18.952	159.315	159.439			6
2026.05.31	21:15:20.130	159.330	159.422			6
2026.05.31	21:15:22.830	159.335	159.415			6
2026.05.31	21:15:25.531	159.334				2
2026.05.31	21:15:30.032	159.335	159.413			6
2026.05.31	21:15:32.751		159.415			4
2026.05.31	21:15:34.273	159.340	159.411			6
2026.05.31	21:15:35.966	159.339	159.410			6
2026.05.31	21:15:37.202	159.340	159.411			6
2026.05.31	21:15:40.851		159.410			4
2026.05.31	21:15:43.231	159.341				2
2026.05.31	21:15:45.650		159.409			4
2026.05.31	21:15:49.231		159.408			4
2026.05.31	21:15:57.030	159.342				2
2026.05.31	21:16:03.951	159.341				2
2026.05.31	21:16:06.930		159.407			4
2026.05.31	21:16:10.252		159.408			4
2026.05.31	21:16:13.230		159.407			4
2026.05.31	21:16:19.551	159.340				2
2026.05.31	21:16:23.430	159.341				2
2026.05.31	21:16:29.151	159.340	159.406			6
2026.05.31	21:16:45.931	159.341	159.405			6
2026.05.31	21:16:54.930	159.342				2
2026.05.31	21:17:04.242	159.342	159.403			6
2026.05.31	21:17:05.451	159.341				2
2026.05.31	21:17:06.930	159.342				2
2026.05.31	21:17:08.430		159.404			4
2026.05.31	21:17:10.531		159.403			4
2026.05.31	21:17:17.451		159.404			4
2026.05.31	21:17:21.031		159.403			4
2026.05.31	21:17:50.151	159.341	159.402			6
2026.05.31	21:18:08.450	159.341				2
2026.05.31	21:18:50.752		159.402			4
2026.05.31	21:19:15.052	159.341				2
2026.05.31	21:20:05.430	159.341	159.402			6
2026.05.31	21:21:32.108	159.341	159.402			6
2026.05.31	21:22:01.419	159.341				2
2026.05.31	21:22:04.254	159.340	159.401			6
2026.05.31	21:22:37.198	159.338				2
2026.05.31	21:23:18.052	159.339	159.400			6
2026.05.31	21:24:37.198	159.339	159.400			6
2026.05.31	21:25:18.885	159.338	159.399			6
2026.05.31	21:25:37.203	159.332	159.393			6
2026.05.31	21:25:40.154	159.333	159.394			6
2026.05.31	21:25:58.851	159.345	159.383			6
2026.05.31	21:26:14.962	159.343	159.381			6
2026.05.31	21:26:37.205	159.329	159.390			6
2026.05.31	21:27:04.264	159.342	159.380			6
2026.05.31	21:27:37.205	159.329	159.390			6
2026.05.31	21:27:50.660	159.342	159.380			6
2026.05.31	21:28:37.209	159.327	159.388			6
2026.05.31	21:29:37.198	159.327				2
2026.05.31	21:29:46.850	159.340	159.378			6
