Time	Open	High	Low	Close	Volume
2022-09-29 22:00:00	0.9817	0.98437	0.98159	0.9818	17810	14
2022-09-29 23:00:00	0.98181	0.98382	0.98141	0.98291	12990	6
2022-09-30 00:00:00	0.98292	0.98332	0.98161	0.98252	14169	5
2022-09-30 01:00:00	0.98251	0.98292	0.98092	0.98097	11599	5
2022-09-30 02:00:00	0.98096	0.98168	0.97943	0.9809	13925	5
2022-09-30 03:00:00	0.9809	0.98126	0.9798	0.97994	12448	6
2022-09-30 04:00:00	0.97996	0.98075	0.97976	0.97991	8914	6
2022-09-30 05:00:00	0.97993	0.98278	0.97988	0.98241	14648	6
2022-09-30 06:00:00	0.98241	0.98335	0.97898	0.97994	25584	5
2022-09-30 07:00:00	0.97993	0.98383	0.97968	0.98326	31848	5
2022-09-30 08:00:00	0.98325	0.98537	0.98297	0.98329	31866	5
2022-09-30 09:00:00	0.98332	0.9838	0.97964	0.97971	30059	5
2022-09-30 10:00:00	0.9797	0.98039	0.97547	0.97615	25766	5
2022-09-30 11:00:00	0.97615	0.97684	0.9741	0.97463	28578	4
2022-09-30 12:00:00	0.97463	0.97843	0.9735	0.97545	39984	4
2022-09-30 13:00:00	0.97546	0.97767	0.97346	0.97744	46211	4
2022-09-30 14:00:00	0.97749	0.98093	0.97534	0.97944	56943	5
2022-09-30 15:00:00	0.97942	0.98182	0.97823	0.97824	51969	4
2022-09-30 16:00:00	0.97824	0.979	0.97704	0.97899	32337	5
2022-09-30 17:00:00	0.97898	0.98005	0.97827	0.97946	27097	4
2022-09-30 18:00:00	0.97947	0.98155	0.9792	0.98066	26501	5
2022-09-30 19:00:00	0.98068	0.98125	0.9792	0.98008	17528	4
2022-09-30 20:00:00	0.98008	0.981	0.9798	0.98013	7852	5
2022-10-03 00:00:00	0.97931	0.98039	0.97852	0.98013	28953	6
2022-10-03 01:00:00	0.98014	0.98287	0.98012	0.98254	26243	6
2022-10-03 02:00:00	0.98254	0.98254	0.98122	0.98122	13221	6
2022-10-03 03:00:00	0.98123	0.98152	0.98039	0.98054	14184	5
2022-10-03 04:00:00	0.98054	0.98055	0.97851	0.97852	23326	5
2022-10-03 05:00:00	0.97854	0.98345	0.97842	0.98252	26482	5
2022-10-03 06:00:00	0.98253	0.98287	0.97915	0.97975	36343	6
2022-10-03 07:00:00	0.97976	0.98188	0.97869	0.98122	54635	4
2022-10-03 08:00:00	0.98121	0.98273	0.9805	0.98108	44017	4
2022-10-03 09:00:00	0.98108	0.98126	0.97525	0.97629	33540	4
2022-10-03 10:00:00	0.97629	0.97858	0.97568	0.97787	31933	4
2022-10-03 11:00:00	0.97786	0.9783	0.97541	0.97681	28707	4
2022-10-03 12:00:00	0.97681	0.97808	0.97559	0.97655	42649	5
2022-10-03 13:00:00	0.97654	0.97833	0.97577	0.9767	53230	5
2022-10-03 14:00:00	0.97675	0.98278	0.97671	0.98135	66327	5
2022-10-03 15:00:00	0.98137	0.98445	0.98053	0.98079	41416	4
