Time	Open	High	Low	Close	Volume
2025-12-18 20:46:00	1.17257	1.17258	1.17254	1.17254	13	3
2025-12-18 20:47:00	1.17254	1.17254	1.17246	1.17246	18	2
2025-12-18 20:48:00	1.17245	1.17245	1.17238	1.17238	28	3
2025-12-18 20:49:00	1.17236	1.17237	1.17226	1.17227	47	3
2025-12-18 20:50:00	1.17226	1.17226	1.1722	1.1722	55	2
2025-12-18 20:51:00	1.1722	1.1722	1.17212	1.17213	28	2
2025-12-18 20:52:00	1.17211	1.17217	1.17208	1.17208	40	3
2025-12-18 20:53:00	1.17209	1.17212	1.17209	1.17209	23	3
2025-12-18 20:54:00	1.1721	1.17211	1.17202	1.17209	53	3
2025-12-18 20:55:00	1.1721	1.17214	1.17209	1.17213	49	2
2025-12-18 20:56:00	1.17213	1.17223	1.1721	1.17221	79	3
2025-12-18 20:57:00	1.17221	1.17221	1.17209	1.1721	48	2
2025-12-18 20:58:00	1.17212	1.17214	1.1721	1.17213	84	4
2025-12-18 20:59:00	1.17214	1.1722	1.17212	1.17219	130	4
2025-12-18 21:00:00	1.17218	1.1722	1.17214	1.17218	76	5
2025-12-18 21:01:00	1.17219	1.17221	1.17217	1.17219	59	4
2025-12-18 21:02:00	1.17219	1.17237	1.17218	1.17237	57	4
2025-12-18 21:03:00	1.17238	1.17238	1.17231	1.17232	83	5
2025-12-18 21:04:00	1.17231	1.17231	1.17223	1.17228	80	5
2025-12-18 21:05:00	1.17228	1.17237	1.17224	1.17232	84	5
2025-12-18 21:06:00	1.17232	1.17247	1.17229	1.17247	55	5
2025-12-18 21:07:00	1.17246	1.17246	1.17244	1.17244	21	6
2025-12-18 21:08:00	1.17244	1.17244	1.17244	1.17244	7	6
2025-12-18 21:09:00	1.17244	1.17247	1.17244	1.17246	20	5
2025-12-18 21:10:00	1.17246	1.17248	1.17246	1.17246	14	5
2025-12-18 21:11:00	1.1725	1.1725	1.17241	1.17246	40	4
2025-12-18 21:12:00	1.17245	1.17248	1.17245	1.17247	9	3
2025-12-18 21:13:00	1.17246	1.17249	1.17246	1.17246	13	3
2025-12-18 21:14:00	1.17246	1.17246	1.17244	1.17244	3	4
2025-12-18 21:15:00	1.17244	1.17245	1.1724	1.17242	32	5
2025-12-18 21:16:00	1.17242	1.17242	1.1724	1.1724	8	3
2025-12-18 21:17:00	1.17241	1.17241	1.17233	1.17236	21	3
2025-12-18 21:18:00	1.17235	1.17241	1.17235	1.17241	11	4
2025-12-18 21:19:00	1.1724	1.17242	1.17238	1.17241	39	4
